Name,Cage/Litter,Mouse_ID,Cohort,Sex,Diet,Treatment,real_intake,crumbling,TotalIntake(g),NumberMeals,AverageMealSize(g),AverageMealDuration(g),IntervalBtwMeals(min),EatingRate,LatencyFirstMeal,FirstMealSize,FaecalPellets,LocomotorActivity12h,Rears12h,Rearing_Centre,Rearing_ExternalZone10%,Rearing_ExternalZone20%,CentreTime%,TimeThigmotaxis10%,TimeThigmotaxis20%,CentreDistance_Percentage,DistanceThigmotaxis10%,DistanceThigmotaxis20%,SPT_Ratio,SPT_Ratio_OD,SPT_Ratio_ON,SPT_PreferenceScore,SPT_PreferenceScore_Percentage,SPT_PreferenceScore_OD,SPT_PreferenceScore_ON,SPT_CumulativeDrinkIntake_Water,SPT_CumulativeDrinkIntake_Saccharin,SPT_CumulativeDrinkIntake_Water_OD,SPT_CumulativeDrinkIntake_Saccharin_OD,SPT_CumulativeDrinkIntake_Water_ON,SPT_CumulativeDrinkIntake_Saccharin_ON,SPT_TotalCumulative_WaterDiet_12h,SPT_TotalCumulative_WaterDiet_24h,SPT_TotalCumulative_WaterDiet_36h,SPT_TotalCumulative_WaterDiet_48h,SPT_TotalCumulative_SaccharinDiet_12h,SPT_TotalCumulative_SaccharinDiet_24h,SPT_TotalCumulative_SaccharinDiet_36h,SPT_TotalCumulative_SaccharinDiet_48h,FPT_PreferenceScore,FPT_PreferenceScore_Percentage,FPT_PreferenceScore_OD,FPT_PreferenceScore_Percentage_OD,FPT_PreferenceScore_ON,FPT_PreferenceScore_Percentage_ON,FPT_TotalCumulative_CTDiet,FPT_TotalCumulative_HFHSDiet,FPT_TotalCumulative_CTDiet_OD,FPT_TotalCumulative_HFHS_OD,FPT_TotalCumulative_CTDiet_ON,FPT_TotalCumulative_HFHSDiet_ON,FPT_TotalCumulative_HFHSDiet_ON_divided_OD,FPT_TotalCumulative_CTDiet_12h,FPT_TotalCumulative_CTDiet_24h,FPT_TotalCumulative_CTDiet_36h,FPT_TotalCumulative_CTDiet_48h,FPT_TotalCumulative_HFHSDiet_12h,FPT_TotalCumulative_HFHSDiet_24h,FPT_TotalCumulative_HFHSDiet_36h,FPT_TotalCumulative_HFHSDiet_48h
HFHS_CT_C3_L125.2_P306_F,125.2,306,3,F,HFHS,Vehicle,1.74,2.5,2.5,4,0.84,29.14,442.65,0.48,35.3,1.44,27,23975.2,3279,436,1981,3075,6.3,60.4,93.7,26.2,30.6,73.8,1.33,0.33333333,0.88888889,0.43,42.86,0.25,0.470588235,6,4.5,1.5,0.5,4.5,4,2.5,3,5,6,2.5,3,4.5,4.5,0.95,94.88,0.91,90.909091,0.95,95.202952,1.5,27.8,0.2,2,1.3,25.8,1290,1.3,1.3,1.3,1.5,12.4,13.5,26.9,27.8
HFHS_CT_C4_L126_P419_F,126,419,4,F,HFHS,Vehicle,1.4,4.2,5.6,3,1.69,51.91,340.9,0.54,26.63,4.1,16,18280.5,4417,628,725,4032,6.7,63.2,93.2,34.4,22.7,65.5,0.83,0.66666667,1.42857143,0.55,54.55,0.4,0.588235294,5,6,1.5,1,3.5,5,1.5,2.5,4.5,5,3,3,5,6,0.99,98.95,1,100,0.99,98.762376,0.5,47.1,0,7.2,0.5,39.9,554.1666667,0.3,0.3,0.5,0.5,13.9,17.4,43.4,47.1
HFHS_CT_C4_L126_P420_F,126,420,4,F,HFHS,Vehicle,1.78,6.1,7.84,5,1.52,41.99,408.07,0.6,25.28,0.48,15,30258.7,3646,741,2190,3128,10.3,63.4,89.7,33.9,24.9,66.1,0.86,1,1.25,0.54,53.85,0.5,0.555555556,6,7,2,2,4,5,3,4,5,6,2.5,4,6.5,7,0.99,99.3,1,100,0.99,99.267399,0.2,28.5,0,1.4,0.2,27.1,1935.714286,0,0,0.2,0.2,14.9,15.8,28,28.5
HFHS_CT_C4_L126_P421_F,126,421,4,F,HFHS,Vehicle,1.74,0.4,2.14,4,0.39,23.79,391.47,0.27,94.47,0.38,17,23887.4,4129,343,1785,3107,4.5,72.6,95.5,34.3,25,65.6,0.92,3.5,0.6,0.52,52,0.777777778,0.375,6,6.5,1,3.5,5,3,3.5,4,5.5,6,0,2,5,6.5,0.95,95.31,1,100,0.95,95.041322,0.6,12.2,0,0.7,0.6,11.5,1642.857143,0.5,0.5,0.6,0.6,8.7,8.9,11.7,12.2
HFHS_FOS+GOS_C1_L106_P122_F,106,122,1,F,HFHS,FOS+GOS,1.52,0.4,1.96,4,0.32,15.76,445.25,0.33,27.43,0.54,19,24884.9,2475,531,554,2369,15.8,18.3,84.2,44.4,12,55.7,4,4,4,0.8,80,0.8,0.8,3,12,1,4,2,8,2,3,3,3,4,6,10,12,0.96,96.34,1,100,0.96,96.0674157,1.4,36.9,0,2.7,1.4,34.2,1266.666667,1,1,1.4,1.4,18.2,19.2,35.2,36.9
HFHS_FOS+GOS_C1_L106_P124_F,106,124,1,F,HFHS,FOS+GOS,1.8,2.4,4.2,5,0.68,21.5,541.17,0.53,10.6,2.42,33,19829.5,3234,410,781,2938,3.5,68.4,96.6,29,26.1,71.1,2.89,3.33333333,2.66666667,0.74,74,0.769230769,0.727272727,4.5,13,1.5,5,3,8,2,3.5,4.5,4.5,4,6,10,13,0.99,99.38,1,99.62121,0.99,99.2207792,0.4,64.5,0.1,26.3,0.3,38.2,145.2471483,0.2,0.2,0.3,0.4,15,22.6,45.8,64.5
HFHS_FOS+GOS_C2_L124_P223_F,124,223,2,F,HFHS,FOS+GOS,2.1,2.8,4.86,6,0.7,23.62,545.52,0.49,2.53,0.46,26,18858.7,4265,201,964,3788,2.2,71,97.9,25.3,31.1,74.7,1.43,2,1.33333333,0.59,59,0.666666667,0.571428571,7,10,1,2,6,8,3,3,6,7,4,5,9,10,0.97,97.32,0.8,80.487805,1,99.661017,0.9,32.7,0.8,3.3,0.1,29.4,890.9090909,0.1,0.7,0.7,0.9,19.3,21.2,31.3,32.7
HFHS_FOS+GOS_C2_L124_P224_F,124,224,2,F,HFHS,FOS+GOS,6.6,4.5,11.1,9,1.2,22.85,443.87,0.87,11.13,2.22,23,27119.5,4087,539,1934,3463,7.6,54.9,92.3,29,27.8,71.1,0.78,1,0.71428571,0.44,44,0.5,0.416666667,9,7,2,2,7,5,5,6,8,9,3,4,6,7,0.98,98.35,0.95,95.081967,0.99,99.009901,0.6,35.8,0.3,5.8,0.3,30,517.2413793,0.3,0.3,0.3,0.6,13.3,16.3,33,35.8
HFHS_FOS+GOS_C2_L124_P225_F,124,225,2,F,HFHS,FOS+GOS,1.74,2.2,3.94,3,0.95,20.51,211.8,0.77,35.88,0.9,27,21527.1,2959,258,1416,3008,5.3,63.8,94.7,29,28.2,71,0.92,0.33333333,1.11111111,0.48,48,0.25,0.526315789,6,5.5,1.5,0.5,4.5,5,3,3.5,5,6,3.5,3.5,5,5.5,0.99,99.42,1,100,0.99,99.358974,0.2,34.4,0,3.4,0.2,31,911.7647059,0.1,0.1,0.2,0.2,20.8,22.6,32.8,34.4
HFHS_FOS+GOS_C2_L119_P231_F,119,231,2,F,HFHS,FOS+GOS,1.32,1.9,3.22,4,0.65,32.71,407.97,0.33,14.98,0.64,23,14849.6,2561,114,752,2199,2.1,79.9,97.9,31.5,28.8,68.5,8,,4.16666667,0.89,89,1,0.806451613,2.5,20,0,7.5,3,12.5,2,2,3,2.5,5,8.5,16,20,0.95,94.96,0.79,79.166667,0.98,98.26087,0.7,13.2,0.5,1.9,0.2,11.3,594.7368421,0,0.5,0.7,0.7,2.4,4.2,13.1,13.2
