Mouse_ID,section,bregma,diet,treatment,legend,sex,cohort,cage,Area,Tany_N_cells,Tany_Posit_Nod2_cells,Tany_Posit_Pnoc_cells,Tany_Nod2_aver_puncta,Tany_Pnoc_aver_puncta,Tany_N_double_cells,Tany_Nod2_puncta_double,Tany_Pnoc_puncta_double
402,2,-1.79_-1.65,Control,Vehicle,Control Vehicle,F,4,129,20563.6136,70,23,2,5.28,6.23,1,8,4
402,4,-1.79,Control,Vehicle,Control Vehicle,F,4,129,15398.6637,49,32,0,8.67,0,0,0,0
402,5,-1.91,Control,Vehicle,Control Vehicle,F,4,129,17765.5475,59,36,2,4.99,6.26,2,2,6.26
218,2,not known,HFHS,Vehicle,HFHS Vehicle,F,2,123,14527.8366,41,22,0,4.12,0,0,0,0
218,5,not known,HFHS,Vehicle,HFHS Vehicle,F,2,123,13477.4287,57,7,0,5.81,0,0,0,0
218,6,not known,HFHS,Vehicle,HFHS Vehicle,F,2,123,19180.2428,66,3,0,6.07,0,0,0,0
303,2,not known,HFHS,Vehicle,HFHS Vehicle,F,3,125.2,14108.9023,54,34,6,7.97,9.31,3,16.6,10.21
303,3,not known,HFHS,Vehicle,HFHS Vehicle,F,3,125.2,16757.3588,80,39,4,5.2,9.75,3,6.74,7.49
303,4,not known,HFHS,Vehicle,HFHS Vehicle,F,3,125.2,14932.6357,53,19,0,5.17,0,0,0,0
303,5,not known,HFHS,Vehicle,HFHS Vehicle,F,3,125.2,16813.7515,56,20,3,3.64,6.2,1,7.0839,7.4503
304,2,not known,HFHS,Vehicle,HFHS Vehicle,F,3,125.2,8075.2801,40,19,3,5.15,8.78,3,9.81,8.78
304,3,not known,HFHS,Vehicle,HFHS Vehicle,F,3,125.2,10353.8906,40,19,1,5.84,60.7248,1,2,60.7248
419,2,-1.43,HFHS,Vehicle,HFHS Vehicle,F,4,126,14343.6936,52,10,0,3.64,0,0,0,0
419,5,-1.43,HFHS,Vehicle,HFHS Vehicle,F,4,126,17990.2803,56,15,0,3.45,0,0,0,0
421,2,not known,HFHS,Vehicle,HFHS Vehicle,F,4,126,13615.4789,60,35,4,6.56,5.46,3,7.45,5.61
421,3,not known,HFHS,Vehicle,HFHS Vehicle,F,4,126,16823.6048,61,21,0,4.34,0,0,0,0
421,5,not known,HFHS,Vehicle,HFHS Vehicle,F,4,126,15997.6044,53,29,1,7.09,6.2748,1,4,6.2748
421,6,not known,HFHS,Vehicle,HFHS Vehicle,F,4,126,18711.4754,118,45,0,5.47,0,0,0,0
223,3,not known,HFHS,FOS+GOS,HFHS FOS+GOS,F,2,124,17510.0452,66,53,5,8.17,8.66,5,31.67,8.66
223,5,not known,HFHS,FOS+GOS,HFHS FOS+GOS,F,2,124,21592.6089,92,51,2,4.96,10.81,2,10.95,10.81
223,6,not known,HFHS,FOS+GOS,HFHS FOS+GOS,F,2,124,18006.4444,79,43,0,6.87,0,0,0,0
233,4,not known,HFHS,FOS+GOS,HFHS FOS+GOS,F,2,119,17037.3029,60,49,14,11.45,10.66,13,16.49,10.98
233,5,not known,HFHS,FOS+GOS,HFHS FOS+GOS,F,2,119,18154.6142,69,47,10,7.94,7.74,9,12.57,8.14
233,6,not known,HFHS,FOS+GOS,HFHS FOS+GOS,F,2,119,21295.6013,96,51,16,6.51,12.9,12,5.75,14.81
237,2,not known,HFHS,FOS+GOS,HFHS FOS+GOS,F,2,128,13295.097,45,33,16,16.76,11.23,15,25.34,11.65
237,3,not known,HFHS,FOS+GOS,HFHS FOS+GOS,F,2,128,16688.9218,50,25,3,9.26,6.54,3,2.33,6.54
237,4,not known,HFHS,FOS+GOS,HFHS FOS+GOS,F,2,128,18676.2563,71,13,1,4.05,5.3969,1,5.0534,5.3969
237,6,not known,HFHS,FOS+GOS,HFHS FOS+GOS,F,2,128,16794.76,67,19,1,5.64,4.7862,0,0,0
311,2,not known,HFHS,FOS+GOS,HFHS FOS+GOS,F,3,114,9522.8158,50,14,1,3.53,5.0534,1,3,5.0534
311,3,not known,HFHS,FOS+GOS,HFHS FOS+GOS,F,3,114,11158.0324,40,8,0,3.07,0,0,0,0
311,4,not known,HFHS,FOS+GOS,HFHS FOS+GOS,F,3,114,14228.9931,51,12,0,5.1,0,0,0,0
311,5,not known,HFHS,FOS+GOS,HFHS FOS+GOS,F,3,114,17145.5294,58,14,3,7.84,13.21,1,19.809,4.0305
128,2,not known,HFHS,1472,HFHS 1472,F,1,115,9680.4841,45,24,4,6.32,6.34,2,11.47,6.36
128,4,not known,HFHS,1472,HFHS 1472,F,1,115,16387.6673,61,30,0,3.71,0,0,0,0
128,5,not known,HFHS,1472,HFHS 1472,F,1,115,14616.7689,54,46,7,6.94,5.56,7,7.52,5.56
128,6,not known,HFHS,1472,HFHS 1472,F,1,115,15852.2918,42,23,0,4.7,0,0,0,0
134,1,not known,HFHS,1472,HFHS 1472,F,1,111,13032.3579,50,34,7,7.66,5.66,4,15.04,6.18
