Mouse_ID,Cohort,Diet,Treatment,Legend,Age,food_intake,energy_intake
124,2,HFHS,FOS+GOS,HFHS FOS+GOS,PND5,5.9,27.2285
119,2,HFHS,FOS+GOS,HFHS FOS+GOS,PND5,11.9,54.9185
128,2,HFHS,FOS+GOS,HFHS FOS+GOS,PND5,9.4,43.381
114,3,HFHS,FOS+GOS,HFHS FOS+GOS,PND5,7.3,33.6895
118,6,HFHS,FOS+GOS,HFHS FOS+GOS,PND5,6,27.69
136,6,HFHS,FOS+GOS,HFHS FOS+GOS,PND5,8.3,38.3045
115,1,HFHS,1472,HFHS 1472,PND5,5,23.075
111,1,HFHS,1472,HFHS 1472,PND5,5.2,23.998
120,2,HFHS,1472,HFHS 1472,PND5,3.9,17.9985
127,2,HFHS,1472,HFHS 1472,PND5,6.8,31.382
116,4,HFHS,1472,HFHS 1472,PND5,35.7,164.7555
130,5,HFHS,1472,HFHS 1472,PND5,7.9,36.4585
135,6,HFHS,1472,HFHS 1472,PND5,8.4,38.766
105,1,Control,Vehicle,Control Vehicle,PND6,8.4,30.492
104,1,Control,Vehicle,Control Vehicle,PND6,9,32.67
117,2,Control,Vehicle,Control Vehicle,PND6,7.4,26.862
122,2,Control,Vehicle,Control Vehicle,PND6,6.6,23.958
129,2,Control,Vehicle,Control Vehicle,PND6,8.8,31.944
113,4,Control,Vehicle,Control Vehicle,PND6,7.3,26.499
131,6,Control,Vehicle,Control Vehicle,PND6,8,29.04
110,1,HFHS,Vehicle,HFHS Vehicle,PND6,8.4,38.766
107,1,HFHS,Vehicle,HFHS Vehicle,PND6,6,27.69
123,2,HFHS,Vehicle,HFHS Vehicle,PND6,6.8,31.382
121,2,HFHS,Vehicle,HFHS Vehicle,PND6,11.5,53.0725
125,3,HFHS,Vehicle,HFHS Vehicle,PND6,7.7,35.5355
126,4,HFHS,Vehicle,HFHS Vehicle,PND6,6.8,31.382
133,6,HFHS,Vehicle,HFHS Vehicle,PND6,8.6,39.689
106,1,HFHS,FOS+GOS,HFHS FOS+GOS,PND6,7.9,36.4585
124,2,HFHS,FOS+GOS,HFHS FOS+GOS,PND6,6,27.69
119,2,HFHS,FOS+GOS,HFHS FOS+GOS,PND6,11.2,51.688
128,2,HFHS,FOS+GOS,HFHS FOS+GOS,PND6,9.5,43.8425
114,3,HFHS,FOS+GOS,HFHS FOS+GOS,PND6,8.1,37.3815
118,6,HFHS,FOS+GOS,HFHS FOS+GOS,PND6,5.7,26.3055
136,6,HFHS,FOS+GOS,HFHS FOS+GOS,PND6,8.4,38.766
115,1,HFHS,1472,HFHS 1472,PND6,4.8,22.152
111,1,HFHS,1472,HFHS 1472,PND6,3.9,17.9985
120,2,HFHS,1472,HFHS 1472,PND6,5,23.075
127,2,HFHS,1472,HFHS 1472,PND6,7.7,35.5355
116,4,HFHS,1472,HFHS 1472,PND6,7.8,35.997
130,5,HFHS,1472,HFHS 1472,PND6,8.1,37.3815
135,6,HFHS,1472,HFHS 1472,PND6,9.1,41.9965
105,1,Control,Vehicle,Control Vehicle,PND7,8.8,31.944
104,1,Control,Vehicle,Control Vehicle,PND7,6.6,23.958
117,2,Control,Vehicle,Control Vehicle,PND7,5.1,18.513
122,2,Control,Vehicle,Control Vehicle,PND7,7.9,28.677
129,2,Control,Vehicle,Control Vehicle,PND7,8.6,31.218
113,4,Control,Vehicle,Control Vehicle,PND7,8.1,29.403
131,6,Control,Vehicle,Control Vehicle,PND7,8.4,30.492
110,1,HFHS,Vehicle,HFHS Vehicle,PND7,10.9,50.3035
107,1,HFHS,Vehicle,HFHS Vehicle,PND7,6.7,30.9205
123,2,HFHS,Vehicle,HFHS Vehicle,PND7,7.2,33.228
121,2,HFHS,Vehicle,HFHS Vehicle,PND7,11,50.765
125,3,HFHS,Vehicle,HFHS Vehicle,PND7,9.5,43.8425
126,4,HFHS,Vehicle,HFHS Vehicle,PND7,7,32.305
133,6,HFHS,Vehicle,HFHS Vehicle,PND7,9.4,43.381
106,1,HFHS,FOS+GOS,HFHS FOS+GOS,PND7,6.9,31.8435
124,2,HFHS,FOS+GOS,HFHS FOS+GOS,PND7,6.6,30.459
119,2,HFHS,FOS+GOS,HFHS FOS+GOS,PND7,12.3,56.7645
128,2,HFHS,FOS+GOS,HFHS FOS+GOS,PND7,11.1,51.2265
114,3,HFHS,FOS+GOS,HFHS FOS+GOS,PND7,9.1,41.9965
118,6,HFHS,FOS+GOS,HFHS FOS+GOS,PND7,6.6,30.459
136,6,HFHS,FOS+GOS,HFHS FOS+GOS,PND7,8.9,41.0735
115,1,HFHS,1472,HFHS 1472,PND7,5.8,26.767
111,1,HFHS,1472,HFHS 1472,PND7,5.2,23.998
120,2,HFHS,1472,HFHS 1472,PND7,4.8,22.152
127,2,HFHS,1472,HFHS 1472,PND7,8,36.92
116,4,HFHS,1472,HFHS 1472,PND7,21.5,99.2225
130,5,HFHS,1472,HFHS 1472,PND7,8.2,37.843
135,6,HFHS,1472,HFHS 1472,PND7,10.1,46.6115
105,1,Control,Vehicle,Control Vehicle,PND8,8.1,29.403
104,1,Control,Vehicle,Control Vehicle,PND8,6.6,23.958
117,2,Control,Vehicle,Control Vehicle,PND8,9.2,33.396
122,2,Control,Vehicle,Control Vehicle,PND8,9.4,34.122
129,2,Control,Vehicle,Control Vehicle,PND8,7.8,28.314
113,4,Control,Vehicle,Control Vehicle,PND8,10.8,39.204
131,6,Control,Vehicle,Control Vehicle,PND8,9.1,33.033
110,1,HFHS,Vehicle,HFHS Vehicle,PND8,8,36.92
107,1,HFHS,Vehicle,HFHS Vehicle,PND8,5,23.075
123,2,HFHS,Vehicle,HFHS Vehicle,PND8,8.7,40.1505
121,2,HFHS,Vehicle,HFHS Vehicle,PND8,9,41.535
125,3,HFHS,Vehicle,HFHS Vehicle,PND8,8.5,39.2275
126,4,HFHS,Vehicle,HFHS Vehicle,PND8,7.3,33.6895
133,6,HFHS,Vehicle,HFHS Vehicle,PND8,10.5,48.4575
106,1,HFHS,FOS+GOS,HFHS FOS+GOS,PND8,5.9,27.2285
124,2,HFHS,FOS+GOS,HFHS FOS+GOS,PND8,6.8,31.382
119,2,HFHS,FOS+GOS,HFHS FOS+GOS,PND8,13.2,60.918
128,2,HFHS,FOS+GOS,HFHS FOS+GOS,PND8,9.1,41.9965
114,3,HFHS,FOS+GOS,HFHS FOS+GOS,PND8,9,41.535
118,6,HFHS,FOS+GOS,HFHS FOS+GOS,PND8,6.7,30.9205
136,6,HFHS,FOS+GOS,HFHS FOS+GOS,PND8,11.1,51.2265
115,1,HFHS,1472,HFHS 1472,PND8,4.6,21.229
111,1,HFHS,1472,HFHS 1472,PND8,4.5,20.7675
120,2,HFHS,1472,HFHS 1472,PND8,4,18.46
127,2,HFHS,1472,HFHS 1472,PND8,8,36.92
116,4,HFHS,1472,HFHS 1472,PND8,12.5,57.6875
130,5,HFHS,1472,HFHS 1472,PND8,9.7,44.7655
135,6,HFHS,1472,HFHS 1472,PND8,12.1,55.8415
105,1,Control,Vehicle,Control Vehicle,PND9,8.4,30.492
104,1,Control,Vehicle,Control Vehicle,PND9,6.8,24.684
117,2,Control,Vehicle,Control Vehicle,PND9,6.8,24.684
122,2,Control,Vehicle,Control Vehicle,PND9,7,25.41
129,2,Control,Vehicle,Control Vehicle,PND9,11.5,41.745
113,4,Control,Vehicle,Control Vehicle,PND9,9.2,33.396
131,6,Control,Vehicle,Control Vehicle,PND9,9.5,34.485
110,1,HFHS,Vehicle,HFHS Vehicle,PND9,9,41.535
107,1,HFHS,Vehicle,HFHS Vehicle,PND9,5.6,25.844
123,2,HFHS,Vehicle,HFHS Vehicle,PND9,7.3,33.6895
121,2,HFHS,Vehicle,HFHS Vehicle,PND9,10.5,48.4575
125,3,HFHS,Vehicle,HFHS Vehicle,PND9,9.5,43.8425
126,4,HFHS,Vehicle,HFHS Vehicle,PND9,7.7,35.5355
133,6,HFHS,Vehicle,HFHS Vehicle,PND9,11,50.765
106,1,HFHS,FOS+GOS,HFHS FOS+GOS,PND9,6.4,29.536
124,2,HFHS,FOS+GOS,HFHS FOS+GOS,PND9,8.1,37.3815
119,2,HFHS,FOS+GOS,HFHS FOS+GOS,PND9,1.3,5.9995
128,2,HFHS,FOS+GOS,HFHS FOS+GOS,PND9,10.9,50.3035
114,3,HFHS,FOS+GOS,HFHS FOS+GOS,PND9,10,46.15
118,6,HFHS,FOS+GOS,HFHS FOS+GOS,PND9,8.4,38.766
136,6,HFHS,FOS+GOS,HFHS FOS+GOS,PND9,10,46.15
115,1,HFHS,1472,HFHS 1472,PND9,5.7,26.3055
111,1,HFHS,1472,HFHS 1472,PND9,6,27.69
120,2,HFHS,1472,HFHS 1472,PND9,5.6,25.844
127,2,HFHS,1472,HFHS 1472,PND9,9.3,42.9195
116,4,HFHS,1472,HFHS 1472,PND9,6.6,30.459
130,5,HFHS,1472,HFHS 1472,PND9,9.1,41.9965
135,6,HFHS,1472,HFHS 1472,PND9,10.9,50.3035
105,1,Control,Vehicle,Control Vehicle,PND10,8.5,30.855
104,1,Control,Vehicle,Control Vehicle,PND10,4.7,17.061
117,2,Control,Vehicle,Control Vehicle,PND10,5,18.15
122,2,Control,Vehicle,Control Vehicle,PND10,8.3,30.129
129,2,Control,Vehicle,Control Vehicle,PND10,9.2,33.396
113,4,Control,Vehicle,Control Vehicle,PND10,10.2,37.026
131,6,Control,Vehicle,Control Vehicle,PND10,9.3,33.759
110,1,HFHS,Vehicle,HFHS Vehicle,PND10,8.2,37.843
107,1,HFHS,Vehicle,HFHS Vehicle,PND10,4.4,20.306
123,2,HFHS,Vehicle,HFHS Vehicle,PND10,7.7,35.5355
121,2,HFHS,Vehicle,HFHS Vehicle,PND10,11,50.765
125,3,HFHS,Vehicle,HFHS Vehicle,PND10,8.5,39.2275
126,4,HFHS,Vehicle,HFHS Vehicle,PND10,9.1,41.9965
133,6,HFHS,Vehicle,HFHS Vehicle,PND10,12.1,55.8415
106,1,HFHS,FOS+GOS,HFHS FOS+GOS,PND10,7.6,35.074
124,2,HFHS,FOS+GOS,HFHS FOS+GOS,PND10,8.2,37.843
119,2,HFHS,FOS+GOS,HFHS FOS+GOS,PND10,10.4,47.996
128,2,HFHS,FOS+GOS,HFHS FOS+GOS,PND10,11.4,52.611
114,3,HFHS,FOS+GOS,HFHS FOS+GOS,PND10,9.4,43.381
118,6,HFHS,FOS+GOS,HFHS FOS+GOS,PND10,8.8,40.612
136,6,HFHS,FOS+GOS,HFHS FOS+GOS,PND10,10.7,49.3805
115,1,HFHS,1472,HFHS 1472,PND10,6,27.69
111,1,HFHS,1472,HFHS 1472,PND10,6.2,28.613
120,2,HFHS,1472,HFHS 1472,PND10,5.1,23.5365
127,2,HFHS,1472,HFHS 1472,PND10,9.5,43.8425
116,4,HFHS,1472,HFHS 1472,PND10,15.1,69.6865
130,5,HFHS,1472,HFHS 1472,PND10,10.9,50.3035
135,6,HFHS,1472,HFHS 1472,PND10,11.3,52.1495
105,1,Control,Vehicle,Control Vehicle,PND11,8.5,30.855
104,1,Control,Vehicle,Control Vehicle,PND11,5,18.15
117,2,Control,Vehicle,Control Vehicle,PND11,5.6,20.328
122,2,Control,Vehicle,Control Vehicle,PND11,8.1,29.403
129,2,Control,Vehicle,Control Vehicle,PND11,9,32.67
113,4,Control,Vehicle,Control Vehicle,PND11,8,29.04
131,6,Control,Vehicle,Control Vehicle,PND11,8.9,32.307
110,1,HFHS,Vehicle,HFHS Vehicle,PND11,7,32.305
107,1,HFHS,Vehicle,HFHS Vehicle,PND11,3.8,17.537
123,2,HFHS,Vehicle,HFHS Vehicle,PND11,8.1,37.3815
121,2,HFHS,Vehicle,HFHS Vehicle,PND11,10.6,48.919
125,3,HFHS,Vehicle,HFHS Vehicle,PND11,11.1,51.2265
126,4,HFHS,Vehicle,HFHS Vehicle,PND11,9.4,43.381
133,6,HFHS,Vehicle,HFHS Vehicle,PND11,11.9,54.9185
106,1,HFHS,FOS+GOS,HFHS FOS+GOS,PND11,10.2,47.073
124,2,HFHS,FOS+GOS,HFHS FOS+GOS,PND11,8.2,37.843
119,2,HFHS,FOS+GOS,HFHS FOS+GOS,PND11,12.6,58.149
128,2,HFHS,FOS+GOS,HFHS FOS+GOS,PND11,12.7,58.6105
114,3,HFHS,FOS+GOS,HFHS FOS+GOS,PND11,11.7,53.9955
118,6,HFHS,FOS+GOS,HFHS FOS+GOS,PND11,8.8,40.612
136,6,HFHS,FOS+GOS,HFHS FOS+GOS,PND11,10.4,47.996
115,1,HFHS,1472,HFHS 1472,PND11,6,27.69
111,1,HFHS,1472,HFHS 1472,PND11,6.8,31.382
120,2,HFHS,1472,HFHS 1472,PND11,6.1,28.1515
127,2,HFHS,1472,HFHS 1472,PND11,9.3,42.9195
116,4,HFHS,1472,HFHS 1472,PND11,8.6,39.689
130,5,HFHS,1472,HFHS 1472,PND11,10.5,48.4575
135,6,HFHS,1472,HFHS 1472,PND11,10.9,50.3035
105,1,Control,Vehicle,Control Vehicle,PND12,7,25.41
104,1,Control,Vehicle,Control Vehicle,PND12,11.3,41.019
117,2,Control,Vehicle,Control Vehicle,PND12,3.3,11.979
122,2,Control,Vehicle,Control Vehicle,PND12,7.5,27.225
129,2,Control,Vehicle,Control Vehicle,PND12,9.6,34.848
113,4,Control,Vehicle,Control Vehicle,PND12,12.9,46.827
131,6,Control,Vehicle,Control Vehicle,PND12,9.8,35.574
110,1,HFHS,Vehicle,HFHS Vehicle,PND12,5.6,25.844
107,1,HFHS,Vehicle,HFHS Vehicle,PND12,6.2,28.613
123,2,HFHS,Vehicle,HFHS Vehicle,PND12,7.6,35.074
121,2,HFHS,Vehicle,HFHS Vehicle,PND12,10.7,49.3805
125,3,HFHS,Vehicle,HFHS Vehicle,PND12,10.3,47.5345
126,4,HFHS,Vehicle,HFHS Vehicle,PND12,9.1,41.9965
133,6,HFHS,Vehicle,HFHS Vehicle,PND12,13.3,61.3795
106,1,HFHS,FOS+GOS,HFHS FOS+GOS,PND12,8.9,41.0735
124,2,HFHS,FOS+GOS,HFHS FOS+GOS,PND12,10.4,47.996
119,2,HFHS,FOS+GOS,HFHS FOS+GOS,PND12,8,36.92
128,2,HFHS,FOS+GOS,HFHS FOS+GOS,PND12,9.8,45.227
114,3,HFHS,FOS+GOS,HFHS FOS+GOS,PND12,10.7,49.3805
118,6,HFHS,FOS+GOS,HFHS FOS+GOS,PND12,9,41.535
136,6,HFHS,FOS+GOS,HFHS FOS+GOS,PND12,13.2,60.918
115,1,HFHS,1472,HFHS 1472,PND12,6.4,29.536
111,1,HFHS,1472,HFHS 1472,PND12,6.8,31.382
120,2,HFHS,1472,HFHS 1472,PND12,5.7,26.3055
127,2,HFHS,1472,HFHS 1472,PND12,10.5,48.4575
116,4,HFHS,1472,HFHS 1472,PND12,7.4,34.151
130,5,HFHS,1472,HFHS 1472,PND12,,
135,6,HFHS,1472,HFHS 1472,PND12,11.8,54.457
105,1,Control,Vehicle,Control Vehicle,PND13,12.3,44.649
104,1,Control,Vehicle,Control Vehicle,PND13,8.9,32.307
117,2,Control,Vehicle,Control Vehicle,PND13,9.3,33.759
