symbol,sex,statistic_diet,p.adj_diet
Camk1d,F,1.453644768,0.183
Camk2d,F,1.884554565,0.117
Camsap2,F,1.741788121,0.131
Canx,F,1.677931908,0.15
Capn6,F,1.702141386,0.138
Capza2,F,1.590397486,0.169
Car10,F,1.521598292,0.161
Car12,F,1.740978294,0.131
Car8,F,1.536382016,0.176
Carf,F,1.624596314,0.153
Carlr,F,1.704060324,0.12
Carmil1,F,1.570905469,0.156
Casd1,F,1.742839281,0.138
Caskin2,F,-1.566484993,0.175
Cast,F,1.945803022,0.101
Catsper2,F,1.872336544,0.104
Catsperg1,F,1.628344156,0.148
Cav2,F,1.559211738,0.179
Cavin2,F,1.478694235,0.189
Cavin3,F,1.437636893,0.184
Cbfa2t2,F,1.593623496,0.165
Cbln2,F,1.405880873,0.197
Cbr2,F,-1.620526193,0.142
Cbx1,F,1.982257242,0.101
Cbx2,F,-1.769670661,0.107
Cbx3,F,1.696067459,0.143
Cc2d2a,F,1.773784053,0.107
Ccar1,F,1.831726454,0.123
Ccdc138,F,1.620787325,0.141
Ccdc148,F,1.79288012,0.112
Ccdc152,F,1.901969948,0.1
Ccdc158,F,1.618754333,0.137
Ccdc171,F,1.67503154,0.126
Ccdc24,F,-1.7063713,0.126
Ccdc43,F,1.808611374,0.12
Ccdc47,F,1.4605999,0.194
Ccdc50,F,1.663845186,0.142
Ccdc62,F,1.810728996,0.124
Ccdc73,F,1.775311188,0.108
Ccdc82,F,1.442806239,0.199
Ccdc86,F,1.657087138,0.151
Ccdc88b,F,-1.733478639,0.133
Ccl21d,F,1.415394186,0.189
Ccnc,F,1.740191371,0.141
Ccnh,F,1.550631646,0.172
Ccnjl,F,-1.4675975,0.188
Ccnl2,F,1.650644072,0.134
Ccnq,F,1.587185372,0.148
Ccr10,F,1.798906254,0.107
Ccr5,F,1.48257987,0.173
Cct2,F,1.710814888,0.14
Cct3,F,1.629341158,0.159
Cd164,F,1.508848448,0.188
Cd164l2,F,-1.758800675,0.117
Cd209c,F,1.685393116,0.125
Cd2ap,F,1.825927121,0.112
Cd44,F,1.547294306,0.154
Cd47,F,1.772884412,0.133
Cd80,F,1.499917453,0.174
Cd84,F,1.568623518,0.148
Cd9,F,1.509907965,0.175
Cdc27,F,1.535132554,0.178
Cdc40,F,1.523523559,0.165
Cdc42,F,1.898872724,0.115
Cdc42ep4,F,-1.667742049,0.138
Cdcp1,F,1.588017049,0.16
Cdh19,F,1.751652415,0.126
Cdh2,F,1.644823589,0.141
Cdh7,F,1.95652584,0.101
Cdk17,F,1.65427057,0.14
Cdk5r1,F,1.680880235,0.136
Cdk5rap1,F,1.803781435,0.117
Cdkn1b,F,1.607327166,0.158
Cdkn2b,F,-1.776903854,0.115
Cds2,F,1.566202217,0.164
Cdyl,F,1.455428138,0.177
Ceacam3,F,-1.457987658,0.176
Celf1,F,1.412330148,0.192
Cenpc1,F,1.903376272,0.111
Cenpk,F,1.806882931,0.102
Cep126,F,1.441251257,0.198
Cep192,F,1.744747018,0.113
Cep41,F,1.79141544,0.126
Cep63,F,1.447506441,0.178
Cep83,F,1.620901187,0.158
