Name,Cage/Litter,Mouse_ID,Cohort,Sex,Diet,Treatment,BW(g),Basal_Glucose,IpGTT_0min,IpGTT_15min,IpGTT_30min,IpGTT_60min,IpGTT_90min,IpGTT_120min,IpGTT_basal_0min,IpGTT_basal_15min,IpGTT_basal_30min,IpGTT_basal_60min,IpGTT_basal_90min,IpGTT_basal_120min,AUC_crude,AUC_vs_basal,AUC%
HFHS_CT_C1_L110_P109_M,110,109,1,M,HFHS,Vehicle,26.1,9.8,9.8,12.5,12.3,9.7,8.8,8.2,0,2.7,2.5,-0.1,-1,-1.6,1216,12040,12406
HFHS_CT_C1_L110_P110_M,110,110,1,M,HFHS,Vehicle,26.9,9,9,13.4,10.4,9.3,8,7.3,0,4.4,1.4,0.3,-1,-1.7,1131,12051,12567
HFHS_CT_C1_L107_P119_M,107,119,1,M,HFHS,Vehicle,22.2,8,8,12.3,8.7,8.1,7.3,7,0,4.3,0.7,0.1,-0.7,-1,1007,12047,12591
HFHS_CT_C1_L107_P121_M,107,121,1,M,HFHS,Vehicle,23.5,9.8,9.8,13.7,12.7,10,8.9,8,0,3.9,2.9,0.2,-0.9,-1.8,1252,12076,12773
HFHS_CT_C2_L123_P216_M,123,216,2,M,HFHS,Vehicle,27.1,9.1,9.1,17.1,13.5,10.8,9,7.5,0,8,4.4,1.7,-0.1,-1.6,1335,12243,14670
HFHS_CT_C2_L123_P217_M,123,217,2,M,HFHS,Vehicle,24.3,9.4,9.4,18.1,13.1,9.5,7.5,7,0,8.7,3.7,0.1,-1.9,-2.4,1252,12124,13316
HFHS_CT_C2_L121_P219_M,121,219,2,M,HFHS,Vehicle,25,8.8,8.8,18.9,15.1,11.8,7.9,5.9,0,10.1,6.3,3,-0.9,-2.9,1369,12313,15554
HFHS_CT_C2_L121_P221_M,121,221,2,M,HFHS,Vehicle,27.7,,,,,,,,,,,,,,,,
HFHS_CT_C3_L125_P308_M,125,308,3,M,HFHS,Vehicle,25,8.9,8.9,14.2,11.5,10.2,7.5,7.2,0,5.3,2.6,1.3,-1.4,-1.7,1178,12110,13230
HFHS_CT_C3_L125_P310_M,125,310,3,M,HFHS,Vehicle,25.1,8.7,8.7,15.2,12,10.4,8.5,7.5,0,6.5,3.3,1.7,-0.2,-1.2,1243,12199,14284
HFHS_CT_C4_L126_P422_M,126,422,4,M,HFHS,Vehicle,22.4,7.5,7.5,16.2,11.6,10,7.8,6,0,8.7,4.1,2.5,0.3,-1.5,1184,12284,15790
HFHS_CT_C4_L126_P423_M,126,423,4,M,HFHS,Vehicle,21.4,7.1,7.1,14.7,10.5,9.8,8.8,6.2,0,7.6,3.4,2.7,1.7,-0.9,1161,12309,16352
HFHS_FOS+GOS_C1_L106_P125_M,106,125,1,M,HFHS,FOS+GOS,28,7.7,7.7,11.6,10.2,9.1,7.7,7.3,0,3.9,2.5,1.4,0,-0.4,1075,12151,13958
HFHS_FOS+GOS_C1_L106_P126_M,106,126,1,M,HFHS,FOS+GOS,27.3,8.5,8.5,14.5,13.2,9.8,9,8,0,6,4.7,1.3,0.5,-0.5,1262,12242,14850
HFHS_FOS+GOS_C2_L124_P226_M,124,226,2,M,HFHS,FOS+GOS,23.4,7.2,7.2,20.3,16.1,10.5,8,7.3,0,13.1,8.9,3.3,0.8,0.1,1385,12521,19240
HFHS_FOS+GOS_C2_L124_P227_M,124,227,2,M,HFHS,FOS+GOS,26,8.4,8.4,17.9,14,11.7,8.3,7.9,0,9.5,5.6,3.3,-0.1,-0.5,1365,12357,16250
HFHS_FOS+GOS_C2_L124_P228_M,124,228,2,M,HFHS,FOS+GOS,26,7.8,7.8,21.3,15.5,10.1,9,8.3,0,13.5,7.7,2.3,1.2,0.5,1424,12488,18260
HFHS_FOS+GOS_C2_L119_P234_M,119,234,2,M,HFHS,FOS+GOS,27.5,9.1,9.1,16.6,14.9,11.5,9.6,9,0,7.5,5.8,2.4,0.5,-0.1,1421,12329,15610
HFHS_FOS+GOS_C2_L119_P235_M,119,235,2,M,HFHS,FOS+GOS,26.7,8,8,19.5,12.8,11.4,9.7,7.8,0,11.5,4.8,3.4,1.7,-0.2,1391,12431,17381
HFHS_FOS+GOS_C2_L128_P239_M,128,239,2,M,HFHS,FOS+GOS,29.5,5.9,5.9,14.4,10.8,8.5,7.5,6.5,0,8.5,4.9,2.6,1.6,0.6,1081,12373,18318
HFHS_FOS+GOS_C2_L128_P239_M,128,241,2,M,HFHS,FOS+GOS,27.8,8.4,8.4,17.2,12.6,11.2,10.9,8.5,0,8.8,4.2,2.8,2.5,0.1,1395,12387,16607
HFHS_FOS+GOS_C2_L128_P239_M,128,243,2,M,HFHS,FOS+GOS,27.3,8.9,8.9,13.5,12.3,10.7,8.2,7.9,0,4.6,3.4,1.8,-0.7,-1,1232,12164,13837
HFHS_FOS+GOS_C3_L114_P312_M,114,312,3,M,HFHS,FOS+GOS,26.9,7.7,7.7,13.5,12.1,9.3,8.2,6.8,0,5.8,4.4,1.6,0.5,-0.9,1160,12236,15058
HFHS_FOS+GOS_C3_L114_P314_M,114,314,3,M,HFHS,FOS+GOS,27.2,7.5,7.5,16.3,12.2,8.9,8.6,6.5,0,8.8,4.7,1.4,1.1,-1,1198,12298,15970
HFHS_FOS+GOS_C3_L114_P315_M,114,315,3,M,HFHS,FOS+GOS,28.3,6.8,6.8,14.7,12.1,8.5,7.3,6.6,0,7.9,5.3,1.7,0.5,-0.2,1117,12301,16423
HFHS_1472_C1_L115_P132_M,115,132,1,M,HFHS,1472,21.6,9.4,9.4,16.4,12.2,8.5,8,7.3,0,7,2.8,-0.9,-1.4,-2.1,1196,12068,12718
HFHS_1472_C1_L115_P133_M,115,133,1,M,HFHS,1472,21.3,8.8,8.8,14.4,11.4,9.8,8.1,7.3,0,5.6,2.6,1,-0.7,-1.5,1185,12129,13466
HFHS_1472_C1_L111_P136_M,111,136,1,M,HFHS,1472,26.4,9.5,9.5,15.7,11.8,10.4,7.2,7,0,6.2,2.3,0.9,-2.3,-2.5,1205,12065,12687
HFHS_1472_C1_L111_P137_M,111,137,1,M,HFHS,1472,25.2,9.5,9.5,12.6,9.9,8.9,8.8,7.7,0,3.1,0.4,-0.6,-0.7,-1.8,1130,11990,11889
HFHS_1472_C2_L127_P250_M,127,250,2,M,HFHS,1472,25.6,10.1,10.1,15.8,12.2,11.2,8.6,7.9,0,5.7,2.1,1.1,-1.5,-2.2,1300,12088,12869
HFHS_1472_C2_L127_P251_M,127,251,2,M,HFHS,1472,26.8,9.7,9.7,16.5,,13.5,11.4,9.6,0,6.8,5.7,3.8,1.7,-0.1,1558,12394,16059
HFHS_1472_C2_L127_P252_M,127,252,2,M,HFHS,1472,28.4,8.7,8.7,16.4,12.1,11.7,10.9,9.4,0,7.7,3.4,3,2.2,0.7,1403,12359,16121
HFHS_1472_C4_L116_P438_M,116,438,4,M,HFHS,1472,24.9,8.2,8.2,13.9,11.3,10.5,8.3,7,0,5.7,3.1,2.3,0.1,-1.2,1193,12209,14552
HFHS_1472_C4_L116_P439_M,116,439,4,M,HFHS,1472,25.1,,,12.7,10.1,9.3,7.9,6.9,0,7.5,4.9,4.1,2.7,1.7,1076,12452,20697
HFHS_1472_C5_L130_P506_M,130,506,5,M,HFHS,1472,25.9,8,8,18.3,13.2,11.4,9.7,8.9,0,10.3,5.2,3.4,1.7,0.9,1398,12438,17475
HFHS_1472_C5_L130_P507_M,130,507,5,M,HFHS,1472,26.8,8.4,8.4,18.4,12.5,12,10.3,8.4,0,10,4.1,3.6,1.9,0,1415,12407,16848
HFHS_1472_C5_L130_P508_M,130,508,5,M,HFHS,1472,25.3,8.3,8.3,14.7,12.1,9.8,9.2,8.3,0,6.4,3.8,1.5,0.9,0,1250,12254,15054

