"","timepoint","age","sex","legend","name","n","G","U","grubbs","p_grubbs"
"125","w12","pup","F","HFHS B. longum APC1472","Propionate",7,1.32,0.66,"highest value 3.752 is an outlier",0.593
"126","w5","pup","M","Control Vehicle","Total",11,1.54,0.74,"highest value 52.39823982 is an outlier",0.602
"127","w5","pup","F","HFHS B. longum APC1472","Propionate",9,1.44,0.71,"highest value 8.374485597 is an outlier",0.606
"128","w5","pup","F","HFHS B. longum APC1472","Valerate",9,1.43,0.711,"highest value 4.465020576 is an outlier",0.609
"129","dam","dam","F","HFHS Vehicle","Propionate",7,1.31,0.667,"highest value 7.072649573 is an outlier",0.612
"130","dam","dam","F","HFHS B. longum APC1472","Butyrate",7,1.25,0.695,"highest value 3.909853249 is an outlier",0.697
"131","w5","pup","F","HFHS Vehicle","Acetate",8,1.29,0.729,"lowest value 17.67944936 is an outlier",0.742
"132","w12","pup","F","Control Vehicle","IsoValerate",6,1.14,0.687,"lowest value 0.455 is an outlier",0.745
"133","w12","pup","M","Control Vehicle","IsoValerate",6,1.13,0.692,"highest value 0.682 is an outlier",0.758
"134","w12","pup","F","HFHS FOS+GOS","Acetate",2,NA,NA,NA,NA
"135","w12","pup","F","HFHS FOS+GOS","Propionate",2,NA,NA,NA,NA
"136","w12","pup","F","HFHS FOS+GOS","IsoButyrate",2,NA,NA,NA,NA
"137","w12","pup","F","HFHS FOS+GOS","Butyrate",2,NA,NA,NA,NA
"138","w12","pup","F","HFHS FOS+GOS","IsoValerate",2,NA,NA,NA,NA
"139","w12","pup","F","HFHS FOS+GOS","Valerate",2,NA,NA,NA,NA
"140","w12","pup","F","HFHS FOS+GOS","Total",2,NA,NA,NA,NA
