"","legend","sex","name","n","G","U","grubbs","p_grubbs"
"96","HFHS Vehicle","F","Lepr_puncta_double_Lepr_Pomc_cells",14,2.04,0.656,"highest value 16.46 is an outlier",0.192
"97","Control Vehicle","F","double_Lepr_Ghsr_cells_among_Lepr_posit_cells",13,1.98,0.646,"lowest value 39.13043478 is an outlier",0.208
"98","Control Vehicle","F","double_Lepr_Ghsr_cells",13,1.98,0.647,"lowest value 18 is an outlier",0.209
"99","HFHS 1472","F","double_Lepr_Pomc_cells_among_Lepr_posit_cells",10,1.84,0.583,"highest value 48.29931973 is an outlier",0.218
"100","HFHS 1472","M","Lepr_puncta_double_Lepr_Pomc_cells",13,1.95,0.656,"highest value 47.14 is an outlier",0.229
"101","HFHS Vehicle","F","Ghsr_puncta_double_Ghsr_Pomc_cells",14,1.98,0.674,"highest value 27.9 is an outlier",0.231
"102","HFHS Vehicle","F","double_Lepr_Ghsr_cells_among_Ghsr_posit_cells",14,1.98,0.675,"lowest value 11.76470588 is an outlier",0.234
"103","HFHS FOS+GOS","F","Ghsr_puncta_double_Ghsr_Pomc_cells",10,1.82,0.593,"highest value 65.26 is an outlier",0.236
"104","HFHS Vehicle","M","double_Ghsr_Pomc_cells_among_Pomc_posit_cells",11,1.86,0.621,"lowest value 4.761904762 is an outlier",0.24
"105","Control Vehicle","F","double_Lepr_Pomc_cells",13,1.94,0.662,"highest value 120 is an outlier",0.241
"106","HFHS Vehicle","F","Lepr_puncta_triple_cells",14,1.97,0.679,"highest value 29.14 is an outlier",0.242
"107","HFHS 1472","F","Lepr_puncta_triple_cells",10,1.8,0.598,"highest value 38.78 is an outlier",0.245
"108","HFHS FOS+GOS","M","Lepr_puncta_double_Lepr_Pomc_cells",12,1.89,0.646,"highest value 18.89 is an outlier",0.248
"109","HFHS 1472","M","Lepr_puncta_double_Lepr_Ghsr_cells",13,1.92,0.666,"highest value 30.2 is an outlier",0.25
"110","HFHS 1472","F","double_Ghsr_Pomc_cells_among_Pomc_posit_cells",10,1.8,0.601,"lowest value 12.5 is an outlier",0.25
"111","HFHS 1472","M","Lepr_puncta_triple_cells",13,1.92,0.667,"highest value 51.67 is an outlier",0.252
"112","HFHS 1472","F","Posit_Ghsr_cells",10,1.79,0.602,"highest value 328 is an outlier",0.253
"113","HFHS Vehicle","F","Ghsr_aver_puncta",14,1.95,0.684,"lowest value 4.05 is an outlier",0.254
"114","HFHS FOS+GOS","F","Lepr_puncta_double_Lepr_Pomc_cells",10,1.79,0.605,"highest value 33.54 is an outlier",0.259
"115","HFHS 1472","F","triple_posit_cells_among_Pomc_cells",10,1.78,0.609,"highest value 50.38167939 is an outlier",0.265
"116","HFHS FOS+GOS","M","Posit_Lepr_cells",12,1.87,0.654,"highest value 150 is an outlier",0.266
"117","HFHS 1472","F","Posit_Pomc_cells",10,1.77,0.613,"highest value 135 is an outlier",0.275
"118","HFHS FOS+GOS","F","Lepr_puncta_double_Lepr_Ghsr_cells",10,1.77,0.614,"highest value 30.18 is an outlier",0.276
"119","HFHS FOS+GOS","F","Posit_Ghsr_cells",10,1.77,0.615,"lowest value 95 is an outlier",0.278
"120","Control Vehicle","F","double_Lepr_Pomc_cells_among_Pomc_posit_cells",13,1.89,0.679,"lowest value 28.98550725 is an outlier",0.282
"121","HFHS FOS+GOS","M","Lepr_aver_puncta",12,1.85,0.662,"highest value 16.82 is an outlier",0.285
"122","HFHS Vehicle","F","Lepr_aver_puncta",14,1.91,0.696,"highest value 17.51 is an outlier",0.288
"123","Control Vehicle","F","Area",13,1.88,0.683,"lowest value 91644.6281 is an outlier",0.292
"124","Control Vehicle","F","Pomc_aver_puncta",13,1.87,0.683,"highest value 48.79 is an outlier",0.293
"125","Control Vehicle","F","double_Lepr_Ghsr_cells_among_Ghsr_posit_cells",13,1.87,0.683,"highest value 63.92405063 is an outlier",0.294
