Sex,Age,Legend,name,n,G,U,grubbs,p_grubbs
M,PND56,HFHS FOS+GOS,bw_gain,13,2.73,0.327,lowest value 17.3 is an outlier,0.00386
M,PND42,HFHS FOS+GOS,bw_gain,13,2.72,0.332,lowest value 16.2 is an outlier,0.00418
M,PND49,HFHS FOS+GOS,bw_gain,13,2.62,0.382,lowest value 17 is an outlier,0.00938
F,PND14,HFHS Vehicle,bw_gain,12,2.55,0.355,lowest value 1.9 is an outlier,0.01
M,PND77,HFHS FOS+GOS,bw_gain,13,2.55,0.412,lowest value 22 is an outlier,0.0144
M,PND28,HFHS FOS+GOS,bw_gain,13,2.5,0.437,lowest value 11.4 is an outlier,0.0203
F,PND28,HFHS FOS+GOS,bw_gain,12,2.33,0.463,lowest value 10.7 is an outlier,0.0403
M,PND84,HFHS FOS+GOS,bw_gain,13,2.31,0.517,lowest value 23.3 is an outlier,0.0545
M,PND63,HFHS FOS+GOS,bw_gain,13,2.27,0.533,lowest value 18.6 is an outlier,0.0652
F,PND35,Control Vehicle,bw_gain,12,2.22,0.511,lowest value 8.3 is an outlier,0.0686
F,PND56,Control Vehicle,bw_gain,12,2.2,0.52,lowest value 12.5 is an outlier,0.0747
F,PND28,HFHS Vehicle,bw_gain,12,2.2,0.521,lowest value 8.1 is an outlier,0.0754
F,PND42,HFHS 1472,bw_gain,13,2.2,0.563,lowest value 8.8 is an outlier,0.0898
M,PND14,Control Vehicle,bw_gain,12,2.13,0.552,highest value 6.6 is an outlier,0.104
M,PND70,Control Vehicle,bw_gain,12,2.12,0.555,lowest value 19.8 is an outlier,0.106
M,PND77,Control Vehicle,bw_gain,12,2.12,0.555,lowest value 20 is an outlier,0.107
F,PND42,HFHS FOS+GOS,bw_gain,12,2.11,0.557,highest value 18.6 is an outlier,0.109
M,PND21,Control Vehicle,bw_gain,12,2.1,0.562,highest value 7.6 is an outlier,0.114
M,PND70,HFHS FOS+GOS,bw_gain,13,2.13,0.591,lowest value 20.5 is an outlier,0.12
F,PND7,Control Vehicle,bw_gain,12,2.09,0.568,lowest value 0.8 is an outlier,0.121
M,PND84,Control Vehicle,bw_gain,12,2.08,0.569,lowest value 21.8 is an outlier,0.123
M,PND63,Control Vehicle,bw_gain,12,2.08,0.571,lowest value 18.3 is an outlier,0.124
M,PND56,HFHS 1472,bw_gain,12,2.04,0.585,lowest value 17.4 is an outlier,0.143
M,PND28,Control Vehicle,bw_gain,12,2.04,0.587,highest value 13.3 is an outlier,0.145
M,PND28,HFHS 1472,bw_gain,12,2.04,0.588,lowest value 9.1 is an outlier,0.147
F,PND63,HFHS FOS+GOS,bw_gain,12,2.02,0.593,highest value 20.8 is an outlier,0.154
M,PND21,HFHS 1472,bw_gain,12,2.02,0.594,lowest value 4.2 is an outlier,0.155
M,PND63,HFHS 1472,bw_gain,12,2.01,0.598,lowest value 18.6 is an outlier,0.161
M,PND14,HFHS Vehicle,bw_gain,12,2.01,0.601,lowest value 2.8 is an outlier,0.165
M,PND35,HFHS Vehicle,bw_gain,12,1.99,0.605,highest value 23 is an outlier,0.172
F,PND14,HFHS FOS+GOS,bw_gain,12,1.99,0.608,highest value 6.9 is an outlier,0.176
M,PND56,Control Vehicle,bw_gain,12,1.99,0.608,lowest value 16.9 is an outlier,0.176
M,PND77,HFHS 1472,bw_gain,12,1.97,0.615,lowest value 19.9 is an outlier,0.187
F,PND63,Control Vehicle,bw_gain,12,1.97,0.616,highest value 18.9 is an outlier,0.19
M,PND84,HFHS 1472,bw_gain,12,1.96,0.621,highest value 27.3 is an outlier,0.198
F,PND49,HFHS FOS+GOS,bw_gain,12,1.93,0.631,highest value 18 is an outlier,0.216
F,PND42,Control Vehicle,bw_gain,12,1.92,0.635,lowest value 10.1 is an outlier,0.224
F,PND7,HFHS FOS+GOS,bw_gain,12,1.89,0.644,highest value 3.1 is an outlier,0.244
F,PND35,HFHS 1472,bw_gain,13,1.93,0.664,lowest value 11.4 is an outlier,0.246
F,PND49,HFHS Vehicle,bw_gain,12,1.89,0.646,lowest value 13 is an outlier,0.248
F,PND70,HFHS FOS+GOS,bw_gain,12,1.88,0.649,highest value 21 is an outlier,0.254
