Sample,sex,timepoint,Cage/Litter,Cohort,Diet,Treatment,legend
303w10,F,w10,125.2,3,HFHS,Vehicle,HFHS Vehicle
303w5,F,w5,125.2,3,HFHS,Vehicle,HFHS Vehicle
304w10,F,w10,125.2,3,HFHS,Vehicle,HFHS Vehicle
304w5,F,w5,125.2,3,HFHS,Vehicle,HFHS Vehicle
305w10,F,w10,125.1,3,HFHS,Vehicle,HFHS Vehicle
305w5,F,w5,125.1,3,HFHS,Vehicle,HFHS Vehicle
306w10,F,w10,125.2,3,HFHS,Vehicle,HFHS Vehicle
306w5,F,w5,125.2,3,HFHS,Vehicle,HFHS Vehicle
308w10,M,w10,125,3,HFHS,Vehicle,HFHS Vehicle
308w5,M,w5,125,3,HFHS,Vehicle,HFHS Vehicle
310w10,M,w10,125,3,HFHS,Vehicle,HFHS Vehicle
310w5,M,w5,125,3,HFHS,Vehicle,HFHS Vehicle
311w5,F,w5,114,3,HFHS,FOS+GOS,HFHS FOS+GOS
312w10,M,w10,114,3,HFHS,FOS+GOS,HFHS FOS+GOS
312w5,M,w5,114,3,HFHS,FOS+GOS,HFHS FOS+GOS
314w10,M,w10,114,3,HFHS,FOS+GOS,HFHS FOS+GOS
314w5,M,w5,114,3,HFHS,FOS+GOS,HFHS FOS+GOS
315w10,M,w10,114,3,HFHS,FOS+GOS,HFHS FOS+GOS
315w5,M,w5,114,3,HFHS,FOS+GOS,HFHS FOS+GOS
401w10,F,w10,129,4,Control,Vehicle,Control Vehicle
401w5,F,w5,129,4,Control,Vehicle,Control Vehicle
402w10,F,w10,129,4,Control,Vehicle,Control Vehicle
402w5,F,w5,129,4,Control,Vehicle,Control Vehicle
405w10,M,w10,129,4,Control,Vehicle,Control Vehicle
405w5,M,w5,129,4,Control,Vehicle,Control Vehicle
407w10,M,w10,129,4,Control,Vehicle,Control Vehicle
407w5,M,w5,129,4,Control,Vehicle,Control Vehicle
408w10,F,w10,113,4,Control,Vehicle,Control Vehicle
408w5,F,w5,113,4,Control,Vehicle,Control Vehicle
409w10,F,w10,113,4,Control,Vehicle,Control Vehicle
409w5,F,w5,113,4,Control,Vehicle,Control Vehicle
412w10,M,w10,113,4,Control,Vehicle,Control Vehicle
412w5,M,w5,113,4,Control,Vehicle,Control Vehicle
413w10,M,w10,113,4,Control,Vehicle,Control Vehicle
413w5,M,w5,113,4,Control,Vehicle,Control Vehicle
419w10,F,w10,126,4,HFHS,Vehicle,HFHS Vehicle
419w5,F,w5,126,4,HFHS,Vehicle,HFHS Vehicle
420w10,F,w10,126,4,HFHS,Vehicle,HFHS Vehicle
420w5,F,w5,126,4,HFHS,Vehicle,HFHS Vehicle
421w10,F,w10,126,4,HFHS,Vehicle,HFHS Vehicle
421w5,F,w5,126,4,HFHS,Vehicle,HFHS Vehicle
422w10,M,w10,126,4,HFHS,Vehicle,HFHS Vehicle
423w10,M,w10,126,4,HFHS,Vehicle,HFHS Vehicle
423w5,M,w5,126,4,HFHS,Vehicle,HFHS Vehicle
435w10,F,w10,116,4,HFHS,1472,HFHS B. longum APC1472
435w5,F,w5,116,4,HFHS,1472,HFHS B. longum APC1472
436w10,F,w10,116,4,HFHS,1472,HFHS B. longum APC1472
436w5,F,w5,116,4,HFHS,1472,HFHS B. longum APC1472
438w10,M,w10,116,4,HFHS,1472,HFHS B. longum APC1472
438w5,M,w5,116,4,HFHS,1472,HFHS B. longum APC1472
439w10,M,w10,116,4,HFHS,1472,HFHS B. longum APC1472
439w5,M,w5,116,4,HFHS,1472,HFHS B. longum APC1472
501w10,F,w10,130,5,HFHS,1472,HFHS B. longum APC1472
501w5,F,w5,130,5,HFHS,1472,HFHS B. longum APC1472
503w10,F,w10,130,5,HFHS,1472,HFHS B. longum APC1472
503w5,F,w5,130,5,HFHS,1472,HFHS B. longum APC1472
506w10,M,w10,130,5,HFHS,1472,HFHS B. longum APC1472
506w5,M,w5,130,5,HFHS,1472,HFHS B. longum APC1472
115w5repeat,F,w5,104,1,Control,Vehicle,Control Vehicle
241w5repeat,M,w5,128,2,HFHS,FOS+GOS,HFHS FOS+GOS
311w10pos,F,w10,114,3,HFHS,FOS+GOS,HFHS FOS+GOS
422w5repeat,M,w5,126,4,HFHS,Vehicle,HFHS Vehicle
507w10,M,w10,130,5,HFHS,1472,HFHS B. longum APC1472
507w5,M,w5,130,5,HFHS,1472,HFHS B. longum APC1472
508w10,M,w10,130,5,HFHS,1472,HFHS B. longum APC1472
508w5,M,w5,130,5,HFHS,1472,HFHS B. longum APC1472
