symbol,sex,statistic_diet,p.adj_diet,statistic_treatment_FOSGOS,p.adj_treatment_FOSGOS,statistic_treatment_1472,p.adj_treatment_1472,restoration_FOSGOS,restoration_1472
Nptxr,M,-0.068657164,0.947,1.464729817,0.525,1.188727707,0.53,not restored,not restored
Npvf,F,-0.488676862,0.636,1.332400905,0.426,-0.573263087,0.58,not restored,not restored
Npvf,M,-0.078612867,0.939,-1.089654217,0.918,-0.355908769,1,not restored,not restored
Npy,F,-1.745170686,0.13,3.712292865,0.015,0.155475867,0.88,not restored,not restored
Npy,M,1.010436497,0.345,-0.273059276,1,-0.285353428,1,not restored,not restored
Npy1r,F,2.271422849,0.058,-0.757555711,0.946,-1.474765121,0.513,not restored,not restored
Npy1r,M,-1.288117891,0.241,-0.475067839,1,-0.537444059,1,not restored,not restored
Npy2r,F,1.653453967,0.145,0.391431483,0.79,-0.896349707,0.79,not restored,not restored
Npy2r,M,-0.751813637,0.483,-0.160534376,1,-0.010208937,1,not restored,not restored
Npy5r,F,2.535078418,0.036,0.106049025,0.919,-1.141967639,0.578,not restored,not restored
Npy5r,M,-0.595725963,0.568,-0.176916311,0.865,-0.99970762,0.688,not restored,not restored
Nqo1,F,1.136024684,0.295,0.710064411,0.998,2.109408504,0.184,not restored,not restored
Nqo1,M,-0.402415862,0.699,-0.021478356,1,0.04808722,1,not restored,not restored
Nqo2,F,1.299193473,0.244,0.927516706,0.381,-1.424131286,0.376,not restored,not restored
Nqo2,M,-0.632469127,0.542,-1.028276818,0.96,-1.051286727,0.96,not restored,not restored
Nr0b1,F,-0.542674626,0.606,-0.118839461,0.908,-1.185486153,0.783,not restored,not restored
Nr0b1,M,-1.108048974,0.299,2.072191455,0.224,0.320858422,0.755,not restored,not restored
Nr1d1,F,0.500547321,0.631,-0.83516329,0.862,0.833567568,0.862,not restored,not restored
Nr1d1,M,1.222571636,0.253,0.283715976,0.782,1.993372345,0.232,not restored,not restored
Nr1d2,F,1.772855703,0.127,-1.150593559,0.714,0.010386557,0.992,not restored,not restored
Nr1d2,M,-0.698773949,0.512,-0.7730288,1,-0.621256691,1,not restored,not restored
Nr1h2,F,-1.030774001,0.349,-0.056818683,0.956,1.253901113,0.723,not restored,not restored
Nr1h2,M,1.36247,0.228,-0.595544604,1,0.54457013,1,not restored,not restored
Nr1h3,F,-0.567265814,0.589,-0.434093363,1,-0.334830436,1,not restored,not restored
Nr1h3,M,-0.455363365,0.659,-0.769102662,1,-0.138909778,1,not restored,not restored
Nr1i3,F,0.293125659,0.776,-0.605006598,1,-0.90511081,1,not restored,not restored
Nr1i3,M,0.24341885,0.813,1.859167518,0.321,0.384828334,0.708,not restored,not restored
Nr2c1,F,2.115474722,0.082,-1.137630428,0.592,0.788612289,0.592,not restored,not restored
Nr2c1,M,-0.940164611,0.38,-0.005509398,1,-0.168011846,1,not restored,not restored
Nr2c2,F,2.440833345,0.044,-0.224558972,1,-0.068375713,1,not restored,not restored
Nr2c2,M,-0.057923424,0.955,0.124941982,0.905,-0.90522728,0.774,not restored,not restored
Nr2c2ap,F,-1.22888077,0.248,2.282640482,0.141,1.255950808,0.348,not restored,not restored
Nr2c2ap,M,1.64903909,0.143,0.236737557,1,0.132890338,1,not restored,not restored
Nr2e1,F,-0.311698155,0.762,0.473423157,1,0.48528144,1,not restored,not restored
Nr2e1,M,-0.41621845,0.69,-0.684870895,1,0.163092541,1,not restored,not restored
Nr2f1,F,0.853408702,0.419,-1.101228661,0.609,0.407669582,0.693,not restored,not restored
Nr2f1,M,1.051726475,0.321,0.549528848,1,0.710502099,1,not restored,not restored
Nr2f2,F,3.068378176,0.024,-0.697902209,1,0.455097705,1,not restored,not restored
Nr2f2,M,0.228536386,0.827,0.046442275,1,-0.508584671,1,not restored,not restored
Nr2f6,F,-0.703216705,0.506,-0.392628505,1,-0.039252543,1,not restored,not restored
Nr2f6,M,1.060210954,0.334,0.341190822,1,0.681131703,1,not restored,not restored
Nr3c1,F,1.173946684,0.287,-0.62048034,1,0.381748219,1,not restored,not restored
Nr3c1,M,-0.340849825,0.745,-0.314407008,1,-0.791717701,1,not restored,not restored
Nr3c2,F,1.837237529,0.098,-1.901193353,0.295,-0.551591329,0.594,not restored,not restored
Nr3c2,M,-1.694740072,0.139,1.185815841,0.6,-0.058970532,0.954,not restored,not restored
Nr4a1,F,-1.140807621,0.281,-0.803394427,0.882,0.275575226,0.882,not restored,not restored
Nr4a1,M,0.380780304,0.715,0.234608082,1,0.804415558,1,not restored,not restored
Nr4a2,F,1.771591883,0.121,0.797837966,0.888,-0.48272951,0.888,not restored,not restored
Nr4a2,M,-0.678098638,0.521,0.41727592,1,-0.167254734,1,not restored,not restored
Nr4a3,F,-1.052557234,0.323,0.662587897,1,0.597459058,1,not restored,not restored
Nr4a3,M,-1.743089224,0.117,-0.166102848,1,-0.704258292,1,not restored,not restored
Nr5a1,F,-1.087002207,0.315,1.795757854,0.261,-0.395203107,0.702,not restored,not restored
Nr5a1,M,0.207257307,0.84,0.769662663,1,0.368563742,1,not restored,not restored
Nr5a2,F,1.101769918,0.297,0.604365264,1,0.162490853,1,not restored,not restored
Nr5a2,M,0.686699964,0.516,-0.996190182,1,-0.789313007,1,not restored,not restored
Nr6a1,F,0.847552798,0.42,1.230399451,0.756,0.861980963,0.818,not restored,not restored
Nr6a1,M,-0.266858643,0.797,-0.421655863,1,-0.594605611,1,not restored,not restored
Nradd,F,-0.548827427,0.597,-0.7488379,1,-0.986727267,1,not restored,not restored
Nradd,M,2.23005835,0.054,-0.638813634,1,-0.403730687,1,not restored,not restored
Nrap,F,-1.215520364,0.254,1.667592469,0.405,1.65546202,0.405,not restored,not restored
Nrap,M,1.511981111,0.171,-0.59390319,1,-0.882251997,1,not restored,not restored
Nrarp,F,-0.95888564,0.37,-0.040136785,0.969,1.529920988,0.471,not restored,not restored
Nrarp,M,0.846474646,0.418,0.290919288,0.932,1.157006287,0.834,not restored,not restored
Nras,F,2.700404767,0.039,-2.054691276,0.212,-1.501635541,0.33,not restored,not restored
Nras,M,-0.999209674,0.347,0.312550881,1,-0.329768846,1,not restored,not restored
Nrbf2,F,1.507322153,0.177,-0.858684808,0.676,1.006845519,0.676,not restored,not restored
Nrbf2,M,-1.626675513,0.136,-0.413270742,1,-0.451406922,1,not restored,not restored
Nrbp1,F,-0.049898776,0.961,0.610393721,1,1.283293186,0.729,not restored,not restored
Nrbp1,M,0.31228733,0.763,-0.804763436,0.88,0.42923641,0.88,not restored,not restored
Nrbp2,F,-0.737782614,0.493,-0.326804337,1,0.639142025,1,not restored,not restored
Nrbp2,M,0.693895019,0.511,-0.603291903,1,0.466129176,1,not restored,not restored
Nrcam,F,3.224978375,0.009,-0.493995872,1,-0.893155242,1,not restored,not restored
Nrcam,M,0.934335571,0.374,-0.94034362,0.61,-1.743252236,0.348,not restored,not restored
Nrdc,F,3.207189666,0.014,-0.965861721,1,-0.561098215,1,not restored,not restored
Nrdc,M,-0.414996799,0.694,-0.617356686,0.795,-1.183124871,0.795,not restored,not restored
Nrde2,F,0.776268491,0.456,0.124038142,1,0.585624314,1,not restored,not restored
Nrde2,M,-0.170677203,0.868,2.299355623,0.153,1.911439899,0.176,not restored,not restored
Nrep,F,3.049777554,0.025,-0.490886161,1,-0.77693277,1,not restored,not restored
Nrep,M,0.89954841,0.39,-1.098028138,0.9,-0.452947045,1,not restored,not restored
Nrf1,F,0.006287449,0.995,2.725945508,0.084,2.180057684,0.115,not restored,not restored
Nrf1,M,-0.860840883,0.424,2.839451639,0.068,-0.299214064,0.773,not restored,not restored
Nrg1,F,3.206396837,0.018,-0.686422906,0.788,-2.208260033,0.156,not restored,not restored
Nrg1,M,0.75128244,0.472,-1.297717463,0.678,-1.154259293,0.678,not restored,not restored
Nrg2,F,-0.575050345,0.585,0.86241679,0.844,1.263614579,0.723,not restored,not restored
Nrg2,M,1.073545941,0.308,0.359438121,1,0.368651368,1,not restored,not restored
Nrg3,F,0.359843881,0.726,-0.435963325,1,0.606666494,1,not restored,not restored
Nrg3,M,-0.150491038,0.884,-0.052259429,1,0.114855073,1,not restored,not restored
Nrg4,F,0.113369383,0.913,-0.160706397,1,-0.244933613,1,not restored,not restored
Nrg4,M,-1.143837506,0.282,1.212488587,0.774,-0.180886764,0.861,not restored,not restored
Nrgn,F,-0.705706,0.511,0.202108001,0.844,1.563009937,0.459,not restored,not restored
Nrgn,M,1.14733801,0.299,-0.030088059,1,0.557725298,1,not restored,not restored
Nrip1,F,2.17672506,0.055,-0.838720016,0.864,0.319153986,0.864,not restored,not restored
Nrip1,M,-0.71193168,0.494,-0.05151689,1,-0.542005044,1,not restored,not restored
Nrip2,F,-0.241558828,0.818,0.564682521,0.589,-1.577331031,0.444,not restored,not restored
Nrip2,M,1.460238829,0.199,-0.331068733,1,0.233566253,1,not restored,not restored
Nrip3,F,1.810946501,0.123,-0.745183483,0.894,0.829057422,0.894,not restored,not restored
Nrip3,M,-0.529762797,0.609,-0.402901802,1,-0.533809771,1,not restored,not restored
Nrl,F,-0.817801595,0.434,1.343443624,0.639,0.940212718,0.744,not restored,not restored
Nrl,M,-2.785389339,0.019,1.342042152,0.654,1.252601392,0.654,not restored,not restored
Nrm,F,2.343991665,0.041,-1.345590589,0.429,-1.623034224,0.429,not restored,not restored
Nrm,M,0.67712377,0.514,-1.059938627,0.723,0.320817787,0.755,not restored,not restored
Nrn1,F,1.366555356,0.208,-0.246641602,1,-1.144198166,0.837,not restored,not restored
Nrn1,M,1.724650924,0.138,-0.775773735,0.918,0.524583373,0.918,not restored,not restored
Nrn1l,F,-0.461695459,0.655,0.913056592,0.592,1.943374606,0.244,not restored,not restored
Nrn1l,M,-0.086031596,0.934,1.40016564,0.603,0.662374172,0.936,not restored,not restored
Nrp1,F,0.685553367,0.513,0.585415156,1,-0.223801003,1,not restored,not restored
Nrp1,M,0.31357316,0.763,-0.765766787,1,-0.449281316,1,not restored,not restored
Nrp2,F,0.583621309,0.578,1.346629197,0.627,0.739212145,0.954,not restored,not restored
Nrp2,M,-0.824287548,0.438,-0.190692069,1,0.232291846,1,not restored,not restored
Nrros,F,2.368466845,0.04,-0.159802454,1,0.354972907,1,not restored,not restored
Nrros,M,0.783721246,0.454,0.281492124,1,-0.289386995,1,not restored,not restored
Nrsn1,F,1.954542648,0.101,1.401622112,0.615,1.082664308,0.616,not restored,not restored
Nrsn1,M,-0.424877702,0.687,0.198188464,1,0.306757317,1,not restored,not restored
Nrsn2,F,-0.173441938,0.868,0.22496608,0.827,1.64447077,0.396,not restored,not restored
Nrsn2,M,1.84451723,0.12,-0.832928665,0.957,0.095518723,0.957,not restored,not restored
Nrtn,F,-0.83804787,0.432,-0.221083018,1,0.614950772,1,not restored,not restored
Nrtn,M,0.596527368,0.571,-0.599470685,1,0.558022654,1,not restored,not restored
Nrxn1,F,1.740525701,0.134,-0.409161876,1,-0.102126967,1,not restored,not restored
Nrxn1,M,-0.375400054,0.719,0.13222986,1,-0.572174582,1,not restored,not restored
Nrxn2,F,-0.621533461,0.559,-0.145832578,0.887,1.56200141,0.453,not restored,not restored
Nrxn2,M,1.613625182,0.163,-0.00410427,1,0.527583352,1,not restored,not restored
Nrxn3,F,1.63153479,0.141,0.274147048,1,0.840602614,1,not restored,not restored
Nrxn3,M,0.121710136,0.907,-0.000571642,1,-0.652167296,1,not restored,not restored
Nsa2,F,1.530857699,0.169,0.397399847,1,-0.16841774,1,not restored,not restored
Nsa2,M,0.462792532,0.653,-0.619656952,1,-0.53854506,1,not restored,not restored
Nscme3l,F,0.588389206,0.573,0.070247574,1,-0.0877686,1,not restored,not restored
Nscme3l,M,0.629685072,0.546,-0.267999403,0.794,-2.116191909,0.193,not restored,not restored
Nsd1,F,2.728920902,0.023,0.438069103,1,-0.02075484,1,not restored,not restored
Nsd1,M,0.301477914,0.771,-0.492845108,0.634,-1.780182208,0.321,not restored,not restored
Nsd2,F,2.497158669,0.034,-0.731230863,1,-0.431605339,1,not restored,not restored
Nsd2,M,-0.095915887,0.926,-0.366588737,0.725,-1.377215184,0.609,not restored,not restored
Nsd3,F,1.541196175,0.156,1.122711331,0.867,0.60184497,1,not restored,not restored
Nsd3,M,-0.256510373,0.803,-0.329146735,0.749,-1.458691409,0.546,not restored,not restored
Nsdhl,F,-1.720949955,0.121,2.219804237,0.103,2.716923751,0.065,not restored,not restored
Nsdhl,M,-1.591160767,0.148,-0.822323914,1,0.354824893,1,not restored,not restored
Nsf,F,1.427478706,0.205,0.197974643,1,0.965089555,1,not restored,not restored
Nsf,M,-0.611510164,0.566,0.499313014,1,0.281189754,1,not restored,not restored
Nsfl1c,F,-1.141438724,0.304,1.428388164,0.552,0.261533287,0.799,not restored,not restored
Nsfl1c,M,0.986978655,0.365,-0.698290709,1,0.270884507,1,not restored,not restored
Nsg1,F,0.885768317,0.405,0.782117363,0.904,1.23668736,0.735,not restored,not restored
Nsg1,M,0.575808448,0.58,-0.008050945,0.994,1.663245194,0.393,not restored,not restored
Nsg2,F,1.077828852,0.311,-0.019796932,1,0.908480869,1,not restored,not restored
Nsg2,M,1.234538411,0.246,0.81522229,0.874,1.930979205,0.247,not restored,not restored
Nsl1,F,-0.39525767,0.701,-0.850830309,0.418,1.428613139,0.4,not restored,not restored
Nsl1,M,-1.706616979,0.119,2.251480582,0.151,0.829859491,0.78,not restored,not restored
Nsmaf,F,3.070936409,0.015,0.168815017,0.996,-0.704494811,0.996,not restored,not restored
Nsmaf,M,-0.434716172,0.68,-0.097899268,1,-0.505836139,1,not restored,not restored
Nsmce1,F,1.207052214,0.272,0.158798806,1,0.738407983,1,not restored,not restored
Nsmce1,M,-0.454107029,0.66,1.21898281,0.538,1.652955938,0.393,not restored,not restored
Nsmce2,F,1.890630614,0.115,1.443066237,0.408,-0.841018006,0.436,not restored,not restored
Nsmce2,M,-0.168362261,0.872,0.083950374,1,-0.520417336,1,not restored,not restored
Nsmce3,F,-0.379204359,0.717,0.901075498,0.78,1.372332804,0.603,not restored,not restored
Nsmce3,M,1.462152782,0.175,1.362490988,0.452,2.653711395,0.124,not restored,not restored
Nsmce4a,F,1.345140359,0.214,0.480979372,0.986,1.644593626,0.423,not restored,not restored
Nsmce4a,M,-1.133967979,0.295,1.101610495,0.903,0.48824178,1,not restored,not restored
Nsmf,F,-0.440880381,0.675,-0.883161363,1,-0.03062836,1,not restored,not restored
Nsmf,M,0.562191682,0.592,0.357466344,1,0.950661206,1,not restored,not restored
Nsrp1,F,-1.82792132,0.113,1.228832532,0.744,0.49466632,0.744,not restored,not restored
Nsrp1,M,0.858274603,0.425,-2.513687382,0.115,-0.516398527,0.617,not restored,not restored
Nsun2,F,1.618271109,0.152,-0.095917285,1,-0.245100003,1,not restored,not restored
Nsun2,M,-0.589327556,0.57,-1.770220478,0.339,-1.230025783,0.494,not restored,not restored
Nsun3,F,1.418742674,0.195,1.059831832,0.634,1.825643097,0.309,not restored,not restored
Nsun3,M,-0.627954491,0.551,1.13781313,0.873,0.396581918,1,not restored,not restored
Nsun4,F,1.365854734,0.206,-0.789543285,1,-0.331098239,1,not restored,not restored
Nsun4,M,-1.977942555,0.089,0.872045041,1,0.029886324,1,not restored,not restored
Nsun5,F,-0.284089627,0.785,2.048618028,0.217,1.703591899,0.238,not restored,not restored
Nsun5,M,-2.414118163,0.037,4.606237295,0.003,2.956921671,0.03,restored,restored
Nsun6,F,2.899229037,0.017,-1.732671411,0.351,-1.590418134,0.351,not restored,not restored
Nsun6,M,0.75334507,0.484,-0.776479342,0.471,-1.561371735,0.471,not restored,not restored
Nsun7,F,2.140972511,0.06,-0.107531561,1,-1.061203048,0.942,not restored,not restored
Nsun7,M,-0.148470663,0.885,0.274082051,0.793,-1.202219782,0.522,not restored,not restored
Nt5c,F,-0.550844061,0.604,0.169540411,1,-0.070728636,1,not restored,not restored
Nt5c,M,0.771708759,0.471,0.032457521,1,0.558154259,1,not restored,not restored
Nt5c1a,F,-0.751077685,0.47,-0.453634565,1,-0.088932505,1,not restored,not restored
Nt5c1a,M,0.872034554,0.406,-1.05594366,0.972,-0.646497077,1,not restored,not restored
Nt5c2,F,2.013030724,0.078,0.524548776,0.96,1.929185406,0.298,not restored,not restored
Nt5c2,M,-0.268746322,0.795,0.074022463,1,-0.447881793,1,not restored,not restored
Nt5c3,F,1.603180453,0.164,0.649651364,1,0.704328511,1,not restored,not restored
Nt5c3,M,-0.68003208,0.522,0.414060927,1,-0.231002755,1,not restored,not restored
Nt5c3b,F,-0.193393967,0.853,0.069509424,1,-0.090634035,1,not restored,not restored
Nt5c3b,M,-0.470877634,0.648,-0.545950831,0.599,2.367515518,0.079,not restored,not restored
Nt5dc1,F,1.007843226,0.338,0.01988229,0.985,0.918731311,0.768,not restored,not restored
Nt5dc1,M,-2.167797577,0.055,2.803715087,0.058,1.769984045,0.214,not restored,not restored
Nt5dc2,F,-0.770518969,0.471,0.051208008,1,0.986562181,1,not restored,not restored
Nt5dc2,M,2.090237834,0.084,-0.058384264,1,0.18200294,1,not restored,not restored
Nt5dc3,F,0.205887073,0.842,0.041523081,0.968,1.34457007,0.627,not restored,not restored
Nt5dc3,M,-0.482265159,0.643,1.237230527,0.756,0.500354573,1,not restored,not restored
Nt5e,F,1.632109514,0.138,-0.818116398,0.522,1.216144806,0.522,not restored,not restored
Nt5e,M,-1.324512711,0.226,1.749216182,0.372,0.309784503,0.763,not restored,not restored
Nt5m,F,-0.248683892,0.811,-0.405580943,1,0.345455441,1,not restored,not restored
Nt5m,M,0.93202153,0.374,0.942322178,0.912,-0.23442473,0.912,not restored,not restored
Ntan1,F,1.886012569,0.115,-0.738988531,0.954,0.639133052,0.954,not restored,not restored
Ntan1,M,-0.206184321,0.842,-0.736949827,1,-0.596705497,1,not restored,not restored
Ntaq1,F,1.631635698,0.157,-0.299846859,1,-1.078380191,0.942,not restored,not restored
Ntaq1,M,-0.309898509,0.764,-0.041217989,1,-0.204349724,1,not restored,not restored
Ntf3,F,-0.921810363,0.399,-2.283686335,0.149,-0.02035266,0.984,not restored,not restored
Ntf3,M,-0.11191488,0.914,0.753869683,1,0.622232247,1,not restored,not restored
Nthl1,F,0.68764217,0.518,-1.046697887,0.975,-0.868613027,0.975,not restored,not restored
Nthl1,M,0.401944575,0.698,-1.173768642,0.554,0.674789058,0.554,not restored,not restored
Ntm,F,1.899125024,0.111,-0.033738514,1,0.854157885,1,not restored,not restored
Ntm,M,0.281799807,0.784,-1.080667425,0.636,0.844735309,0.636,not restored,not restored
Ntmt1,F,0.547418653,0.6,1.068087389,0.624,2.141404101,0.176,not restored,not restored
Ntmt1,M,0.6462757,0.533,1.447955485,0.537,1.372553778,0.537,not restored,not restored
Ntn1,F,-0.373722945,0.717,0.004172727,1,0.242509909,1,not restored,not restored
Ntn1,M,2.306099759,0.053,0.192237286,1,0.752688925,1,not restored,not restored
Ntn3,F,-0.142904926,0.891,-1.671017912,0.378,-1.168349658,0.544,not restored,not restored
Ntn3,M,1.053885674,0.33,-0.00377711,1,0.384971568,1,not restored,not restored
Ntn4,F,0.711032504,0.493,-0.190730178,1,0.541503924,1,not restored,not restored
Ntn4,M,-0.864926601,0.409,0.509596081,1,0.628911166,1,not restored,not restored
Ntng1,F,1.276421186,0.241,-1.029788939,1,0.002875285,1,not restored,not restored
Ntng1,M,0.075643129,0.941,0.363933822,1,0.098391649,1,not restored,not restored
Ntng2,F,-0.493946444,0.64,0.804524601,0.443,1.885980618,0.278,not restored,not restored
Ntng2,M,2.757136172,0.028,-0.700765622,1,0.324165383,1,not restored,not restored
Ntpcr,F,0.572561335,0.582,0.14760356,1,0.38919669,1,not restored,not restored
Ntpcr,M,0.548363489,0.598,0.818178669,0.852,-0.829579397,0.852,not restored,not restored
Ntrk1,F,-1.667771292,0.126,1.02844926,0.858,1.126514892,0.858,not restored,not restored
Ntrk1,M,-0.142064833,0.89,-1.40588894,0.6,-0.69033941,0.65,not restored,not restored
Ntrk2,F,1.078127682,0.318,-0.142195985,0.999,-1.022466933,0.999,not restored,not restored
Ntrk2,M,0.101594439,0.922,0.021098927,1,-0.443647313,1,not restored,not restored
Ntrk3,F,2.842512341,0.019,0.227272418,1,0.035435252,1,not restored,not restored
Ntrk3,M,-0.027687309,0.979,0.018300496,1,-0.848509878,1,not restored,not restored
Nts,F,0.727591818,0.489,2.480280349,0.104,1.680692888,0.25,not restored,not restored
Nts,M,-0.714332417,0.5,-0.018084882,1,0.517552736,1,not restored,not restored
Ntsr1,F,1.014838782,0.35,-0.612561703,1,-0.589514367,1,not restored,not restored
Ntsr1,M,0.104121247,0.92,0.00912048,1,0.822525777,1,not restored,not restored
Ntsr2,F,0.432077618,0.682,0.455336875,1,-0.221507614,1,not restored,not restored
Ntsr2,M,1.528208817,0.161,-0.648546302,1,0.199350506,1,not restored,not restored
Nuak1,F,-1.232950051,0.262,-0.750323411,0.475,1.284219559,0.46,not restored,not restored
Nuak1,M,0.33972796,0.741,-0.013224393,1,0.125692989,1,not restored,not restored
Nuak2,F,-1.00785885,0.354,0.224516368,1,-0.324710553,1,not restored,not restored
Nuak2,M,-0.828051477,0.427,0.777768683,1,0.370833822,1,not restored,not restored
Nub1,F,-0.31868822,0.757,0.277074665,0.787,2.18264585,0.169,not restored,not restored
Nub1,M,0.099747841,0.923,0.078932488,0.939,1.881116175,0.289,not restored,not restored
Nubp1,F,-0.241166944,0.818,-0.796202894,1,-0.901414165,1,not restored,not restored
Nubp1,M,0.757851777,0.469,-0.723322466,0.494,-1.742096388,0.354,not restored,not restored
Nubp2,F,0.972506939,0.358,-0.217799349,1,0.305938123,1,not restored,not restored
Nubp2,M,0.608612459,0.557,0.851775498,1,0.7569182,1,not restored,not restored
Nubpl,F,1.264948947,0.252,0.018720949,1,0.416523155,1,not restored,not restored
Nubpl,M,0.566885989,0.588,-1.006126008,1,-0.936400008,1,not restored,not restored
Nucb1,F,-0.823689695,0.446,0.724707791,1,0.822173303,1,not restored,not restored
Nucb1,M,0.915407588,0.396,-0.760524615,0.958,0.668808987,0.958,not restored,not restored
Nucb2,F,-1.410549711,0.189,1.163868516,0.828,0.946543443,0.828,not restored,not restored
Nucb2,M,1.000876614,0.341,-2.778741406,0.071,0.263350125,0.801,not restored,not restored
Nucks1,F,1.93847247,0.099,0.967915574,0.712,1.795168828,0.312,not restored,not restored
Nucks1,M,-0.545852159,0.606,0.701035062,1,-0.033387814,1,not restored,not restored
Nudc,F,-1.292332802,0.251,2.410444185,0.11,2.027697068,0.143,not restored,not restored
Nudc,M,0.768482823,0.475,-0.398592611,1,0.593925655,1,not restored,not restored
Nudcd1,F,1.741029347,0.131,-0.029401781,1,-0.186423536,1,not restored,not restored
Nudcd1,M,-0.26002532,0.805,-0.289693834,1,-0.71064545,1,not restored,not restored
Nudcd2,F,0.897167853,0.4,1.5822876,0.435,1.05479752,0.644,not restored,not restored
Nudcd2,M,-0.679214153,0.52,0.72698659,0.99,-0.367031274,0.99,not restored,not restored
Nudcd3,F,0.969865795,0.357,-0.413589144,1,0.594991165,1,not restored,not restored
Nudcd3,M,1.621113444,0.141,0.577888042,1,0.009313239,1,not restored,not restored
Nudt1,F,0.070423183,0.946,0.932561733,0.798,-0.209025075,0.84,not restored,not restored
Nudt1,M,1.367500804,0.201,-0.665907336,1,-0.251745695,1,not restored,not restored
Nudt10,F,1.755274208,0.133,-0.48419882,1,-0.47762754,1,not restored,not restored
Nudt10,M,-0.221928521,0.83,0.983608808,0.966,-0.230497033,0.966,not restored,not restored
Nudt11,F,1.58126201,0.158,1.108196798,0.903,0.626638782,0.903,not restored,not restored
Nudt11,M,-0.33706936,0.746,0.876837002,1,0.169811379,1,not restored,not restored
Nudt12,F,0.217129523,0.835,1.555396302,0.302,-0.48139698,0.641,not restored,not restored
Nudt12,M,-0.784441223,0.462,-0.560426357,1,-0.683344209,1,not restored,not restored
Nudt13,F,1.190143316,0.263,1.392485305,0.612,0.862563598,0.826,not restored,not restored
Nudt13,M,-0.258268411,0.803,-0.044676385,1,-0.535043312,1,not restored,not restored
Nudt14,F,-0.95142999,0.382,-0.729759441,0.966,0.358208075,0.966,not restored,not restored
Nudt14,M,1.442607686,0.207,-2.159236737,0.214,-0.690009297,0.564,not restored,not restored
Nudt15,F,0.163735777,0.875,2.126716333,0.23,1.980804833,0.23,not restored,not restored
Nudt15,M,-0.599371757,0.566,0.697916693,1,0.393396217,1,not restored,not restored
Nudt16,F,3.274314019,0.008,-2.056769186,0.134,0.239785965,0.816,not restored,not restored
Nudt16,M,-0.194112501,0.85,1.459219968,0.528,0.191456155,0.852,not restored,not restored
Nudt16l1,F,-0.287608889,0.781,0.536554854,1,-0.605746037,1,not restored,not restored
Nudt16l1,M,1.337700718,0.229,-0.000322577,1,0.427737076,1,not restored,not restored
Nudt17,F,-1.159274344,0.274,1.422099628,0.558,1.022416981,0.662,not restored,not restored
Nudt17,M,1.281938765,0.232,0.56370716,1,0.501237537,1,not restored,not restored
Nudt18,F,-0.678219756,0.525,0.421435564,1,0.448857617,1,not restored,not restored
Nudt18,M,1.313017645,0.238,0.224761537,1,0.430291753,1,not restored,not restored
Nudt19,F,1.681239525,0.146,0.834822442,0.782,2.345860069,0.123,not restored,not restored
Nudt19,M,-0.445943733,0.666,-0.679857232,1,-0.274247746,1,not restored,not restored
Nudt2,F,1.521379851,0.159,-0.05496725,1,0.708621301,1,not restored,not restored
Nudt2,M,0.327941121,0.751,-1.254460023,0.492,0.055590324,0.957,not restored,not restored
Nudt21,F,1.724426868,0.137,0.273597322,1,-0.529451005,1,not restored,not restored
Nudt21,M,-0.413278047,0.693,0.56180169,1,-0.346268379,1,not restored,not restored
Nudt22,F,-1.881207423,0.097,0.600739017,1,1.371145967,0.63,not restored,not restored
Nudt22,M,1.159582989,0.291,-0.53630062,0.814,0.871534888,0.814,not restored,not restored
Nudt3,F,-0.458652183,0.662,-0.066652834,0.963,1.052026723,0.963,not restored,not restored
Nudt3,M,1.164027511,0.287,-0.490377408,1,0.54297573,1,not restored,not restored
Nudt4,F,1.73884984,0.136,-0.651849047,1,0.199781481,1,not restored,not restored
Nudt4,M,-0.808133013,0.455,0.203535303,1,-0.152389458,1,not restored,not restored
Nudt5,F,2.303902344,0.056,-1.097265869,0.897,-1.020657397,0.897,not restored,not restored
Nudt5,M,-0.12337658,0.906,0.156483562,1,-0.246179327,1,not restored,not restored
Nudt6,F,-0.560617478,0.59,-0.007378966,1,0.46222783,1,not restored,not restored
Nudt6,M,2.027579628,0.071,-0.014659903,1,-0.350206213,1,not restored,not restored
Nudt7,F,2.027076878,0.07,-0.772476923,0.93,-1.136001673,0.882,not restored,not restored
Nudt7,M,-1.826795383,0.114,0.086478854,1,-0.054199375,1,not restored,not restored
Nudt8,F,-0.851606845,0.43,-0.961599706,0.72,0.493521491,0.72,not restored,not restored
Nudt8,M,1.298685413,0.228,-0.022029728,1,0.681549939,1,not restored,not restored
Nudt9,F,-0.585807693,0.582,0.109030801,1,1.136875556,0.882,not restored,not restored
Nudt9,M,0.963464647,0.365,-1.037395494,0.65,0.581436007,0.65,not restored,not restored
Nuf2,F,-0.279706788,0.786,0.882011005,1,0.609520004,1,not restored,not restored
Nuf2,M,-0.172186504,0.868,-0.689055069,1,-0.131091719,1,not restored,not restored
Nufip1,F,1.220559608,0.268,-0.790809849,1,-0.224036763,1,not restored,not restored
Nufip1,M,-0.699095274,0.501,0.991252112,0.717,-0.571628367,0.717,not restored,not restored
Nufip2,F,1.31995164,0.222,0.68877374,1,0.640777574,1,not restored,not restored
Nufip2,M,-0.36658987,0.724,-0.462027176,0.672,-1.318113747,0.672,not restored,not restored
Numa1,F,0.099758788,0.924,-0.242932,0.813,-1.659906184,0.402,not restored,not restored
