symbol,sex,statistic_diet,p.adj_diet,statistic_treatment_FOSGOS,p.adj_treatment_FOSGOS,statistic_treatment_1472,p.adj_treatment_1472,restoration_FOSGOS,restoration_1472
1810055G02Rik,M,0.653644647,0.535,-0.02918316,0.977,1.015767059,0.849,not restored,not restored
2010315B03Rik,F,2.192887676,0.068,-0.812643921,0.436,-2.254185768,0.172,not restored,not restored
2010315B03Rik,M,-0.76519238,0.475,-0.28660821,1,-0.640721125,1,not restored,not restored
2210016L21Rik,F,-1.151674971,0.3,1.819246644,0.2,2.156938484,0.17,not restored,not restored
2210016L21Rik,M,1.096731629,0.318,-0.587165921,1,0.328891621,1,not restored,not restored
2210408I21Rik,F,1.516960791,0.179,-0.78042251,1,-0.061637779,1,not restored,not restored
2210408I21Rik,M,-0.257675849,0.805,-0.608531148,1,-0.723327365,1,not restored,not restored
2210418O10Rik,F,2.582773426,0.045,-0.529215629,1,-0.50530933,1,not restored,not restored
2210418O10Rik,M,-0.832809776,0.437,-0.537968913,1,-0.412156618,1,not restored,not restored
2300009A05Rik,F,1.824560316,0.107,-0.865844382,0.814,0.343841547,0.814,not restored,not restored
2300009A05Rik,M,0.30060703,0.772,0.706233981,1,0.721394052,1,not restored,not restored
2310009B15Rik,F,0.327661566,0.753,0.641992592,1,2.176586586,0.189,not restored,not restored
2310009B15Rik,M,1.362960415,0.205,-0.037544699,1,0.738958595,1,not restored,not restored
2310011J03Rik,F,-0.446188494,0.673,-0.194544029,1,-1.327073381,0.651,not restored,not restored
2310011J03Rik,M,0.365255438,0.728,0.326292653,1,0.822586111,1,not restored,not restored
2310022A10Rik,F,1.746631491,0.127,-1.541404171,0.507,-0.304362107,0.768,not restored,not restored
2310022A10Rik,M,0.738576334,0.486,0.941812636,1,0.881720546,1,not restored,not restored
2310022B05Rik,F,0.149786436,0.884,-0.53942257,0.601,1.633818647,0.274,not restored,not restored
2310022B05Rik,M,1.732563999,0.115,-0.612163596,1,0.487211129,1,not restored,not restored
2310030G06Rik,F,-0.103055298,0.92,0.297891196,0.774,1.264476013,0.573,not restored,not restored
2310030G06Rik,M,0.210334094,0.84,-0.00668516,1,0.407727468,1,not restored,not restored
2310033P09Rik,F,-0.244474344,0.813,-0.341701133,1,-0.851559087,1,not restored,not restored
2310033P09Rik,M,0.893202788,0.41,-1.37200292,0.627,-0.523975557,0.627,not restored,not restored
2310034G01Rik,F,-1.432192548,0.194,0.074645406,1,0.983140743,1,not restored,not restored
2310034G01Rik,M,0.517786536,0.616,1.853724613,0.33,1.129556935,0.62,not restored,not restored
2310039H08Rik,F,-0.639515616,0.539,1.136462077,0.837,1.159682342,0.837,not restored,not restored
2310039H08Rik,M,1.82752674,0.101,0.911723066,1,0.949797485,1,not restored,not restored
