Name,Cage/Litter,Mouse_ID,Cohort,Sex,Diet,Treatment,Age,bw,bw_gain
HFHS_CT_C2_L123_P213_F,123,213,2,F,HFHS,Vehicle,PND7,3.5,2.1
HFHS_CT_C2_L123_P216_M,123,216,2,M,HFHS,Vehicle,PND7,3.6,2.2
HFHS_CT_C2_L123_P217_M,123,217,2,M,HFHS,Vehicle,PND7,3,1.7
HFHS_CT_C2_L123_P218_F,123,218,2,F,HFHS,Vehicle,PND7,4.6,2.9
HFHS_CT_C2_L121_P219_M,121,219,2,M,HFHS,Vehicle,PND7,4,2.5
HFHS_CT_C2_L121_P221_M,121,221,2,M,HFHS,Vehicle,PND7,4.5,3
HFHS_CT_C3_L125.1_P302_F,125.1,302,3,F,HFHS,Vehicle,PND7,4,2.5
HFHS_CT_C3_L125.2_P303_F,125.2,303,3,F,HFHS,Vehicle,PND7,3.8,2.4
HFHS_CT_C3_L125.2_P304_F,125.2,304,3,F,HFHS,Vehicle,PND7,3.9,2.6
HFHS_CT_C3_L125.1_P305_F,125.1,305,3,F,HFHS,Vehicle,PND7,3.7,2.4
HFHS_CT_C3_L125.2_P306_F,125.2,306,3,F,HFHS,Vehicle,PND7,3.8,2.5
HFHS_CT_C3_L125_P308_M,125,308,3,M,HFHS,Vehicle,PND7,4,2.6
HFHS_CT_C3_L125_P310_M,125,310,3,M,HFHS,Vehicle,PND7,3.8,2.5
HFHS_CT_C4_L126_P419_F,126,419,4,F,HFHS,Vehicle,PND7,3.4,2.1
HFHS_CT_C4_L126_P420_F,126,420,4,F,HFHS,Vehicle,PND7,3.5,2.3
HFHS_CT_C4_L126_P421_F,126,421,4,F,HFHS,Vehicle,PND7,3.5,2.2
HFHS_CT_C4_L126_P422_M,126,422,4,M,HFHS,Vehicle,PND7,3.4,2
HFHS_CT_C4_L126_P423_M,126,423,4,M,HFHS,Vehicle,PND7,3.5,2.2
HFHS_FOS+GOS_C1_L106_P122_F,106,122,1,F,HFHS,FOS+GOS,PND7,3.5,2
HFHS_FOS+GOS_C1_L106_P124_F,106,124,1,F,HFHS,FOS+GOS,PND7,3.5,2
HFHS_FOS+GOS_C1_L106_P125_M,106,125,1,M,HFHS,FOS+GOS,PND7,3.7,2.1
HFHS_FOS+GOS_C1_L106_P126_M,106,126,1,M,HFHS,FOS+GOS,PND7,4.2,2.8
HFHS_FOS+GOS_C2_L124_P223_F,124,223,2,F,HFHS,FOS+GOS,PND7,3.9,2.6
HFHS_FOS+GOS_C2_L124_P224_F,124,224,2,F,HFHS,FOS+GOS,PND7,3.8,2.5
