"Legend","name","n","G","U","grubbs","p_grubbs"
"HFHS 1472","PND1",7,1.53,0.544,"lowest value 2 is an outlier",0.337
"HFHS FOS+GOS","PND18",7,1.53,0.546,"highest value 13 is an outlier",0.339
"HFHS FOS+GOS","PND21",7,1.53,0.547,"highest value 16 is an outlier",0.342
"HFHS FOS+GOS","PND16",7,1.52,0.554,"lowest value 7 is an outlier",0.353
"HFHS Vehicle","PND9",7,1.51,0.554,"highest value 12.5 is an outlier",0.355
"HFHS FOS+GOS","PND17",7,1.51,0.558,"highest value 11.5 is an outlier",0.361
"HFHS Vehicle","PND8",7,1.51,0.558,"highest value 12 is an outlier",0.362
"HFHS 1472","PND6",7,1.5,0.56,"lowest value 6 is an outlier",0.365
"HFHS 1472","PND19_5",7,1.5,0.562,"highest value 12 is an outlier",0.369
"HFHS Vehicle","PND8_5",7,1.5,0.562,"highest value 8 is an outlier",0.37
"HFHS FOS+GOS","PND0_5",7,1.5,0.565,"lowest value 3.5 is an outlier",0.374
"HFHS Vehicle","PND10",7,1.48,0.572,"lowest value 3.5 is an outlier",0.388
"Control Vehicle","PND20_5",7,1.48,0.573,"lowest value 4 is an outlier",0.39
"HFHS FOS+GOS","PND2",7,1.48,0.574,"highest value 5.5 is an outlier",0.392
"HFHS FOS+GOS","PND14_5",7,1.48,0.576,"highest value 10.5 is an outlier",0.395
"HFHS FOS+GOS","PND16_5",7,1.47,0.58,"highest value 11.5 is an outlier",0.404
"HFHS 1472","PND17_5",7,1.47,0.58,"highest value 11.5 is an outlier",0.404
"HFHS Vehicle","PND13",7,1.46,0.584,"highest value 16 is an outlier",0.413
"HFHS Vehicle","PND16_5",7,1.46,0.587,"lowest value 5 is an outlier",0.419
"HFHS FOS+GOS","PND15_5",7,1.46,0.587,"highest value 11 is an outlier",0.419
"HFHS Vehicle","PND7",7,1.45,0.589,"highest value 11 is an outlier",0.423
"HFHS Vehicle","PND9_5",7,1.45,0.593,"lowest value 4.5 is an outlier",0.432
"HFHS FOS+GOS","PND11",7,1.45,0.593,"lowest value 5.5 is an outlier",0.432
"HFHS FOS+GOS","PND8_5",7,1.44,0.599,"highest value 7.5 is an outlier",0.444
"HFHS Vehicle","PND2",7,1.42,0.611,"highest value 6.5 is an outlier",0.47
"HFHS 1472","PND20_5",7,1.41,0.614,"highest value 12 is an outlier",0.477
"HFHS FOS+GOS","PND19_5",7,1.4,0.616,"lowest value 4 is an outlier",0.483
"Control Vehicle","PND9_5",7,1.39,0.625,"lowest value 3 is an outlier",0.503
"HFHS 1472","PND13",7,1.39,0.625,"highest value 16.5 is an outlier",0.503
"HFHS 1472","PND8_5",7,1.39,0.627,"lowest value 4.5 is an outlier",0.507
"HFHS 1472","PND16_5",7,1.38,0.629,"highest value 10 is an outlier",0.514
"HFHS FOS+GOS","PND2_5",7,1.36,0.639,"highest value 5.5 is an outlier",0.539
"Control Vehicle","PND6",7,1.36,0.64,"lowest value 4 is an outlier",0.54
"Control Vehicle","PND8",7,1.35,0.645,"highest value 8.5 is an outlier",0.554
"Control Vehicle","PND1",7,1.34,0.649,"highest value 6 is an outlier",0.564
