Mouse_ID,section,bregma,diet,treatment,legend,sex,cohort,cage,Area,Lepr_aver_puncta,Ghsr_aver_puncta,Pomc_aver_puncta,ARC_cells,Posit_Lepr_cells,Posit_Ghsr_cells,Posit_Pomc_cells,Lepr_puncta_triple_cells,Ghsr_puncta_triple_cells,Pomc_puncta_triple_cells,double_Ghsr_Pomc_cells,double_Lepr_Ghsr_cells,double_Lepr_Pomc_cells,N_triple_cells,Lepr_puncta_double_Lepr_Ghsr_cells,Ghsr_puncta_double_Lepr_Ghsr_cells,Ghsr_puncta_double_Ghsr_Pomc_cells,Pomc_puncta_double_Ghsr_Pomc_cells,Lepr_puncta_double_Lepr_Pomc_cells,Pomc_puncta_double_Lepr_Pomc_cells,double_Ghsr_Pomc_cells_among_Pomc_posit_cells,double_Ghsr_Pomc_cells_among_Ghsr_posit_cells,double_Lepr_Ghsr_cells_among_Lepr_posit_cells,double_Lepr_Ghsr_cells_among_Ghsr_posit_cells,double_Lepr_Pomc_cells_among_Pomc_posit_cells,double_Lepr_Pomc_cells_among_Lepr_posit_cells,triple_posit_cells_among_Pomc_cells,triple_posit_cells_among_Lepr_cells,triple_posit_cells_among_Ghsr_cells
506,4,-1.79_-1.67,HFHS,1472,HFHS 1472,M,5,116,128616.7866,8.55,15.09,37.56,501,68,140,63,11.07,17.45,30.17,25,44,23,15,9.7,20.73,16.19,29.97,9.73,54.36,39.68253968,17.85714286,64.70588235,31.42857143,36.50793651,33.82352941,23.80952381,22.05882353,10.71428571
508,2,-1.55,HFHS,1472,HFHS 1472,M,5,130,128369.943,6.91,8.29,53.98,458,23,51,71,9.69,10.47,126.73,10,10,19,8,8.85,9.89,9.16,109,7.45,108.27,14.08450704,19.60784314,43.47826087,19.60784314,26.76056338,82.60869565,11.26760563,34.7826087,15.68627451
508,4,-1.67,HFHS,1472,HFHS 1472,M,5,130,114672.896,5.24,8.29,51.48,378,21,42,77,5.35,8.31,119.53,11,9,15,6,5.43,8.38,9.22,84.04,4.99,115.29,14.28571429,26.19047619,42.85714286,21.42857143,19.48051948,71.42857143,7.792207792,28.57142857,14.28571429
508,5,-1.79_-1.91,HFHS,1472,HFHS 1472,M,5,130,112835.5986,10.15,18.57,32.89,440,98,165,97,14.85,27.23,25.02,46,80,40,32,11.22,25.48,22.4,26.95,12.81,34.37,47.42268041,27.87878788,81.63265306,48.48484848,41.2371134,40.81632653,32.98969072,32.65306122,19.39393939
102,2,-1.79,Control,Vehicle,Control Vehicle,F,1,105,113996.0079,7.9,22.41,25.09,345,50,64,24,18.99,33.05,15.4,6,21,12,3,10.98,20.75,27.02,21.9,9.71,33.3,25,9.375,42,32.8125,50,24,12.5,6,4.6875
102,3,not known,Control,Vehicle,Control Vehicle,F,1,105,128692.3999,7.12,26.34,14.25,443,46,57,69,11.22,53.55,13.48,13,18,20,6,8.48,47.37,29.95,18.37,8.1,16.49,18.84057971,22.80701754,39.13043478,31.57894737,28.98550725,43.47826087,8.695652174,13.04347826,10.52631579
202,2,not known,Control,Vehicle,Control Vehicle,F,2,117,135524.5033,18.49,24.77,25.79,554,152,172,108,35.26,40.05,26.38,42,103,79,37,22.35,32.93,36.4,24.44,22.37,31.35,38.88888889,24.41860465,67.76315789,59.88372093,73.14814815,51.97368421,34.25925926,24.34210526,21.51162791
202,3,not known,Control,Vehicle,Control Vehicle,F,2,117,129532.9104,20.97,27.64,27.8,527,161,222,109,33.54,40.95,27.85,60,122,79,52,25.06,39.16,37.06,25.17,25.2,33.45,55.04587156,27.02702703,75.77639752,54.95495495,72.47706422,49.06832298,47.70642202,32.29813665,23.42342342
202,4,not known,Control,Vehicle,Control Vehicle,F,2,117,145092.5766,20.92,22.54,23.61,630,185,243,136,38.62,47.17,16.16,54,118,97,45,25.87,35.24,40.86,15.51,25.39,27.62,39.70588235,22.22222222,63.78378378,48.55967078,71.32352941,52.43243243,33.08823529,24.32432432,18.51851852
113,1,-1.55_-1.67,Control,Vehicle,Control Vehicle,F,1,104,91644.6281,25.88,33.83,19.86,319,104,158,21,55.58,74.54,15.09,17,101,18,16,26.48,47.34,70.78,14.5,50.16,19.75,80.95238095,10.75949367,97.11538462,63.92405063,85.71428571,17.30769231,76.19047619,15.38461538,10.12658228
