Name,Cage/Litter,Mouse_ID,Cohort,Sex,Diet,Treatment,Age,BW(g),FirstMealSize,LatencyFirstMeal,EatingRate,AverageMealSize(g),AverageMealDuration(g),NumberMeals,TotalIntake(g),IntervalBtwMeals(min),LocomotorActivity(12h),CentreTime%,CentreDistance%,DistanceThigmotaxis(10%),DistanceThigmotaxis(20%),TimeThigmotaxis(10%),TimeThigmotaxis(20%),Rearing_ExternalZone10%,Rearing_ExternalZone20%,Rears(12h),Rearing_Centre,FaecalPellets,Basal_Glucose,IpGTT_0min,IpGTT_15min,IpGTT_30min,IpGTT_60min,IpGTT_90min,IpGTT_120min,AUC_crude,AUC_vs_basal,AUC%,SPT_Ratio,SPT_Ratio_OD,SPT_Ratio_ON,SPT_PreferenceScore,SPT_PreferenceScore_Percentage,SPT_PreferenceScore_OD,SPT_PreferenceScore_ON,SPT_CumulativeDrinkIntake_Water,SPT_CumulativeDrinkIntake_Saccharin,SPT_CumulativeDrinkIntake_Water_OD,SPT_CumulativeDrinkIntake_Saccharin_OD,SPT_CumulativeDrinkIntake_Water_ON,SPT_CumulativeDrinkIntake_Saccharin_ON,SPT_TotalCumulative_WaterDiet_0h,SPT_TotalCumulative_WaterDiet_12h,SPT_TotalCumulative_WaterDiet_24h,SPT_TotalCumulative_WaterDiet_36h,SPT_TotalCumulative_WaterDiet_48h,SPT_TotalCumulative_SaccharinDiet_0h,SPT_TotalCumulative_SaccharinDiet_12h,SPT_TotalCumulative_SaccharinDiet_24h,SPT_TotalCumulative_SaccharinDiet_36h,SPT_TotalCumulative_SaccharinDiet_48h,FPT_PreferenceScore,FPT_PreferenceScore%,FPT_PreferenceScore_OD,FPT_PreferenceScore%_OD,FPT_PreferenceScore_ON,FPT_PreferenceScore%_ON,FPT_TotalCumulative_CTDiet,FPT_TotalCumulative_HFHSDiet,FPT_TotalCumulative_CTDiet_OD,FPT_TotalCumulative_HFHS_OD,FPT_TotalCumulative_CTDiet_ON,FPT_TotalCumulative_HFHSDiet_ON,FPT_TotalCumulative_HFHSDiet_ON_divided_OD,FPT_TotalCumulative_CTDiet_0h,FPT_TotalCumulative_CTDiet_12h,FPT_TotalCumulative_CTDiet_24h,FPT_TotalCumulative_CTDiet_36h,FPT_TotalCumulative_CTDiet_48h,FPT_TotalCumulative_HFHSDiet_0h,FPT_TotalCumulative_HFHSDiet_12h,FPT_TotalCumulative_HFHSDiet_24h,FPT_TotalCumulative_HFHSDiet_36h,FPT_TotalCumulative_HFHSDiet_48h
HFHS_1472_C1_L115_P131_F,115,131,1,F,HFHS,1472,PND70,15.1,0.34,19.17,0.07,0.35,,2,1.28,141.72,18424.7,4.1,32.1,28.9,67.9,71.3,95.9,2334,2030,3768,270,18,9.7,9.7,16.5,,13.5,11.4,9.6,1558,12394,16059,0.4,0.11764706,1,0.29,29,0.105263158,0.5,,5,,1,4,4,0,3,4,5,,0,2,2,4,5,0.99,99.1,0.97,97.01493,1,100,0.2,21.9,0.2,6.5,0,15.4,236.9230769,0,0,0.2,0.2,0.2,0,7.5,9.3,17.2,21.9
HFHS_1472_C1_L111_P134_F,111,134,1,F,HFHS,1472,PND70,18.7,0.74,52.77,0.42,0.6,23.53,3,2.96,187.1,20794,11.7,37.6,16.6,62.4,33.8,88.4,1156,2963,3470,335,16,8.7,8.7,16.4,12.1,11.7,10.9,9.4,1403,12359,16121,0.71,1,0.66666667,0.42,42,0.5,0.4,7,5,1,1,6,4,0,4,4,6,7,0,3,3,4,5,0.99,99.48,1,100,0.99,99.4505495,0.1,19.1,0,1,0.1,18.1,,0,0.1,0.1,0.1,0.1,0,9.2,10,18.9,19.1
HFHS_1472_C1_L111_P135_F,111,135,1,F,HFHS,1472,PND70,17.2,0.32,19.18,0.21,0.27,21.41,3,1.74,522.23,20113,7.3,34.2,20.7,65.9,60.3,92.7,1453,3717,3874,576,18,7,7,13.7,10.9,10.2,8.1,7.1,1159,12319,16554,0.6,1.33333333,0.41666667,0.38,38,0.571428571,0.294117647,7.5,4.5,1.5,2,6,2.5,0,4,4,6,7.5,0,1.5,2,3,4.5,0.98,97.69,0.96,96.2963,0.98,98.0582524,0.3,12.7,0.1,2.6,0.2,10.1,388.4615385,0,0.2,0.2,0.2,0.3,0,3.4,4.1,10.8,12.7
HFHS_1472_C2_L120_P245_M,120,245,2,F,HFHS,1472,PND70,16.6,0.76,32.13,0.29,0.38,21.49,5,2.48,545.95,13833.8,1.1,19,45.4,,78.4,98.9,1244,1830,2066,105,24,8.2,8.2,15.4,14.9,10.4,7.8,7.2,1282,12298,15631,0.69,0,0.85714286,0.41,41,0,0.461538462,8,5.5,1,0,7,6,0,4,4,7,8,0,4,4,6,5.5,0.99,98.81,1,100,0.99,98.666667,0.1,8.3,0,0.9,0.1,7.4,822.2222222,0,0.1,0.1,0.1,0.1,0,4.7,5.1,7.8,8.3
HFHS_1472_C2_L120_P246_M,120,246,2,F,HFHS,1472,PND70,17.7,0.2,30.68,0.34,0.35,17.01,5,2.22,598.37,14058.4,3.2,25.9,31.3,81,71.1,96.8,938,2227,2285,344,18,8.2,8.2,13.9,11.3,10.5,8.3,7,1193,12209,14552,1.27,0,1.27272727,0.56,56,0,0.56,5.5,7,0.5,0,5.5,7,0,3.5,3,5,5.5,0,4,4,7,7,0.98,98.16,0.88,88.235294,0.99,99.315068,0.3,16,0.2,1.5,0.1,14.5,966.6666667,0,0.1,0.2,0.2,0.3,0,6.2,6.5,14.8,16
HFHS_1472_C2_L127_P247_F,127,247,2,F,HFHS,1472,PND70,21.5,0.44,61.58,0.26,0.31,19.77,4,1.82,412.2,16723.7,2.3,26.6,36,74.1,80,97.7,971,2234,2777,151,16,,,12.7,10.1,9.3,7.9,6.9,1076,12452,20697,1.45,1,1.625,0.59,59,0.5,0.619047619,5.5,8,1.5,1.5,4,6.5,0,2,3,5,5.5,0,3,4,7.5,8,0.97,97.24,1,100,0.97,96.902655,0.7,24.7,0,2.8,0.7,21.9,782.1428571,0,0.5,0.5,0.7,0.7,0,,16.3,22.6,24.7
HFHS_1472_C2_L127_P248_F,127,248,2,F,HFHS,1472,PND70,18.7,0.22,,0.66,0.22,5.58,1,1.42,,26121,5.3,35.2,19.5,73.4,64.8,94.7,1015,3105,3420,601,14,6.5,6.5,17,12.5,10.2,8.2,7.9,1256,12476,19315,0.89,1,0.85714286,0.47,47,0.5,0.461538462,4.5,4,1,1,3.5,3,0,1.5,2,4,4.5,0,2.5,3.5,4,4,0.99,99.12,1,100,0.99,98.859316,0.3,33.8,0,,0.3,26,333.3333333,0,0.3,0.3,0.3,0.3,0,10.4,16.5,,33.8
HFHS_1472_C4_L116_P435_F,116,435,4,F,HFHS,1472,PND70,20.2,,59,,,48.76,3,,461.42,25769.8,6.6,31.4,22.4,68.6,58.5,93.4,1353,2789,2800,761,24,6.9,6.9,13.6,11.3,9.6,8.2,6.6,1143,12315,16565,1.75,0.5,0.625,0.36,36.36,0.333333333,0.384615385,7,4,3,1.5,4,2.5,0,3,4,5,7,0,2,3,3.5,4,,,0.93,92.857143,,,0.8,8.4,0.2,2.6,0.6,5.8,223.0769231,0,0.3,0.3,0.6,0.8,0,3.1,4.8,7.5,8.4
HFHS_1472_C4_L116_P436_F,116,436,4,F,HFHS,1472,PND70,20,0.2,19.55,0.23,0.22,15.4,5,1.68,416.55,16379.6,3,33.5,29.2,66.6,82,97,1909,2097,2671,160,26,8,8,18.3,13.2,11.4,9.7,8.9,1398,12438,17475,1.67,0.66666667,0.57142857,0.38,37.5,0.4,0.363636364,5,3,1.5,1,3.5,2,0,3,3.5,4,5,0,1,1.5,2.5,3,0.95,95.19,0.95,94.736842,0.95,95.294118,0.5,9.9,0.1,1.8,0.4,8.1,450,0,0.4,0.4,0.4,0.5,0,3,4.7,9.8,9.9
HFHS_1472_C5_L130_P501_F,130,501,5,F,HFHS,1472,PND70,19.4,0.3,74.38,0.32,0.34,17.82,5,2.38,551.73,20066.4,4,29.6,28.4,70.4,63.3,96,1470,3145,3390,245,18,8.4,8.4,18.4,12.5,12,10.3,8.4,1415,12407,16848,1.75,0.5,0.6,0.36,36.36,0.333333333,0.375,7,4,2,1,5,3,0,3,4,6,7,0,2,2.5,3.5,4,0.95,95.29,1,100,0.94,93.8461538,0.4,8.1,0,2,0.4,6.1,305,0,0.1,0.1,0.4,0.4,0,3.5,4.5,7.1,8.1
HFHS_1472_C5_L130_P503_F,130,503,5,F,HFHS,1472,PND70,17.3,0.38,34.67,0.29,0.55,30.92,3,2.38,292.28,24781.8,7.9,37.7,22.2,62.3,63.7,92.1,1849,2874,3559,705,21,8.3,8.3,14.7,12.1,9.8,9.2,8.3,1250,12254,15054,0.44,2,2.33333333,0.7,69.57,0.666666667,0.7,3.5,8,0.5,1,3,7,0,3,3,3,3.5,0,3.5,4,7.5,8,0.97,97.14,0.92,91.6667,0.98,97.65625,0.4,13.6,0.1,1.1,0.3,12.5,1136.363636,0,0.2,0.2,0.3,0.4,0,4.8,5,12.7,13.6
CT_CT_C1_L105_P103_M,105,103,1,M,Control,Vehicle,PND70,22.5,0.32,32.87,0.36,0.35,16.26,4,2.46,552.6,12628.4,8.6,36,19.7,64,59.8,91.3,858,1726,1986,274,28,7.8,7.8,10.4,8.7,8.4,7.3,6.3,975.8,12040,12510,0.89,1.42857143,0.54545455,0.47,47,0.588235294,0.352941176,9,8,3.5,5,5.5,3,0,4,5.5,7,9,0,2,5,6,8,0.96,95.71,0.91,90.90909,0.96,96.124031,0.6,13.4,0.1,1,0.5,12.4,,0,0.1,0.2,0.6,0.6,0,4.5,5.3,13.2,13.4
CT_CT_C1_L105_P104_M,105,104,1,M,Control,Vehicle,PND70,23.9,0.2,40.32,0.25,0.25,16.73,3,2,342.23,16841.2,3.3,37.5,18.7,62.5,66.2,96.7,885,3262,3382,366,22,7.3,7.3,11.5,10.9,9.7,7.9,7,1106,12230,15144,1.7,2.66666667,1.28571429,0.63,63,0.727272727,0.5625,5,8.5,1.5,4,3.5,4.5,0,2,2.5,4,5,0,4.5,6,6,8.5,0.98,97.67,1,100,0.97,97.1014493,0.2,8.4,0,1.7,0.2,6.7,394.1176471,0,0.1,0.1,0.2,0.2,0,4,4.9,7.6,8.4
CT_CT_C1_L105_P105_M,105,105,1,M,Control,Vehicle,PND70,23.6,0.4,7.78,0.24,0.28,18.86,5,1.7,383.17,10125.8,2,32.2,22.7,67.8,75.1,98,1033,1079,1605,121,21,7.5,7.5,12.7,12.4,8.5,8.3,7.7,1145,12245,15270,0.87,2,0.58333333,0.46,46,0.666666667,0.368421053,7.5,6.5,1.5,3,6,3.5,0,4.5,5.5,7,7.5,0,3.5,5,5,6.5,0.96,95.83,0.93,92.85714,0.97,97.0588235,0.4,9.2,0.2,2.6,0.2,6.6,253.8461538,0,0.2,0.2,0.2,0.4,0,3.6,4.6,7.6,9.2
CT_CT_C1_L105_P106_M,105,106,1,M,Control,Vehicle,PND70,25,0.98,33.18,1.3,2.04,26.02,5,10.22,304.87,14543,3.8,32.4,19.9,67.6,62,96.2,766,1392,1155,232,17,8.3,8.3,14.7,12.6,10.9,8.3,8.2,1265,12269,15244,2.83,4.25,2.125,0.74,74,0.80952381,0.68,6,17,2,8.5,4,8.5,0,3,4,5,6,0,5.5,9,12,17,0.96,96.43,0.96,96,0.97,96.6101695,0.3,8.1,0.1,2.4,0.2,5.7,237.5,0,0.1,0.1,0.2,0.3,0,3.1,4.4,7,8.1
CT_CT_C1_L104_P116_M,104,116,1,M,Control,Vehicle,PND70,21,0.24,177.23,0.5,0.33,10.82,4,2.26,318.87,13766.3,10.7,27.7,27.2,72.3,43.4,89.3,1535,,2781,436,27,9.5,9.5,17.6,13.3,10.7,10.2,9,1397,12257,14700,0.33,0.375,0.28571429,0.25,25,0.272727273,0.222222222,15,5,,3,7,2,0,4,,13,15,0,2,4,4,5,0.94,94.19,0.96,95.83333,0.94,93.5483871,0.5,8.1,0.1,2.3,0.4,5.8,252.173913,0,0,0.1,0.5,0.5,0,3.7,4.7,6.8,8.1
CT_CT_C1_L104_P117_M,104,117,1,M,Control,Vehicle,PND70,25.8,1.46,28.13,0.48,0.54,18.85,7,4.14,545.78,14323.7,12,30.1,21.3,69.9,32.7,88,,1908,2207,75,23,9.3,9.3,18,13.3,10.5,8.8,8.5,1346,12230,14468,2.13,1.75,2.5,0.68,68,0.636363636,0.714285714,4,8.5,2,3.5,2,5,0,1.5,2.5,3,4,0,3,4,6,8.5,0.97,96.73,0.94,94.02985,0.98,97.752809,0.8,23.7,,6.3,0.4,17.4,276.1904762,0,0.4,0.6,0.6,0.8,0,3.9,5.5,19,23.7
CT_CT_C2_L117_P204_M,117,204,2,M,Control,Vehicle,PND70,24,0.24,4.18,0.27,0.3,18.37,6,2.58,458.57,12443.6,3.3,28.5,27.1,71.5,63.3,96.7,1038,2068,2480,189,23,6.6,6.6,11.6,10.1,8.8,6.8,6.7,1019,12227,15443,0.92,1.66666667,0.7,0.48,48,0.625,0.411764706,6.5,6,1.5,2.5,5,3.5,0,3,4,6,6.5,0,2,4,5.5,6,0.98,98.31,1,100,0.98,97.515528,0.4,23.2,0,,0.4,15.7,209.3333333,0,0.3,0.3,0.4,0.4,0,4.5,,18.5,23.2
CT_CT_C2_L117_P209_M,117,209,2,M,Control,Vehicle,PND70,27,0.7,1.75,0.43,0.34,13.27,8,3.26,512.73,14312.5,15.6,42.1,14.3,57.9,20.9,84.4,552,1229,1093,500,30,7.2,7.2,13.5,10.9,8.7,6.8,6.7,1067,12203,14823,1.31,,0.5862069,0.57,57,0.85,0.369565217,13,17,1.5,8.5,,8.5,0,,4,11.5,13,0,5.5,,,17,0.89,89.21,0.94,94.444444,0.88,88.429752,1.5,12.4,0.1,1.7,1.4,10.7,629.4117647,0,0.9,1,1.5,1.5,0,3,4.2,11.9,12.4
CT_CT_C4_L129_P405_M,129,405,4,M,Control,Vehicle,PND70,24.3,1.8,13.43,0.29,0.58,33.94,5,3.64,320.9,17296.2,13.5,37.7,14,62.3,19.3,86.5,782,2116,1972,236,27,9.5,9.5,16.4,14.5,10.9,8.5,7.4,1337,12197,14068,2,0.25,0.625,0.33,33.33,0.2,0.384615385,6,3,2,0.5,4,2.5,0,3,4,5,6,0,2,2.5,3,3,0.96,96.34,0.95,95,0.97,96.774194,0.3,7.9,0.1,1.9,0.2,6,315.7894737,0,0.2,0.2,0.2,0.3,0,3.2,3.8,6.6,7.9
CT_CT_C4_L129_P407_M,129,407,4,M,Control,Vehicle,PND70,24.8,,0,,,38.81,7,25.84,440.08,8341.6,1,19.9,,80.1,87.8,99,1276,956,1453,39,15,7.8,7.8,14.4,12.2,9.3,8.1,7.6,1185,12249,15192,0.83,1.33333333,1.14285714,0.55,54.55,0.571428571,0.533333333,5,6,1.5,2,3.5,4,0,3,3.5,4,5,0,2,3,5,6,0.89,88.52,1,100,0.86,86.27451,1.4,10.8,0,2,1.4,8.8,440,0,0.9,0.9,1.4,1.4,0,3.4,4.6,10,10.8
CT_CT_C4_L113_P412_M,113,412,4,M,Control,Vehicle,PND70,24.9,0.5,23.55,0.5,0.36,12.21,10,3.86,550.77,14212,4.4,34.3,21.8,65.7,58.7,95.7,1071,1666,1851,228,24,6.7,6.7,15.7,14.2,11.3,8.8,6.5,1306,12502,19489,0.38,2,3,0.72,72.41,0.666666667,0.75,4,10.5,1.5,3,2.5,7.5,0,2,2.5,3,4,0,3,4.5,9,10.5,0.93,93.27,1,100,0.91,91.358025,0.7,9.7,0,2.3,0.7,7.4,321.7391304,0,0.3,0.3,0.7,0.7,0,4.6,5.6,8.4,9.7
CT_CT_C4_L113_P413_M,113,413,4,M,Control,Vehicle,PND70,25.3,0.38,,0.21,0.35,27.64,2,,70.05,17064.1,4.5,30.1,28.7,69.8,48.9,95.4,1406,1716,1696,361,31,7.1,7.1,16.3,11.8,9.2,7.8,6.9,1177,12325,16574,1.23,1,0.76923077,0.45,44.83,0.5,0.434782609,8,6.5,1.5,1.5,6.5,5,0,4,4.5,7,8,0,3,4,6,6.5,0.93,93.22,1,100,0.9,90.123457,0.8,11,0,3.7,0.8,7.3,197.2972973,0,0.5,0.5,0.8,0.8,0,4.3,5.9,8.9,11
HFHS_CT_C1_L110_P109_M,110,109,1,M,HFHS,Vehicle,PND70,27,,7.35,,,,2,,18.1,17763,2.5,38.8,24.3,61.2,73.6,97.5,1560,1999,2048,80,22,9.8,9.8,12.5,12.3,9.7,8.8,8.2,1216,12040,12406,4.25,4.75,1.5,0.81,81,0.826086957,0.6,4,17,2,,5,7.5,0,4,6,7,4,0,4,7.5,11,17,1,99.53,0.75,75.38462,1,99.6724891,0.5,106,,,0.3,91.3,621.0884354,0,0.3,,0.5,0.5,0,46.4,49.7,94.6,106
HFHS_CT_C1_L110_P110_M,110,110,1,M,HFHS,Vehicle,PND70,25.6,3.5,5,0.87,0.83,15.83,9,6.4,549.2,17154.3,5.9,35.8,18.4,64.2,59.3,94.1,670,1927,1405,353,25,9,9,13.4,10.4,9.3,8,7.3,1131,12051,12567,4.2,4.33333333,4.14285714,0.81,81,0.8125,0.805555556,5,21,1.5,6.5,3.5,,0,3,3.5,4,5,0,6,8.5,,21,1,99.54,0.95,95.34884,1,99.7569866,0.4,86.2,0.2,4.1,0.2,82.1,2002.439024,0,0.1,0.3,0.4,0.4,0,41.6,43.7,84.2,86.2
HFHS_CT_C1_L107_P119_M,107,119,1,M,HFHS,Vehicle,PND70,23,0.22,11.13,0.34,0.32,15.53,3,1.54,491.43,12857.7,2,24.7,33.2,75.4,68.1,97.9,1036,1725,2249,126,14,8,8,12.3,8.7,8.1,7.3,7,1007,12047,12591,1,1.5,0.875,0.5,50,0.6,0.466666667,5,5,1,1.5,4,3.5,0,2.5,3.5,5,5,0,2.5,4,5,5,0.93,93.17,0.82,81.81818,0.94,93.6329588,1.9,25.9,0.2,0.9,1.7,25,2777.777778,0,1.4,1.6,1.9,1.9,0,12.6,13.5,25.9,25.9
HFHS_CT_C1_L107_P121_M,107,121,1,M,HFHS,Vehicle,PND70,24.3,0.34,4.85,0.37,0.33,14.82,2,0.74,32.8,10127,1.1,21.9,42.1,78.1,78.6,99,1378,1096,1795,147,18,9.8,9.8,13.7,12.7,10,8.9,8,1252,12076,12773,2.57,1,3.2,0.72,72,0.5,0.761904762,3.5,9,1,1,2.5,8,0,3,4,3.5,3.5,0,3,4,9,9,1,100,1,100,1,100,0,28.3,0,1.6,0,26.7,1668.75,0,0,0,0,0,0,12.1,12.3,26.9,28.3
HFHS_CT_C2_L123_P216_M,123,216,2,M,HFHS,Vehicle,PND70,27.1,0.84,51.55,0.46,0.39,14.15,6,2.98,428.03,19113.4,4.3,30.2,25.4,69.9,71.3,95.7,770,1667,1510,594,15,7.7,7.7,18,12.3,9.3,6.7,5.7,1170,12246,15195,0.81,0.6,0.94117647,0.45,45,0.375,0.484848485,,11,,3,,8,0,,,,,0,4,6,10,11,0.94,93.86,1,100,0.91,91.463415,0.7,10.7,0,3.2,0.7,7.5,234.375,0,0.4,0.4,0.7,0.7,0,2.5,4.2,9.2,10.7
HFHS_CT_C2_L123_P217_M,123,217,2,M,HFHS,Vehicle,PND70,24.8,0.96,,0.64,1.46,38.29,6,2.32,146.3,10695.6,2,29,30.4,71,80.4,98.1,632,882,826,152,21,7.3,7.3,17.1,13.4,9.3,7.5,6.8,1219,12343,16695,2.25,2,2.33333333,0.69,69,0.666666667,0.7,4,9,1,2,3,7,0,2.5,3.5,4,4,0,3,4.5,8.5,9,0.98,98,0.92,92.307692,0.98,98.312236,0.5,24.5,0.1,1.2,0.4,23.3,1941.666667,0,0.2,0.3,0.5,0.5,0,11,11.1,23.4,24.5
HFHS_CT_C2_L121_P219_M,121,219,2,M,HFHS,Vehicle,PND70,23.4,0.3,2.9,0.5,0.74,24.46,7,5.66,307.28,22295.9,5.7,28.9,24.1,71,56.6,94.3,1821,2667,1996,649,22,7.8,7.8,13.7,9.5,8.2,7,5.6,1018,12082,13048,3.2,,2.2,0.76,76,1,0.6875,2.5,8,0,2.5,2.5,5.5,0,2,2,2.5,2.5,0,2,3,6.5,8,0.98,97.75,0.89,88.636364,1,100,0.5,21.7,0.5,3.9,0,17.8,456.4102564,0,0,0.5,0.5,0.5,0,14.4,16.3,19.7,21.7
HFHS_CT_C2_L121_P221_M,121,221,2,M,HFHS,Vehicle,PND70,26.3,1.18,9.58,0.55,0.41,12.55,7,3.3,433.97,7970.8,1.6,30.7,26.2,69.3,71.4,98.4,714,1353,1437,68,30,9.1,9.1,17.1,13.5,10.8,9,7.5,1335,12243,14670,2.86,5,2.5,0.74,74,0.833333333,0.714285714,3.5,10,0.5,2.5,3,7.5,0,1.5,2,3.5,3.5,0,4,5,8.5,10,0.97,97.12,0.87,87.096774,0.99,98.584906,0.7,23.6,0.4,2.7,0.3,20.9,774.0740741,0,0.3,0.7,0.7,0.7,0,17.9,19,22,23.6
HFHS_CT_C3_L125_P308_M,125,308,3,M,HFHS,Vehicle,PND70,26.2,0.5,22.25,0.72,0.4,9.3,5,2.7,491.73,12453.1,3.2,34.6,22.5,65.4,69,96.8,781,2431,2545,191,23,9.4,9.4,18.1,13.1,9.5,7.5,7,1252,12124,13316,0.27,3.5,3.75,0.79,78.57,0.777777778,0.789473684,3,11,1,3.5,2,7.5,0,2,2.5,2.5,3,0,4,5.5,9,11,0.96,96.39,1,100,0.96,96.067416,1.4,37.4,0,3.2,1.4,34.2,1068.75,0,1.2,1.2,1.4,1.4,0,19.4,20.2,35,37.4
HFHS_CT_C3_L125_P310_M,125,310,3,M,HFHS,Vehicle,PND70,25.7,0.88,124.9,0.93,1.29,23.03,6,8.06,332.8,15913.9,2.8,26.8,26.3,73.2,71.7,97.2,1380,1797,1286,386,22,9.5,9.5,20.1,16.1,10.2,8.2,7.7,1403,12263,14763,1.56,0.5,0.7,0.39,39.13,0.333333333,0.411764706,7,4.5,2,1,5,3.5,0,4,5,6,7,0,1.5,2.5,4.5,4.5,0.9,89.66,0.92,92.105263,0.89,89.285714,,26,0.3,3.5,,22.5,642.8571429,0,,2.3,,,0,8.9,11.3,24.9,26
HFHS_CT_C4_L126_P422_M,126,422,4,M,HFHS,Vehicle,PND70,21.9,0.3,19.88,0.39,0.64,27.45,5,3.76,418.05,24528.8,7,39.4,14.7,60.5,56,93,493,1574,1645,416,23,8.8,8.8,18.9,15.1,11.8,7.9,5.9,1369,12313,15554,1.11,3,0.66666667,0.47,47.37,0.75,0.4,5,4.5,0.5,1.5,4.5,3,0,3,3,4.5,5,0,2,3,4,4.5,0.99,99.42,1,100,0.99,99.407115,0.3,51.6,0,1.3,0.3,50.3,3869.230769,0,0.2,0.2,0.3,0.3,0,26.8,27.4,50.9,51.6
HFHS_CT_C4_L126_P423_M,126,423,4,M,HFHS,Vehicle,PND70,21.1,4.82,53.68,1.28,3.04,39.59,5,15.14,467.87,16073.9,2.2,23.2,34.1,76.8,66.5,97.8,1507,1712,1434,183,13,10.1,10.1,18.2,17.7,,,,,,18089,0.5,,1.14285714,0.67,66.67,1,0.533333333,3.5,7,0,3,3.5,4,0,3,3,3.5,3.5,0,2,3.5,5.5,7,0.99,99.34,0.97,97.058824,0.99,99.430524,0.6,90.6,0.1,3.3,0.5,87.3,2645.454545,0,0.3,0.4,0.6,0.6,0,42.3,44.6,89.6,90.6
HFHS_FOS+GOS_C1_L106_P125_M,106,125,1,M,HFHS,FOS+GOS,PND70,29,6.7,0.85,1.48,1.41,15.89,6,9.78,447.87,14498.7,5.9,32.7,21.3,67.3,60.3,94,618,1366,1181,643,29,8,8,12.9,11.5,9.6,7.8,6.8,1136,12176,14203,1.4,1,1.66666667,0.58,58,0.5,0.625,5,7,2,2,3,5,0,2,4,5,5,0,3,4,6,7,0.95,95.22,0.96,96.36364,0.95,94.9579832,1.4,27.9,0.2,5.3,1.2,22.6,426.4150943,0,1.1,1.2,1.3,1.4,0,9.7,11.3,24.2,27.9
HFHS_FOS+GOS_C1_L106_P126_M,106,126,1,M,HFHS,FOS+GOS,PND70,28.3,0.26,8.45,0.59,0.25,7.22,6,2.6,563.65,12328.1,2.6,35.3,21.9,64.7,69.4,97.4,850,1349,1077,234,29,7.6,7.6,15.4,11.8,10.7,9.3,7.7,1269,12357,16697,0.57,2,0.33333333,0.36,36,0.666666667,0.25,7,4,1,2,6,2,0,4,5,7,7,0,2,3,3,4,0.96,96.15,0.98,98.0198,0.96,95.5555556,1.6,40,0.2,9.9,1.4,30.1,304.040404,0,1,1.2,1.6,1.6,0,14.8,17.1,32.4,40
HFHS_FOS+GOS_C2_L124_P226_M,124,226,2,M,HFHS,FOS+GOS,PND70,21.9,3.46,38.28,0.66,1.27,32.29,6,8.1,400.18,19605,6.7,37.9,22.5,62.1,67.3,93.4,1484,2633,,433,38,7.7,7.7,11.6,10.2,9.1,7.7,7.3,1075,12151,13958,0.86,0.28571429,1.42857143,0.46,46,0.222222222,0.588235294,7,6,3.5,1,3.5,5,0,3,4.5,5,7,0,3,4,6,6,0.96,95.6,0.99,99.319728,0.94,94.148936,2.3,50,0.1,,2.2,35.4,242.4657534,0,1.7,1.7,2.2,2.3,0,13.4,18.4,40.4,50
HFHS_FOS+GOS_C2_L124_P227_M,124,227,2,M,HFHS,FOS+GOS,PND70,25.2,0.24,30.77,0.41,0.29,12.03,7,2.7,477.7,14322.1,3.1,31.9,26.9,68.2,74,96.9,1372,1674,2086,190,27,8.5,8.5,14.5,13.2,9.8,9,8,1262,12242,14850,0.93,1.4,0.66666667,0.48,48,0.583333333,0.4,7,6.5,2.5,3.5,4.5,3,0,4,5,5.5,7,0,0,2,5,6.5,,,,,0.9,,2.3,19.4,0.4,2.1,1.9,17.3,823.8095238,0,1.2,1.6,2.3,2.3,0,7.3,8.3,18.3,19.4
HFHS_FOS+GOS_C2_L124_P228_M,124,228,2,M,HFHS,FOS+GOS,PND70,24.1,1.86,22.33,0.55,0.45,13.76,7,3.6,434.03,18779.1,3.2,31.3,27.7,68.7,73,96.8,1567,2061,2778,381,30,7.8,7.8,20.7,15.2,11.2,8.9,7.2,1422,12486,18231,1.78,1.33333333,2,0.64,64,0.571428571,0.666666667,9,16,3,4,6,12,0,4,5,7,9,0,6,8,14,16,0.96,95.67,0.92,91.935484,0.96,96.188341,2.2,48.6,,5.7,1.7,42.9,752.6315789,0,1.4,1.6,1.9,2.2,0,17.8,21.4,46.5,48.6
HFHS_FOS+GOS_C2_L119_P234_M,119,234,2,M,HFHS,FOS+GOS,PND70,25.4,0.6,1.2,0.6,0.66,18.34,6,5.18,482.35,17778,5.8,29.9,25.6,70.1,60.5,94.2,528,1514,1686,448,29,7.8,7.8,12.2,10.6,9.4,8.9,7.5,1142,12206,14635,1,0.66666667,1.1,0.5,50,0.4,0.523809524,6.5,6.5,1.5,1,5,5.5,0,4,4,5,6.5,0,3,3.5,6,6.5,0.98,97.93,0.96,95.833333,0.98,98.04878,0.9,42.5,0.1,2.3,0.8,40.2,1747.826087,0,0.4,0.4,0.8,0.9,0,25.8,27.2,41.6,42.5
HFHS_FOS+GOS_C2_L119_P235_M,119,235,2,M,HFHS,FOS+GOS,PND70,24,0.2,,0.45,0.2,7.39,2,0.98,,14806.4,1.5,,,,87.6,98.5,1227,1077,1205,164,21,8.8,8.8,14.7,12.7,11.2,9,7.6,1292,12236,14685,1.6,3,1.44444444,0.62,62,0.75,0.590909091,5,8,0.5,1.5,4.5,6.5,0,3,3.5,5,5,0,3,3.5,7,8,0.95,94.67,0.97,96.875,0.94,94.300518,1.2,21.3,0.1,3.1,1.1,18.2,587.0967742,0,0.5,0.6,1.2,1.2,0,15,16.8,20,21.3
