"family","sex","timepoint","statistic_diet","p.adj_diet","statistic_treatment_FOSGOS","p.adj_treatment_FOSGOS","statistic_treatment_1472","p.adj_treatment_1472","restoration_FOSGOS","restoration_1472"
"Bifidobacteriaceae","Female","week 10",-0.680482336227629,0.520324045063079,2.69760525737817,0.0773853750550506,0.141958338228359,0.890340687639286,"not restored","not restored"
"Bifidobacteriaceae","Male","week 5",-5.27394391569328,0.00145825059828621,5.03064008129963,0.00106223248173204,0.0653569212689986,1,"restored","not restored"
"Bifidobacteriaceae","Male","week 10",-1.3608155377097,0.209717943148728,3.66797012049178,0.00858366594373298,-0.829693649149091,0.421709428141919,"not restored","not restored"
"Butyricicoccaceae","Female","week 5",2.57614803285305,0.0836413699326956,-3.55219210957665,0.0086156701845792,-0.0904892844147402,0.929471745475673,"not restored","not restored"
"Butyricicoccaceae","Female","week 10",0.542338130083708,0.605577204327501,-3.79586727302923,0.00746795801754757,0.156862471236679,0.878208953088385,"not restored","not restored"
"Butyricicoccaceae","Male","week 5",2.88593555012471,0.0178812106082486,-1.66516355713635,0.263874659370693,1.23000914610022,0.263874659370693,"not restored","not restored"
"Butyricicoccaceae","Male","week 10",0.986218248618139,0.35391841451193,-3.68742787315703,0.00705625087931893,0.265385863771141,0.795458098369279,"not restored","not restored"
"Chlamydiaceae","Female","week 10",-0.533883988333385,0.622461537744462,-1.24316312101612,0.575672319526178,-1.26778260252802,0.575672319526178,"not restored","not restored"
"Chlamydiaceae","Male","week 10",1.14643349685459,0.730792400359863,-0.946048047182452,0.713779498047626,-1.39446717444866,0.713779498047626,"not restored","not restored"
"Christensenellaceae","Female","week 5",3.74202136203964,0.00225833447400366,-6.81339883682581,1.54399572286684e-07,-1.19303686681032,0.241114081925977,"restored","not restored"
"Christensenellaceae","Female","week 10",1.27358143682104,0.239407046451753,-7.30721089807141,3.66004144346839e-08,-4.33115948409821,0.000124145555578254,"not restored","not restored"
"Christensenellaceae","Male","week 5",0.945737144288805,0.354554975041357,-3.66895483626346,0.00281108473549866,2.24614744993178,0.0319382612146057,"not restored","not restored"
"Christensenellaceae","Male","week 10",0.869728142063679,0.404911437186991,-6.03847743260997,0.000539886416990803,-0.538087580649037,0.601814658042807,"not restored","not restored"
"Clostridiaceae","Female","week 5",3.1641272954061,0.00915382527748358,-2.90129162940302,0.0259012035024225,-3.17454908032724,0.0235008176413367,"restored","restored"
"Clostridiaceae","Female","week 10",2.03604581911442,0.147335559265706,-1.36388560963515,0.613050751804255,0.26075968358538,0.799264212139432,"not restored","not restored"
"Clostridiaceae","Male","week 5",1.79586584353773,0.221150662284611,-1.40242739721519,0.376645497259112,-0.599573230588249,0.560605212764581,"not restored","not restored"
"Clostridiaceae","Male","week 10",2.14189873088851,0.11522586540041,-0.193307174988646,1,1.48402172858337,0.493407633577268,"not restored","not restored"
