"genus","sex","timepoint","statistic_diet","p.adj_diet","statistic_treatment_FOSGOS","p.adj_treatment_FOSGOS","statistic_treatment_1472","p.adj_treatment_1472","restoration_FOSGOS","restoration_1472"
"Candidatus Saccharimonas","Male","week 5",0.173914019512374,0.866099037489001,1.8829404025208,0.253686761220905,-0.497840154213752,0.834052438894242,"not restored","not restored"
"Candidatus Saccharimonas","Male","week 10",-1.99438427468239,0.0784658063128173,-0.0530944462104547,0.958509924287276,1.22872532563166,0.724755117743985,"not restored","not restored"
"Candidatus Soleaferrea","Female","week 5",3.44461600278905,0.00463036901059478,-2.63298473360396,0.049400886749333,-0.288427714758471,0.778443661067851,"restored","not restored"
"Candidatus Soleaferrea","Female","week 10",0.768844763330809,0.597655011891221,-0.771283072364928,0.621395298607152,1.35064690342035,0.621395298607152,"not restored","not restored"
"Candidatus Soleaferrea","Male","week 5",2.07256227747376,0.100265629009901,-1.52853692651975,0.271260718457546,-0.26028372974207,0.796214804857236,"not restored","not restored"
"Candidatus Soleaferrea","Male","week 10",1.07412287605027,0.440651833644614,-2.05172175034322,0.123926610275464,0.903695783713755,0.382651642305035,"not restored","not restored"
"Caproiciproducens","Female","week 5",-0.896397751146445,0.378640730705632,-2.69187000224355e-08,1,1.04296457033131,1,"not restored","not restored"
"Caproiciproducens","Female","week 10",-0.000736585761922678,0.999430636101083,-0.911483992316605,0.362848062616017,-1.72923086710267,0.169806277314425,"not restored","not restored"
"Caproiciproducens","Male","week 10",-1.43738811998912,0.179569460482809,-0.0198023937015979,1,0.638285455887139,1,"not restored","not restored"
"Christensenella","Female","week 5",-1.96794425439495,0.0858754642288948,-1.11319037922501,0.57533527433198,0.720398310437964,0.57533527433198,"not restored","not restored"
"Christensenella","Female","week 10",-0.141434350185328,0.890837222068323,-1.93266615074056,0.150621978840949,-1.04397903875061,0.315362036609801,"not restored","not restored"
"Christensenella","Male","week 5",-1.4520974981641,0.182133101982716,-2.17901493943212,0.0968640730621374,0.132309318191701,0.896710050161249,"not restored","not restored"
"Christensenella","Male","week 10",0.487545855022074,0.63651219430458,-2.85209344081136,0.0278110091437859,-0.934191087725643,0.367461182719832,"not restored","not restored"
"Christensenellaceae R-7 group","Female","week 5",-0.87077141877571,0.393409877134115,-0.410107080492067,1,0.689220096356927,1,"not restored","not restored"
"Christensenellaceae R-7 group","Female","week 10",-0.956666823663882,0.377131178087965,-0.590389945138729,1,-0.600719213373007,1,"not restored","not restored"
"Christensenellaceae R-7 group","Male","week 5",-0.530166543421344,0.601357326198139,-0.167976525844095,0.868964902058263,0.895065588996167,0.804347348407079,"not restored","not restored"
"Christensenellaceae R-7 group","Male","week 10",0.651994204130865,0.535804904226367,-0.21198732980103,0.835257312422088,-1.44193880563689,0.341626250547951,"not restored","not restored"
"Clostridium sensu stricto 1","Female","week 5",3.1641272954061,0.00915382527748358,-2.90129162940302,0.0259012035024225,-3.17454908032724,0.0235008176413367,"restored","restored"
"Clostridium sensu stricto 1","Female","week 10",2.03604581911141,0.147335559264971,-1.3514439959752,0.624290741307577,0.259531186299385,0.800173973172232,"not restored","not restored"
"Clostridium sensu stricto 1","Male","week 5",1.79586584347149,0.221150662310709,-1.40242739721519,0.376645497259112,-0.599573230588249,0.560605212764581,"not restored","not restored"
"Clostridium sensu stricto 1","Male","week 10",2.14189873088724,0.115225880017182,-0.193307174994301,1,1.48402172854598,0.493407633938392,"not restored","not restored"
"Colidextribacter","Female","week 5",3.9747714528831,0.00632183315957957,-3.6138367009692,0.0069843150061472,-0.684234546242368,0.506386563670851,"restored","not restored"
"Colidextribacter","Female","week 10",0.848833506509667,0.40625630182648,-3.91632794726413,0.00807864098935654,-1.08408268649378,0.306310905056165,"not restored","not restored"
"Colidextribacter","Male","week 5",5.27044696974103,5.75132254107954e-05,-1.83781211410914,0.101173786285456,3.48719802621809,0.0193647778378158,"not restored","not restored"
"Colidextribacter","Male","week 10",0.491728886677411,0.627832385881065,-3.98888286239512,0.00286819540299976,1.76719792712914,0.0985892378013827,"not restored","not restored"
"Coprococcus","Female","week 5",0.0520120412304221,0.960480497450866,0.44818008724005,1,3.00746169912441,0.0400269593720415,"not restored","not restored"
"Coprococcus","Female","week 10",-0.306267358579121,0.76228072501592,-0.462681292344129,1,0.933909084856156,1,"not restored","not restored"
"Coprococcus","Male","week 5",-0.98724864008511,0.332306396668386,0.786981735316657,0.87475091975767,1.75250628519998,0.267150925571457,"not restored","not restored"
"Coprococcus","Male","week 10",-0.285464877482101,0.778141425177948,-1.21784164233569,0.375089713130748,1.66194268071894,0.375089713130748,"not restored","not restored"
"Coriobacteriaceae UCG-002","Female","week 5",-1.00768131258812,0.343134208305027,1.65266991885126,0.373508056345079,0.43367173440491,1,"not restored","not restored"
"Coriobacteriaceae UCG-002","Female","week 10",0.573190672179162,0.83399119108774,0.0855314159512938,0.933368528172949,-1.27497773745561,0.457026422995385,"not restored","not restored"
"Coriobacteriaceae UCG-002","Male","week 5",1.08653011957993,0.33419939115693,0.076839044444653,0.939817729418399,-0.993618266905563,0.672985098398902,"not restored","not restored"
"Coriobacteriaceae UCG-002","Male","week 10",-0.197698381340538,0.847644098419697,1.16884469033822,0.692092754107941,-0.956401623118336,0.692092754107941,"not restored","not restored"
"Cuneatibacter","Female","week 10",-0.574863540987907,0.566060239831125,-0.364082781201924,1,0.0960992235682676,1,"not restored","not restored"
