"order","sex","timepoint","statistic_diet","p.adj_diet","statistic_treatment_FOSGOS","p.adj_treatment_FOSGOS","statistic_treatment_1472","p.adj_treatment_1472","restoration_FOSGOS","restoration_1472"
"Saccharimonadales","Female","week 5",-0.748637029376497,0.479272080518015,2.10200186308247,0.264572027428764,0.157589805190845,0.880127594717549,"not restored","not restored"
"Saccharimonadales","Female","week 10",-0.884083548908819,0.403982861551535,-1.1420745485508,0.450921879144276,-1.23455470122432,0.450921879144276,"not restored","not restored"
"Saccharimonadales","Male","week 5",0.173914019512374,0.866099037489001,1.8829403598301,0.253686782619771,-0.497840139915736,0.834052463231522,"not restored","not restored"
"Saccharimonadales","Male","week 10",-1.99438427468239,0.0784658063128173,-0.0530944462105367,0.958509924287188,1.22872532563273,0.724755117738886,"not restored","not restored"
"Staphylococcales","Female","week 5",2.33213167048966,0.0597306871430105,-3.04099816763687,0.0230100185007836,-2.8190022474377,0.0230100185007836,"not restored","not restored"
"Staphylococcales","Female","week 10",0.994149249783586,0.692106702295755,-0.36327412911372,1,0.744819963993551,1,"not restored","not restored"
"Staphylococcales","Male","week 5",-0.63510325686732,0.539541838694575,-0.97390037137798,0.601857153119241,1.05043244460617,0.601857153119241,"not restored","not restored"
"Staphylococcales","Male","week 10",0.982680276695454,0.708703301661363,-1.21583795037664,0.507171277328986,-1.17672555141615,0.507171277328986,"not restored","not restored"
"Verrucomicrobiales","Female","week 5",0.070368828629194,0.946265572681153,1.70868027911195,0.363250311637854,0.725906132688437,0.483873483340942,"not restored","not restored"
"Verrucomicrobiales","Female","week 10",0.901213887679487,0.378178968621446,2.65033193687728,0.0688824448606071,-0.103166072336861,1,"not restored","not restored"
"Verrucomicrobiales","Male","week 5",1.67834600951467,0.244698185701967,-0.508592810066525,1,0.198498827788122,1,"not restored","not restored"
"Verrucomicrobiales","Male","week 10",0.156557728141428,0.879098194658468,1.59547667371822,0.417874038922509,-0.0595660545804187,0.953519697905226,"not restored","not restored"
