"family","sex","timepoint","statistic_diet","p.adj_diet","conf.low_diet","conf.high_diet","R2_marginal_diet","R2_conditional_diet","effect_size_diet","statistic_treatment_FOSGOS","p.adj_treatment_FOSGOS","conf.low_treatment_FOSGOS","conf.high_treatment_FOSGOS","R2_marginal_treatment_FOSGOS","R2_conditional_treatment_FOSGOS","effect_size_treatment_FOSGOS","statistic_treatment_1472","p.adj_treatment_1472","conf.low_treatment_1472","conf.high_treatment_1472","R2_marginal_treatment_1472","R2_conditional_treatment_1472","effect_size_treatment_1472","restoration_FOSGOS","restoration_1472"
"Eggerthellaceae","Male","week 10",0.236755913824981,0.817556960302742,-0.00308018715595116,0.00381421445608219,0.00622205172325014,NA,0.236755913824981,-1.89445982920775,0.165068407671922,-0.00687587161828042,0.000480357991941273,0.22918574549995,NA,-1.89445982920775,0.0472293427320418,0.963078828584215,-0.00361710012044032,0.00377806370274879,0.22918574549995,NA,0.0472293427320418,"not restored","not restored"
"Enterobacteriaceae","Female","week 5",-0.265243793626924,0.793486397540712,-0.00111014558008895,0.000859406780561056,0.00470887972338846,NA,-0.265243793626924,-0.14990070080673,1,-4.42954125270523e-05,3.82097374312644e-05,0.00180703756428897,NA,-0.14990070080673,0.101325473939511,1,-3.84346116945768e-05,4.24683439995338e-05,0.00180703756428897,NA,0.101325473939511,"not restored","not restored"
"Enterobacteriaceae","Female","week 10",-0.40477022187502,0.698860321253657,-0.00247094958345195,0.00176069592198658,0.0102200857288326,0.670885139897371,-0.40477022187502,-0.792960265549819,0.87001174292071,-0.00108871921911682,0.000482649853952205,0.0215956199375228,NA,-0.792960265549819,-0.0851848941727498,0.932810608803741,-0.000805220563100616,0.000741338075039872,0.0215956199375228,NA,-0.0851848941727498,"not restored","not restored"
"Enterobacteriaceae","Male","week 5",-1.95205485303253,0.12788075516008,-0.00198352164375423,6.07506655238949e-05,0.149357035361185,NA,-1.95205485303253,-1.37634354074495,0.40135089441174,-8.68888169528146e-05,2.09010214448472e-05,0.0560400171846147,NA,-1.37634354074495,-1.10664175297417,0.40135089441174,-8.14092180104112e-05,2.73857553378207e-05,0.0560400171846147,NA,-1.10664175297417,"not restored","not restored"
"Enterobacteriaceae","Male","week 10",0.0898129421554649,0.93019458068871,-9.16388182463292e-05,9.93459024236879e-05,0.000368946375170234,NA,0.0898129421554649,-1.55927058445442,0.295578510836574,-0.000112695639835643,1.9369048506332e-05,0.0884654314237484,NA,-1.55927058445442,-0.2312845882097,0.821147111354561,-7.36142972262541e-05,5.95433100305794e-05,0.0884654314237484,NA,-0.2312845882097,"not restored","not restored"
"Enterococcaceae","Female","week 5",-1.23865121037008,0.273976331617895,-0.00247893408243458,0.000889218877650927,0.067909697555313,0.280645685940939,-1.23865121037008,0.869921941198845,0.782336154758408,-0.000118598758979928,0.000294761731073287,0.129820373109901,NA,0.869921941198845,1.81163918519019,0.239169993673354,-2.44955880087602e-05,0.000414235729756088,0.129820373109901,NA,1.81163918519019,"not restored","not restored"
"Enterococcaceae","Female","week 10",-1.72438321220702,0.125398444096917,-0.000380382744498967,5.70292251526543e-05,0.411922812098453,NA,-1.72438321220702,0.202345987120829,1,-0.00016619213880051,0.000202812353418343,0.0254879418511705,NA,0.202345987120829,0.747558194532714,1,-0.000122099224286904,0.00026395129057434,0.0254879418511705,NA,0.747558194532714,"not restored","not restored"
"Enterococcaceae","Male","week 5",-1.64546594144718,0.124017444280536,-0.000802081711781292,0.000108843964686591,0.153442659043988,NA,-1.64546594144718,0.607655544746314,1,-5.50422426382614e-05,0.000101671450119242,0.0112997514678773,NA,0.607655544746314,0.310308441936991,1,-6.95932222658667e-05,9.45812636242456e-05,0.0112997514678773,NA,0.310308441936991,"not restored","not restored"
"Enterococcaceae","Male","week 10",-0.634298648001934,0.543069711274249,-0.000275381920540794,0.000156076221615674,0.0640137092254668,NA,-0.634298648001934,-1.52097666849096,0.28292786289352,-7.95106147448053e-05,1.14784787777994e-05,0.0724223718048569,NA,-1.52097666849096,-1.29146009363812,0.28292786289352,-7.5746609324354e-05,1.68893362902024e-05,0.0724223718048569,NA,-1.29146009363812,"not restored","not restored"
"Erysipelatoclostridiaceae","Female","week 5",2.51115676773399,0.119043208708878,-7.41932571712439e-05,0.00249223735771825,0.287328187479249,0.669618779236045,2.51115676773399,-0.487316300201995,1,-0.00506851919832494,0.0032096732907603,0.30532579210978,NA,-0.487316300201995,1.00341246251602,1,-0.00213872341227551,0.00581838358480468,0.30532579210978,NA,1.00341246251602,"not restored","not restored"
"Erysipelatoclostridiaceae","Female","week 10",1.0754650557934,0.587640384576504,-3.52997004156462e-05,0.000111347956872642,0.0478802432915965,NA,1.0754650557934,0.0917438192614286,1,-0.00168642424510841,0.00183430326558017,0.263104749600496,NA,0.0917438192614286,0.950587494991054,1,-0.0009561765381641,0.00242928266067246,0.263104749600496,NA,0.950587494991054,"not restored","not restored"
