"phylum","sex","timepoint","statistic_diet","p.adj_diet","conf.low_diet","conf.high_diet","R2_marginal_diet","R2_conditional_diet","effect_size_diet","statistic_treatment_FOSGOS","p.adj_treatment_FOSGOS","conf.low_treatment_FOSGOS","conf.high_treatment_FOSGOS","R2_marginal_treatment_FOSGOS","R2_conditional_treatment_FOSGOS","effect_size_treatment_FOSGOS","statistic_treatment_1472","p.adj_treatment_1472","conf.low_treatment_1472","conf.high_treatment_1472","R2_marginal_treatment_1472","R2_conditional_treatment_1472","effect_size_treatment_1472","restoration_FOSGOS","restoration_1472"
"Deferribacterota","Female","week 10",1.13201434723401,0.542457857492978,-0.00612545797650316,0.0206307707852097,0.0618773658141823,NA,1.13201434723401,-1.77014476388,0.173548065151844,-0.0230549201996667,0.00164126882628947,0.0876923080284784,NA,-1.77014476388,-0.978063822600802,0.336719340260385,-0.0180722045141004,0.00640435835408549,0.0876923080284784,NA,-0.978063822600802,"not restored","not restored"
"Deferribacterota","Male","week 5",1.95460891825529,0.128343081075308,-5.84623897097863e-05,0.00187333653632721,0.156959403790328,NA,1.95460891825529,1.00296396407969,0.927182967738943,-0.00248709113847548,0.00728739606429755,0.0632698558222533,NA,1.00296396407969,-0.402287590224027,0.927182967738943,-0.00617187851216972,0.00413909754878623,0.0632698558222533,NA,-0.402287590224027,"not restored","not restored"
"Deferribacterota","Male","week 10",-0.706009498342737,0.488544616048735,-0.00872450358943435,0.00431790007754865,0.0243570039996675,NA,-0.706009498342737,-1.50138972929697,0.330449268831419,-0.0115927890054084,0.00228590215349341,0.0977463319022287,0.500898535204617,-1.50138972929697,-1.49097954880696,0.330449268831419,-0.0115923647147121,0.00226510024600037,0.0977463319022287,0.500898535204617,-1.49097954880696,"not restored","not restored"
"Desulfobacterota","Female","week 5",1.8425687197238,0.109204042090884,-0.00264845690049316,0.0208406327164818,0.193713964781731,NA,1.8425687197238,-3.45715714606271,0.0177457869404991,-0.0322657932911287,-0.00639031563138718,0.455871129915459,0.656345640553893,-3.45715714606271,0.801198837520291,0.443282857439271,-0.00800416432451359,0.0168214770788877,0.455871129915459,0.656345640553893,0.801198837520291,"not restored","not restored"
"Desulfobacterota","Female","week 10",1.15515104972604,0.26042132580283,-0.00649178376172359,0.0228166147302949,0.0548349405064605,NA,1.15515104972604,-3.56067236761129,0.00223475533543785,-0.0333926463902399,-0.00912551574214848,0.272072293132232,NA,-3.56067236761129,-2.57390369331789,0.0145864673774375,-0.02696706682646,-0.00317118745847097,0.272072293132232,NA,-2.57390369331789,"not restored","not restored"
"Desulfobacterota","Male","week 5",0.86453242366887,0.407483112941564,-0.00535343957843909,0.01214714339055,0.0411917876895431,NA,0.86453242366887,-2.05714977241657,0.153353133203646,-0.0138611095034053,0.000893727291140757,0.147281107869737,0.724626322570259,-2.05714977241657,1.85173214220759,0.153353133203646,-0.00149600760618483,0.0137491145872141,0.147281107869737,0.724626322570259,1.85173214220759,"not restored","not restored"
"Desulfobacterota","Male","week 10",1.24282032572155,0.227017701280182,-0.00371040562572019,0.0148080587450792,0.0629304292342624,NA,1.24282032572155,-2.40451878401749,0.0435992761774111,-0.0185671942100263,-0.00155720648267522,0.196651107870454,NA,-2.40451878401749,0.207411243431393,0.836928523908262,-0.00776686915507527,0.00953229202011148,0.196651107870454,NA,0.207411243431393,"not restored","not restored"
"Firmicutes","Female","week 5",4.79938954741184,0.000172134608596564,0.0970620147197492,0.244796627533207,0.578694956846387,NA,4.79938954741184,-4.59281282776548,0.0027872039254595,-0.401879502057759,-0.135934224496688,0.594291187964176,NA,-4.59281282776548,-1.20562872831544,0.258204258794902,-0.195676566547156,0.0593916101903826,0.594291187964176,NA,-1.20562872831544,"restored","not restored"
"Firmicutes","Female","week 10",2.07723069925964,0.0511485449175084,-0.000528562855689099,0.192559733392235,0.17578072183586,NA,2.07723069925964,-4.27924969205537,0.00694305418758715,-0.420458599995071,-0.122047135447274,0.485132512913288,NA,-4.27924969205537,-1.51099951833731,0.170910639822772,-0.235386689944866,0.0499097472867309,0.485132512913288,NA,-1.51099951833731,"not restored","not restored"
"Firmicutes","Male","week 5",2.78465115463366,0.02418477890079,0.0241070702220892,0.260863531988885,0.308305409729635,0.595277521091318,2.78465115463366,-0.575484823930745,1,-0.188011846563956,0.110167887398047,0.0220884917173125,0.536631878444574,-0.575484823930745,0.0922999683298974,1,-0.14283381789,0.155384506266503,0.0220884917173125,0.536631878444574,0.0922999683298974,"not restored","not restored"
