"order","sex","timepoint","statistic_diet","p.adj_diet","conf.low_diet","conf.high_diet","R2_marginal_diet","R2_conditional_diet","effect_size_diet","statistic_treatment_FOSGOS","p.adj_treatment_FOSGOS","conf.low_treatment_FOSGOS","conf.high_treatment_FOSGOS","R2_marginal_treatment_FOSGOS","R2_conditional_treatment_FOSGOS","effect_size_treatment_FOSGOS","statistic_treatment_1472","p.adj_treatment_1472","conf.low_treatment_1472","conf.high_treatment_1472","R2_marginal_treatment_1472","R2_conditional_treatment_1472","effect_size_treatment_1472","restoration_FOSGOS","restoration_1472"
"Clostridiales","Female","week 5",3.1641272954061,0.00915382527748358,0.00384781042344206,0.0185394068767144,0.363427439026659,NA,3.1641272954061,-2.90129162940302,0.0259012035024225,-0.0157605009196771,-0.0014235412609725,0.257264954999655,0.492877993319444,-2.90129162940302,-3.17454908032724,0.0235008176413367,-0.0163532217307722,-0.00270454618764599,0.257264954999655,0.492877993319444,-3.17454908032724,"restored","restored"
"Clostridiales","Female","week 10",2.03604581911442,0.147335559261077,-9.20255257446402e-05,0.00163981988353094,0.238078853088796,NA,2.03604581911442,-1.36388560963515,0.613050751803958,-0.00306635545045395,0.000750182406659418,0.116182851635298,0.783412875152492,-1.36388560963515,0.26075968358538,0.79926421213942,-0.00165978344090949,0.00210372165877939,0.116182851635298,0.783412875152492,0.26075968358538,"not restored","not restored"
"Clostridiales","Male","week 5",1.79586584353773,0.221150662284611,-0.000731694506305613,0.00584799960665425,0.130215678445852,0.635104361655662,1.79586584353773,-1.40242739721519,0.376645497259112,-0.00582603583478064,0.00129047643961306,0.0879969515300859,0.732789680791909,-1.40242739721519,-0.599573230588249,0.560605212764581,-0.00452817809932428,0.00258412576749157,0.0879969515300859,0.732789680791909,-0.599573230588249,"not restored","not restored"
"Clostridiales","Male","week 10",2.14189873088775,0.115225864115667,-3.75397282643498e-05,0.00196174022712648,0.365481813563519,NA,2.14189873088775,-0.193307174957417,1,-0.0104756382274504,0.008773548874801,0.165765000696313,0.973427273646137,-0.193307174957417,1.48402172855388,0.493407631954562,-0.00309398587768743,0.0161521546898831,0.165765000696313,0.973427273646137,1.48402172855388,"not restored","not restored"
"Coriobacteriales","Female","week 5",2.6080616218828,0.0415375077463704,0.000138016434867257,0.00500154491533447,0.253757858853276,NA,2.6080616218828,0.0438556617802633,1,-0.00512379126025503,0.00532927819035547,0.0212613182346498,0.605350830939517,0.0438556617802633,-0.573318733003708,1,-0.00645969883471063,0.00379535182055324,0.0212613182346498,0.605350830939517,-0.573318733003708,"not restored","not restored"
"Coriobacteriales","Female","week 10",1.15314864525964,0.484715316571601,-0.00393845938659203,0.0107252076123126,0.0886701381454324,0.835245443704434,1.15314864525964,-0.526513549206445,0.610961412002602,-0.00873289529542553,0.0054255371456291,0.0714021252947534,0.704069462216184,-0.526513549206445,-1.1396418411411,0.561393469367208,-0.0101810335099763,0.00328341057267004,0.0714021252947534,0.704069462216184,-1.1396418411411,"not restored","not restored"
"Coriobacteriales","Male","week 5",1.87526717727411,0.21301416375365,-0.00234429836973509,0.0188903704614003,0.132949928283029,0.169162370651165,1.87526717727411,-0.0635661706161239,0.950202400810804,-0.0149106700602875,0.014051228711578,0.166439111345347,NA,-0.0635661706161239,-1.43949509634082,0.342242912899121,-0.0243570650132349,0.00474853407945882,0.166439111345347,NA,-1.43949509634082,"not restored","not restored"
"Coriobacteriales","Male","week 10",-0.164525940458084,0.872905869468051,-0.0307471048810722,0.026570062560312,0.00174029041242386,0.623264648234461,-0.164525940458084,0.767791429462993,0.798049823587515,-0.013967881061275,0.0290220174166225,0.119527593995998,0.907990096186052,0.767791429462993,-0.875247255864201,0.798049823587515,-0.0300806808053185,0.0128722219104894,0.119527593995998,0.907990096186052,-0.875247255864201,"not restored","not restored"
"Corynebacteriales","Male","week 5",-1,0.414994610712133,-1.13596643955439e-05,4.77959148833607e-06,0.0416666666666667,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not restored","not restored"
"Corynebacteriales","Male","week 10",NA,NA,NA,NA,NA,NA,NA,-0.0572920880227889,1,-7.99480445093745e-06,7.70593904594686e-06,0.0601261922944344,NA,-0.0572920880227889,1.27002288637895,0.872060525890023,-4.74276080538191e-06,1.12621561200397e-05,0.0601261922944344,NA,1.27002288637895,"not restored","not restored"
"Deferribacterales","Female","week 5",0.0207121522848577,0.9840371280255,-0.0281891315828923,0.0286902432481618,0.000142238535167757,NA,0.0207121522848577,-1.11495012855706,0.605974181025079,-0.0208411699320601,0.0075532196845451,0.128917392302681,NA,-1.11495012855706,-0.905789204556768,0.605974181025079,-0.018809248540461,0.00842108460279521,0.128917392302681,NA,-0.905789204556768,"not restored","not restored"
