"family","statistic_diet","p.adj_diet","conf.low_diet","conf.high_diet","R2_marginal_diet","R2_conditional_diet","effect_size_diet","statistic_treatment_FOSGOS","p.adj_treatment_FOSGOS","conf.low_treatment_FOSGOS","conf.high_treatment_FOSGOS","R2_marginal_treatment_FOSGOS","R2_conditional_treatment_FOSGOS","effect_size_treatment_FOSGOS","statistic_treatment_1472","p.adj_treatment_1472","conf.low_treatment_1472","conf.high_treatment_1472","R2_marginal_treatment_1472","R2_conditional_treatment_1472","effect_size_treatment_1472","restoration_FOSGOS","restoration_1472"
"Oscillospiraceae",5.85861439788896,0.000976031069866034,0.0433011485482539,0.100653381871466,0.320460094062264,0.888688992817276,5.85861439788896,-3.63498723128331,0.00452582617300626,-0.188641092860093,-0.0495851103041029,0.454892569347247,0.513911057059302,-3.63498723128331,0.132456791142476,0.896317706758557,-0.0649931708825533,0.073636484295694,0.454892569347247,0.513911057059302,0.132456791142476,"restored","not restored"
"Peptococcaceae",3.19460277645472,0.0258505705659035,0.000605544087416336,0.0037734225965462,0.335230144660607,0.591847806718132,3.19460277645472,-4.38739097091366,0.000941869670219759,-0.00518685020492452,-0.00180523226371926,0.553686903069728,0.574368141207328,-4.38739097091366,0.00865003155990059,0.993210503513211,-0.00168478516604804,0.00169853526922478,0.553686903069728,0.574368141207328,0.00865003155990059,"restored","not restored"
"Peptostreptococcaceae",2.81175978051355,0.0313961696800975,0.010518948302111,0.0829383492800204,0.378168740388002,NA,2.81175978051355,-2.30686074435537,0.0706053887415625,-0.0850630185710085,-0.0034670153067391,0.37648230274013,0.536210123788294,-2.30686074435537,1.62350228963125,0.12452985326108,-0.00956902773929959,0.0715885594896037,0.37648230274013,0.536210123788294,1.62350228963125,"not restored","not restored"
"Planococcaceae",-1,0.365433525410257,-0.0001120306200874,4.15447965486593e-05,0.0714285714285714,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not restored","not restored"
"Rikenellaceae",-1.0900694092118,0.297088217065803,-0.0627564064830793,0.0209018311634544,0.0837489617542968,NA,-1.0900694092118,-6.39239839930467,3.67286664743991e-05,-0.0808386491746295,-0.0401643752094905,0.651018469790438,0.739803108222451,-6.39239839930467,-0.897565385148518,0.384652302590904,-0.0286697898049683,0.0117577002427994,0.651018469790438,0.739803108222451,-0.897565385148518,"not restored","not restored"
"Ruminococcaceae",2.47006141218965,0.0294901698222439,0.00264759976025897,0.0422606634573715,0.319414607478624,NA,2.47006141218965,-3.93509851373254,0.00194093915836703,-0.0585166978080551,-0.0177815747090521,0.460748950847203,NA,-3.93509851373254,-0.870914709981212,0.39526801227163,-0.028810715850403,0.0119244072486203,0.460748950847203,NA,-0.870914709981212,"restored","not restored"
"Saccharimonadaceae",-2.60787871645608,0.0228909848159115,-0.000882713763741944,-7.91240380048297e-05,0.34346854274633,NA,-2.60787871645608,0.677978143888943,1,-0.000301760954590173,0.000589315976844247,0.0648442864089892,NA,0.677978143888943,-0.494898617494418,1,-0.000550490656469903,0.000340586274964606,0.0648442864089892,NA,-0.494898617494418,"not restored","not restored"
"Staphylococcaceae",1.11035558748706,0.577200038074416,-0.011677420212276,0.0359480943547221,0.086622574285254,NA,1.11035558748706,-1.4451457904747,0.331203851338802,-0.0320766094432086,0.00593194480479462,0.108762858560964,NA,-1.4451457904747,-1.23657930269849,0.331203851338802,-0.0301899828780466,0.00781857136998265,0.108762858560964,NA,-1.23657930269849,"not restored","not restored"
"Streptococcaceae",-0.0361829749817593,0.971901344373288,-0.000277836169511121,0.000269045972543747,0.000102721360468156,NA,-0.0361829749817593,-1.52234720761164,0.290593114037192,-0.000471105238735122,7.52275406570607e-05,0.177364031156505,NA,-1.52234720761164,0.461901208867926,0.649685885045701,-0.000213109003840934,0.000333223775551249,0.177364031156505,NA,0.461901208867926,"not restored","not restored"
"Sutterellaceae",1.33114175313828,0.427819467420377,-0.00239722679834375,0.00941152008762439,0.108626292047711,0.215558038145666,1.33114175313828,2.78900092647947,0.0363566630046954,0.00323211848307709,0.0229694744566211,0.321985741584985,NA,2.78900092647947,0.258923992352771,0.798631701076298,-0.00865243223627091,0.0110849237372732,0.321985741584985,NA,0.258923992352771,"not restored","not restored"
"Tannerellaceae",0.984516958785363,0.35754395048887,-0.00270214331653351,0.00656224971422179,0.0514970266953719,0.333759148810964,0.984516958785363,0.336987137255794,1,-0.0139134617719242,0.0191568925004029,0.0180841084443833,0.16246684414989,0.336987137255794,-0.311787377097285,1,-0.0188802241478213,0.0140521966390081,0.0180841084443833,0.16246684414989,-0.311787377097285,"not restored","not restored"
"UCG-010",0.164719507434426,0.871906909719422,-0.000823015988301124,0.000957634167813395,0.00208276964219456,NA,0.164719507434426,-0.0647939486635129,0.949147321033825,-0.000995745445680835,0.000936720409068689,0.0417850518356885,0.253122361071361,-0.0647939486635129,-0.933434345398934,0.729046956345026,-0.00138430140191492,0.000538102932942304,0.0417850518356885,0.253122361071361,-0.933434345398934,"not restored","not restored"
"Xanthomonadaceae",NA,NA,NA,NA,NA,NA,NA,-0.087698135417581,1,-2.13040764428917e-05,1.96156454681731e-05,0.105817295346779,NA,-0.087698135417581,1.2787072573135,0.660920317567382,-8.16689193907176e-06,3.26944129257257e-05,0.105817295346779,NA,1.2787072573135,"not restored","not restored"
"[Clostridium] methylpentosum group",-1,0.365433525410842,-0.000261404780204167,9.6937858613772e-05,0.0714285714285714,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not restored","not restored"
"[Eubacterium] coprostanoligenes group",-0.560247661752186,0.585618053111249,-0.000948756766776549,0.000560639190093918,0.0235752089392736,NA,-0.560247661752186,2.59752013460935,0.057351056525814,0.00129080356223495,0.0126069553894889,0.263229488748513,0.335886203535391,2.59752013460935,0.431004176248116,1,-0.00449203794884554,0.0067885412315817,0.263229488748513,0.335886203535391,0.431004176248116,"not restored","not restored"
