"genus","sex","timepoint","statistic_diet","p.adj_diet","conf.low_diet","conf.high_diet","R2_marginal_diet","R2_conditional_diet","effect_size_diet","statistic_treatment_FOSGOS","p.adj_treatment_FOSGOS","conf.low_treatment_FOSGOS","conf.high_treatment_FOSGOS","R2_marginal_treatment_FOSGOS","R2_conditional_treatment_FOSGOS","effect_size_treatment_FOSGOS","statistic_treatment_1472","p.adj_treatment_1472","conf.low_treatment_1472","conf.high_treatment_1472","R2_marginal_treatment_1472","R2_conditional_treatment_1472","effect_size_treatment_1472","restoration_FOSGOS","restoration_1472"
"Acetatifactor","Female","week 10",1.50197550509911,0.305628969891484,-0.000981701297465437,0.00573793853435001,0.092185713480744,NA,1.50197550509911,-2.39433955071775,0.048872119553236,-0.00582249743962546,-0.000438281692918425,0.144102820896357,NA,-2.39433955071775,-1.3085036699987,0.203949148171331,-0.00434005467081644,0.00097975614239233,0.144102820896357,NA,-1.3085036699987,"not restored","not restored"
"Acetatifactor","Male","week 5",1.99673176578835,0.166140989686172,-0.000526880854886645,0.00683429015319769,0.216080289869143,0.94993793412674,1.99673176578835,1.70332127813507,0.36689793379638,-0.00163803030154373,0.0116986406985581,0.0681612143661763,0.58753796452994,1.70332127813507,0.479624796299917,0.641254996179915,-0.00526220040410337,0.00817651100071629,0.0681612143661763,0.58753796452994,0.479624796299917,"not restored","not restored"
"Acetatifactor","Male","week 10",-0.267589619244833,0.79338090864874,-0.00166354893558954,0.00129820142263135,0.00390633499312446,NA,-0.267589619244833,0.483207631878806,0.653807896136752,-0.000794183624371024,0.00125181009382534,0.0493085277941776,NA,0.483207631878806,1.01708822111535,0.653807896136752,-0.000543021138346159,0.00151701050652215,0.0493085277941776,NA,1.01708822111535,"not restored","not restored"
"Acinetobacter","Female","week 10",NA,NA,NA,NA,NA,NA,NA,0.666755516049375,1,-6.98504687132495e-06,1.09089581255445e-05,0.0861185392633913,NA,0.666755516049375,1.60204609769409,0.598070849231481,-4.23334459364229e-06,1.37482931577849e-05,0.0861185392633913,NA,1.60204609769409,"not restored","not restored"
"Acinetobacter","Male","week 5",NA,NA,NA,NA,NA,NA,NA,1.27054050704384,0.666519210906007,-8.64325509801695e-06,3.44674768173425e-05,0.0956052528804595,NA,1.27054050704384,-9.42981794386722e-17,1,-2.17405055647958e-05,2.17405055647958e-05,0.0956052528804595,NA,-9.42981794386722e-17,"not restored","not restored"
"Afipia","Male","week 10",0.98327279521404,1,-1.97460552313257e-05,2.12573529373269e-05,0.0425830313882406,NA,0.98327279521404,-1.2261428821866,1,-1.14752753877002e-05,9.96397768169897e-06,0.057024313743327,NA,-1.2261428821866,-1.20454578398834,1,-1.14893280139687e-05,9.97803030796749e-06,0.057024313743327,NA,-1.20454578398834,"not restored","not restored"
"Agathobacter","Male","week 10",-1.11598418706084,0.276470470024372,-0.000207176029367032,6.22133214892999e-05,0.0513672549090252,NA,-1.11598418706084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not restored","not restored"
"Akkermansia","Female","week 5",0.070368828629194,0.946265572681153,-0.0674651106411831,0.0714250326471178,0.000223516601261044,0.456193109186422,0.070368828629194,1.70868027911195,0.363250311637854,-0.020909215774985,0.151455596519809,0.112184116308913,0.572615962272624,1.70868027911195,0.725906132688437,0.483873483340942,-0.0563115445299383,0.111181256760155,0.112184116308913,0.572615962272624,0.725906132688437,"not restored","not restored"
"Akkermansia","Female","week 10",0.901213887679487,0.378178968621446,-0.0119922249779572,0.0302406876096083,0.0398665056750269,NA,0.901213887679487,2.65033193687728,0.0688824448606071,0.0282912222524411,0.310038125675068,0.386473366608733,0.952083079413052,2.65033193687728,-0.103166072336861,1,-0.143177525179786,0.130278636093178,0.386473366608733,0.952083079413052,-0.103166072336861,"not restored","not restored"
"Akkermansia","Male","week 5",1.67834600951467,0.244698185701967,-0.0352855692805836,0.258109001884588,0.378578153499475,NA,1.67834600951467,-0.508592810066525,1,-0.164721112695217,0.103225658069638,0.0208387207849817,0.540722287727009,-0.508592810066525,0.198498827788122,1,-0.121886752372282,0.146069589948735,0.0208387207849817,0.540722287727009,0.198498827788122,"not restored","not restored"
