"genus","statistic_diet","p.adj_diet","conf.low_diet","conf.high_diet","R2_marginal_diet","R2_conditional_diet","effect_size_diet","statistic_treatment_FOSGOS","p.adj_treatment_FOSGOS","conf.low_treatment_FOSGOS","conf.high_treatment_FOSGOS","R2_marginal_treatment_FOSGOS","R2_conditional_treatment_FOSGOS","effect_size_treatment_FOSGOS","statistic_treatment_1472","p.adj_treatment_1472","conf.low_treatment_1472","conf.high_treatment_1472","R2_marginal_treatment_1472","R2_conditional_treatment_1472","effect_size_treatment_1472","restoration_FOSGOS","restoration_1472"
"Dubosiella",-0.081916444802121,0.936063640932612,-0.0161381623196963,0.0149686451220419,0.000515910923839975,NA,-0.081916444802121,1.05564420002508,0.627917122545346,-0.00767015803344643,0.0231626089967279,0.079969096137644,NA,1.05564420002508,-0.156291673294195,0.877542675036131,-0.0165632382434236,0.0142695287867507,0.079969096137644,NA,-0.156291673294195,"not restored","not restored"
"Enterococcus",0.856793002235943,0.823407160896861,-0.00106965638165727,0.0024050193802187,0.0510606510780973,0.102475712319664,0.856793002235943,-1.47508475507442,0.314934403119338,-0.00268790879403966,0.000470411170540887,0.104915984244296,NA,-1.47508475507442,-0.382159304865151,0.706817745703864,-0.00186641037499522,0.00129190958958533,0.104915984244296,NA,-0.382159304865151,"not restored","not restored"
"Enterorhabdus",1.7453552056654,0.112597496738126,-0.000629720659797434,0.00508295508456843,0.168080789243312,0.296937357122619,1.7453552056654,-4.18788683549492,0.00110579909402459,-0.0075815756599212,-0.00251597429774135,0.600196445683543,NA,-4.18788683549492,0.966224669439312,0.346735326694976,-0.0013679528409711,0.0036976485212118,0.600196445683543,NA,0.966224669439312,"not restored","not restored"
"Erysipelatoclostridium",3.25941188265531,0.0221570288896682,0.00352704270208622,0.020294840990683,0.366179665759396,0.5687808894467,3.25941188265531,-2.71251814133528,0.0315138076367247,-0.0194695442958954,-0.00235800808567498,0.267861924485405,0.286171958530663,-2.71251814133528,-1.62918259878425,0.124685929143035,-0.0151290219434415,0.00203936068690071,0.267861924485405,0.286171958530663,-1.62918259878425,"restored","not restored"
"Escherichia-Shigella",-1.25584262097077,0.276097733091407,-0.00501973811384846,0.00139882945003373,0.100468734761565,0.181851514402428,-1.25584262097077,-0.0596120878754107,1,-0.00172758508527235,0.00163335426861817,0.129970591766354,0.225512492014974,-0.0596120878754107,1.54381654373908,0.429696370114768,-0.000460773673668364,0.0028905258372801,0.129970591766354,0.225512492014974,1.54381654373908,"not restored","not restored"
"Faecalibaculum",-0.588765398322924,0.566936486516896,-0.0539257881174414,0.030981802072414,0.0259724224479709,NA,-0.588765398322924,-1.06875763260089,0.598605731230521,-0.0519259501625325,0.0169090012628166,0.111641967614865,NA,-1.06875763260089,0.479722679265366,0.637201911019014,-0.0265586197693537,0.0422763316559954,0.111641967614865,NA,0.479722679265366,"not restored","not restored"
"Family XIII AD3011 group",1.80351682223255,0.204287555560872,-7.05617431685657e-05,0.000660516490936098,0.174303116334072,0.318789095758064,1.80351682223255,-2.6776380030735,0.03274389881158,-0.000659782890858036,-7.70529944167597e-05,0.300769431471299,NA,-2.6776380030735,-2.30537684319934,0.0348339037665283,-0.000606086037159749,-2.54710764068829e-05,0.300769431471299,NA,-2.30537684319934,"not restored","not restored"
"Family XIII UCG-001",3.27222642172081,0.0314735260183926,0.000104088405204782,0.00069197612037204,0.337900177803871,0.60879403599601,3.27222642172081,-2.75739484670197,0.0259321590694986,-0.000709276914734287,-9.58399827776958e-05,0.277926473532002,NA,-2.75739484670197,-1.64532074771376,0.117253139808579,-0.000546922645912082,6.65142860445065e-05,0.277926473532002,NA,-1.64532074771376,"restored","not restored"
"Fournierella",-1,0.365433525409208,-0.000105261607538779,3.90346145202077e-05,0.0714285714285714,NA,-1,1.22474487139159,0.709375329618305,-1.86904499596241e-05,7.09425139161504e-05,0.090909090909091,NA,1.22474487139159,9.07599862882265e-17,1,-4.48164819378873e-05,4.48164819378873e-05,0.090909090909091,NA,9.07599862882265e-17,"not restored","not restored"
"GCA-900066575",3.7702707413358,0.00534095131462516,0.00339150107160197,0.0126778868346126,0.52232122131561,NA,3.7702707413358,-3.15894651324863,0.0120739636764155,-0.020515669817574,-0.00404386392092874,0.37525590828746,0.436970875004034,-3.15894651324863,-0.0644826803512257,0.949391191857712,-0.00846170711396571,0.00796245587689767,0.37525590828746,0.436970875004034,-0.0644826803512257,"restored","not restored"
