"order","statistic_diet","p.adj_diet","conf.low_diet","conf.high_diet","R2_marginal_diet","R2_conditional_diet","effect_size_diet","statistic_treatment_FOSGOS","p.adj_treatment_FOSGOS","conf.low_treatment_FOSGOS","conf.high_treatment_FOSGOS","R2_marginal_treatment_FOSGOS","R2_conditional_treatment_FOSGOS","effect_size_treatment_FOSGOS","statistic_treatment_1472","p.adj_treatment_1472","conf.low_treatment_1472","conf.high_treatment_1472","R2_marginal_treatment_1472","R2_conditional_treatment_1472","effect_size_treatment_1472","restoration_FOSGOS","restoration_1472"
"Enterobacterales",-1.30981191900088,0.246704900244402,-0.00505798258484616,0.0013104430544306,0.10830988786914,0.189211077527586,-1.30981191900088,-0.0596120878754107,1,-0.00172758508527525,0.00163335426862108,0.129970591766353,0.225512492014974,-0.0596120878754107,1.54381654373908,0.429696370119585,-0.000460773673679752,0.00289052583729149,0.129970591766353,0.225512492014974,1.54381654373908,"not restored","not restored"
"Erysipelotrichales",-0.84336728341208,0.419292391344622,-0.102573632133282,0.0464041533923953,0.049909941227253,0.0935548750587146,-0.84336728341208,-1.00291247810167,0.658391438465275,-0.0745335353776344,0.0263669129463257,0.0640159304188172,NA,-1.00291247810167,0.0196375168969704,0.984548580125825,-0.0499786611479995,0.0509217871759607,0.0640159304188172,NA,0.0196375168969704,"not restored","not restored"
"Lachnospirales",3.02866190190831,0.0189160547739401,0.0420495605506181,0.257659896555801,0.413695872720771,NA,3.02866190190831,-2.43205963806351,0.0513532740759072,-0.26317750669878,-0.0192253076569265,0.231324420761937,NA,-2.43205963806351,-0.936926488267611,0.361198183795922,-0.176372519943795,0.0675796790980589,0.231324420761937,NA,-0.936926488267611,"not restored","not restored"
"Lactobacillales",-1.52687837748693,0.15901701282399,-0.162775152230654,0.0308348395065003,0.14675306531581,0.18699091754187,-1.52687837748693,-0.722910539793131,0.55607327224472,-0.071970576459448,0.0354185827465843,0.0566955362783573,0.138697520031412,-0.722910539793131,-1.12478574246326,0.55607327224472,-0.0819162495332471,0.0252648523499087,0.0566955362783573,0.138697520031412,-1.12478574246326,"not restored","not restored"
"Monoglobales",0.0576152431421928,0.955003386262208,-6.44409327985997e-05,6.7941577938953e-05,0.000255282217605098,NA,0.0576152431421928,-1.22474487139159,0.472916886412786,-6.0658900092864e-05,1.59811384487223e-05,0.0909090909090909,NA,-1.22474487139159,-1.22474487139159,0.472916886412786,-6.06589000928599e-05,1.59811384487183e-05,0.0909090909090909,NA,-1.22474487139159,"not restored","not restored"
"Oscillospirales",4.65648396785365,0.00421480475498874,0.0446648482096944,0.135470199308032,0.277059777763956,0.84703923437239,4.65648396785365,-3.69049457001194,0.00408429826616856,-0.244345122517289,-0.0658584524612105,0.445756468277826,0.514680049853635,-3.69049457001194,-0.0550785916755471,0.956780038815394,-0.0912296375618211,0.0866211683163252,0.445756468277826,0.514680049853635,-0.0550785916755471,"restored","not restored"
"Peptococcales",3.19460277645472,0.0258505705659035,0.000605544087416336,0.0037734225965462,0.335230144660607,0.591847806718132,3.19460277645472,-4.38739097091366,0.000941869670219759,-0.00518685020492452,-0.00180523226371926,0.553686903069728,0.574368141207328,-4.38739097091366,0.00865003155990059,0.993210503513211,-0.00168478516604804,0.00169853526922478,0.553686903069728,0.574368141207328,0.00865003155990059,"restored","not restored"
"Peptostreptococcales-Tissierellales",2.913499241545,0.0259926415206808,0.0121233561898067,0.0840302911166537,0.395024621913501,NA,2.913499241545,-2.39438659025521,0.0594403133368244,-0.0865727600969965,-0.00514118676919852,0.384616961956175,0.538961464506331,-2.39438659025521,1.58347261432254,0.133377498229556,-0.0103111773789428,0.0706831730482887,0.384616961956175,0.538961464506331,1.58347261432254,"not restored","not restored"
"Pseudomonadales",NA,NA,NA,NA,NA,NA,NA,-0.0876981354222305,1,-0.000308909108427693,0.000284426859293009,0.10581729534762,NA,-0.0876981354222305,1.27870725731639,0.660920317580069,-0.000118419933123017,0.000474068987429766,0.10581729534762,NA,1.27870725731639,"not restored","not restored"
"Rickettsiales",0.65052887047806,0.562368027857293,-9.46594836198475e-05,0.000175244935804732,0.0315266252155398,NA,0.65052887047806,-1.73262983682533,0.263886933120578,-0.000196666746591413,2.06186347662446e-05,0.223240876031604,NA,-1.73262983682533,0.509291283562209,0.61815745764831,-8.22769121541166e-05,0.000133779076506574,0.223240876031604,NA,0.509291283562209,"not restored","not restored"
