"metric","test","sex","timepoint",".y..x","group1","group2","n1.x","n2.x","statistic","p","p.adj","p.adj.signif",".y..y","effsize","n1.y","n2.y","magnitude"
"Shannon","Wilcoxon rank-sum","Male","week 10","Shannon","HFHS FOS+GOS","HFHS B. longum APC1472",13,12,26,0.004,0.022,"*","Shannon",0.565685424949238,13,12,"large"
"Chao1","Wilcoxon rank-sum","Female","week 5","Chao1","Control Vehicle","HFHS Vehicle",12,12,52,0.26,0.756,"ns","Chao1",0.235753516731969,12,12,"small"
"Chao1","Wilcoxon rank-sum","Female","week 5","Chao1","Control Vehicle","HFHS FOS+GOS",12,12,56,0.378,0.756,"ns","Chao1",0.188561808316413,12,12,"small"
"Chao1","Wilcoxon rank-sum","Female","week 5","Chao1","Control Vehicle","HFHS B. longum APC1472",12,13,53.5,0.192,0.756,"ns","Chao1",0.266576133249256,12,13,"small"
"Chao1","Wilcoxon rank-sum","Female","week 5","Chao1","HFHS Vehicle","HFHS FOS+GOS",12,12,74.5,0.908,0.935,"ns","Chao1",0.0294756008152404,12,12,"small"
"Chao1","Wilcoxon rank-sum","Female","week 5","Chao1","HFHS Vehicle","HFHS B. longum APC1472",12,13,76,0.935,0.935,"ns","Chao1",0.0217613169999393,12,13,"small"
"Chao1","Wilcoxon rank-sum","Female","week 5","Chao1","HFHS FOS+GOS","HFHS B. longum APC1472",12,13,73,0.81,0.935,"ns","Chao1",0.0543928293220421,12,13,"small"
"Chao1","Wilcoxon rank-sum","Female","week 10","Chao1","Control Vehicle","HFHS Vehicle",12,12,57,0.41,0.615,"ns","Chao1",0.176776695296637,12,12,"small"
"Chao1","Wilcoxon rank-sum","Female","week 10","Chao1","Control Vehicle","HFHS FOS+GOS",12,12,87.5,0.386,0.615,"ns","Chao1",0.182708975467276,12,12,"small"
"Chao1","Wilcoxon rank-sum","Female","week 10","Chao1","Control Vehicle","HFHS B. longum APC1472",12,13,77.5,1,1,"ns","Chao1",0.00544137617181689,12,13,"small"
"Chao1","Wilcoxon rank-sum","Female","week 10","Chao1","HFHS Vehicle","HFHS FOS+GOS",12,12,104,0.068,0.41,"ns","Chao1",0.377123616632825,12,12,"moderate"
"Chao1","Wilcoxon rank-sum","Female","week 10","Chao1","HFHS Vehicle","HFHS B. longum APC1472",12,13,103,0.183,0.549,"ns","Chao1",0.272016462499241,12,13,"small"
"Chao1","Wilcoxon rank-sum","Female","week 10","Chao1","HFHS FOS+GOS","HFHS B. longum APC1472",12,13,67,0.568,0.682,"ns","Chao1",0.119687243499666,12,13,"small"
"Chao1","Wilcoxon rank-sum","Male","week 5","Chao1","Control Vehicle","HFHS Vehicle",12,12,73,0.977,0.977,"ns","Chao1",0.0117851130197758,12,12,"small"
"Chao1","Wilcoxon rank-sum","Male","week 5","Chao1","Control Vehicle","HFHS FOS+GOS",12,13,43,0.06,0.119,"ns","Chao1",0.380749805254295,12,13,"moderate"
"Chao1","Wilcoxon rank-sum","Male","week 5","Chao1","Control Vehicle","HFHS B. longum APC1472",12,12,76.5,0.817,0.977,"ns","Chao1",0.0530445412646931,12,12,"small"
"Chao1","Wilcoxon rank-sum","Male","week 5","Chao1","HFHS Vehicle","HFHS FOS+GOS",12,13,38,0.032,0.095,"ns","Chao1",0.435310093745351,12,13,"moderate"
"Chao1","Wilcoxon rank-sum","Male","week 5","Chao1","HFHS Vehicle","HFHS B. longum APC1472",12,12,78.5,0.729,0.977,"ns","Chao1",0.0766532421855793,12,12,"small"
"Chao1","Wilcoxon rank-sum","Male","week 5","Chao1","HFHS FOS+GOS","HFHS B. longum APC1472",13,12,126,0.01,0.058,"ns","Chao1",0.522372112494422,13,12,"large"
"Chao1","Wilcoxon rank-sum","Male","week 10","Chao1","Control Vehicle","HFHS Vehicle",12,12,78.5,0.729,0.729,"ns","Chao1",0.076636562119625,12,12,"small"
"Chao1","Wilcoxon rank-sum","Male","week 10","Chao1","Control Vehicle","HFHS FOS+GOS",12,13,102,0.201,0.53,"ns","Chao1",0.261186056247211,12,13,"small"
"Chao1","Wilcoxon rank-sum","Male","week 10","Chao1","Control Vehicle","HFHS B. longum APC1472",12,12,63,0.623,0.729,"ns","Chao1",0.106112162934865,12,12,"small"
"Chao1","Wilcoxon rank-sum","Male","week 10","Chao1","HFHS Vehicle","HFHS FOS+GOS",12,13,99,0.265,0.53,"ns","Chao1",0.228493828499363,12,13,"small"
"Chao1","Wilcoxon rank-sum","Male","week 10","Chao1","HFHS Vehicle","HFHS B. longum APC1472",12,12,57,0.402,0.603,"ns","Chao1",0.176815137548977,12,12,"small"
"Chao1","Wilcoxon rank-sum","Male","week 10","Chao1","HFHS FOS+GOS","HFHS B. longum APC1472",13,12,48,0.108,0.53,"ns","Chao1",0.326482570309014,13,12,"moderate"
