"Order",".y..x","group1","group2","p","p.adj","p.format","p.signif","method",".y..y","effsize","n1","n2","magnitude"
"Monoglobales","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.391365938307552,1,"0.3914","ns","Wilcoxon","Abundance",0.267261241912424,7,7,"small"
"Monoglobales","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.391365938307552,1,"0.3914","ns","Wilcoxon","Abundance",0.267261241912424,7,7,"small"
"Oscillospirales","Abundance","Control Vehicle","HFHS Vehicle",0.00216502933303838,0.29,"0.0022","**","Wilcoxon","Abundance",0.836660026534076,7,7,"large"
"Oscillospirales","Abundance","Control Vehicle","HFHS FOS+GOS",0.0409135529844968,1,"0.0409","*","Wilcoxon","Abundance",0.563464915829071,7,7,"large"
"Oscillospirales","Abundance","Control Vehicle","HFHS B. longum APC1472",0.0409135529844968,1,"0.0409","*","Wilcoxon","Abundance",0.563464915829071,7,7,"large"
"Oscillospirales","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.00216502933303838,0.29,"0.0022","**","Wilcoxon","Abundance",0.836660026534076,7,7,"large"
"Oscillospirales","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.522903234512671,1,"0.5229","ns","Wilcoxon","Abundance",0.18782163860969,7,7,"small"
"Oscillospirales","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",0.00493790547090731,0.6,"0.0049","**","Wilcoxon","Abundance",0.768361248857824,7,7,"large"
"Peptococcales","Abundance","Control Vehicle","HFHS Vehicle",0.0106033453821227,1,"0.0106","*","Wilcoxon","Abundance",0.700062471181573,7,7,"large"
"Peptococcales","Abundance","Control Vehicle","HFHS FOS+GOS",0.124785918988563,1,"0.1248","ns","Wilcoxon","Abundance",0.427337220124011,7,7,"moderate"
"Peptococcales","Abundance","Control Vehicle","HFHS B. longum APC1472",0.0106033453821227,1,"0.0106","*","Wilcoxon","Abundance",0.700062471181573,7,7,"large"
"Peptococcales","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.00489062405357086,0.6,"0.0049","**","Wilcoxon","Abundance",0.76920699622322,7,7,"large"
"Peptococcales","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.898326787269238,1,"0.8983","ns","Wilcoxon","Abundance",0.0512240832571883,7,7,"small"
