"sex","timepoint","Family",".y..x","group1","group2","p","p.adj","p.format","p.signif","method",".y..y","effsize","n1","n2","magnitude"
"Female","week 5","Anaerovoracaceae","Abundance","Control Vehicle","HFHS FOS+GOS",0.0304220543067492,1,"0.03042","*","Wilcoxon","Abundance",0.447889774102019,12,12,"moderate"
"Female","week 5","Anaerovoracaceae","Abundance","Control Vehicle","HFHS B. longum APC1472",0.00358826778506251,1,"0.00359","**","Wilcoxon","Abundance",0.587894957635887,12,13,"large"
"Female","week 5","Anaerovoracaceae","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.000665297519501347,0.53,"0.00067","***","Wilcoxon","Abundance",0.700673315756562,12,12,"large"
"Female","week 5","Anaerovoracaceae","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.978303075335944,1,"0.97830","ns","Wilcoxon","Abundance",0.0108785658644084,12,13,"small"
"Female","week 5","Anaerovoracaceae","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",0.000506245704099319,0.41,"0.00051","***","Wilcoxon","Abundance",0.700962215950427,12,13,"large"
"Male","week 5","Anaerovoracaceae","Abundance","Control Vehicle","HFHS Vehicle",0.0071337741750956,1,"0.00713","**","Wilcoxon","Abundance",0.555108383837688,12,12,"large"
"Male","week 5","Anaerovoracaceae","Abundance","Control Vehicle","HFHS FOS+GOS",0.422695408704231,1,"0.42270","ns","Wilcoxon","Abundance",0.165880089181288,12,13,"small"
"Male","week 5","Anaerovoracaceae","Abundance","Control Vehicle","HFHS B. longum APC1472",0.00347816213973467,1,"0.00348","**","Wilcoxon","Abundance",0.602351650547279,12,12,"large"
"Male","week 5","Anaerovoracaceae","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.00207611679378242,1,"0.00208","**","Wilcoxon","Abundance",0.621274163297965,12,13,"large"
"Male","week 5","Anaerovoracaceae","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.930987446559567,1,"0.93099","ns","Wilcoxon","Abundance",0.0235702260395516,12,12,"small"
"Male","week 5","Anaerovoracaceae","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",0.00143202373434176,1,"0.00143","**","Wilcoxon","Abundance",0.643073256747016,13,12,"large"
"Female","week 10","Anaerovoracaceae","Abundance","Control Vehicle","HFHS Vehicle",0.435331129063292,1,"0.43533","ns","Wilcoxon","Abundance",0.165135240625607,12,12,"small"
"Female","week 10","Anaerovoracaceae","Abundance","Control Vehicle","HFHS FOS+GOS",0.000937028407449571,0.74,"0.00094","***","Wilcoxon","Abundance",0.681598603272414,12,12,"large"
"Female","week 10","Anaerovoracaceae","Abundance","Control Vehicle","HFHS B. longum APC1472",0.764641766041487,1,"0.76464","ns","Wilcoxon","Abundance",0.065321661959543,12,13,"small"
"Female","week 10","Anaerovoracaceae","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.000125478803557405,0.1,"0.00013","***","Wilcoxon","Abundance",0.788966284827715,12,12,"large"
"Female","week 10","Anaerovoracaceae","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.276566038304621,1,"0.27657","ns","Wilcoxon","Abundance",0.223053499249378,12,13,"small"
"Female","week 10","Anaerovoracaceae","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",0.000166037436591079,0.14,"0.00017","***","Wilcoxon","Abundance",0.758774294469624,12,13,"large"
"Male","week 10","Atopobiaceae","Abundance","Control Vehicle","HFHS Vehicle",0.055793017116104,1,"0.05579","ns","Wilcoxon","Abundance",0.396714880143297,12,12,"moderate"
"Male","week 10","Atopobiaceae","Abundance","Control Vehicle","HFHS FOS+GOS",0.182318392146988,1,"0.18232","ns","Wilcoxon","Abundance",0.272173591498096,12,13,"small"
"Male","week 10","Atopobiaceae","Abundance","Control Vehicle","HFHS B. longum APC1472",0.022805060220162,1,"0.02281","*","Wilcoxon","Abundance",0.47092267135185,12,12,"moderate"
"Male","week 10","Atopobiaceae","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.00412812065577315,1,"0.00413","**","Wilcoxon","Abundance",0.579209695160347,12,13,"large"
"Male","week 10","Atopobiaceae","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.914142756694816,1,"0.91414","ns","Wilcoxon","Abundance",0.0293434189963394,12,12,"small"
"Male","week 10","Atopobiaceae","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",0.000121594603981605,0.1,"0.00012","***","Wilcoxon","Abundance",0.774107082846013,13,12,"large"
"Male","week 5","Atopobiaceae","Abundance","Control Vehicle","HFHS Vehicle",0.573178604982456,1,"0.57318","ns","Wilcoxon","Abundance",0.121051290297843,12,12,"small"
"Male","week 5","Atopobiaceae","Abundance","Control Vehicle","HFHS FOS+GOS",0.351871440053618,1,"0.35187","ns","Wilcoxon","Abundance",0.191669355923945,12,13,"small"
"Male","week 5","Atopobiaceae","Abundance","Control Vehicle","HFHS B. longum APC1472",0.156141622331591,1,"0.15614","ns","Wilcoxon","Abundance",0.296061546007566,12,12,"small"
"Male","week 5","Atopobiaceae","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.891419607305647,1,"0.89142","ns","Wilcoxon","Abundance",0.032761948345478,12,13,"small"
"Male","week 5","Atopobiaceae","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.063395913063988,1,"0.06340","ns","Wilcoxon","Abundance",0.385359658132118,12,12,"moderate"
"Male","week 5","Atopobiaceae","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",0.0114307340848607,1,"0.01143","*","Wilcoxon","Abundance",0.511470079975821,13,12,"large"
"Female","week 10","Atopobiaceae","Abundance","Control Vehicle","HFHS Vehicle",0.235637834380318,1,"0.23564","ns","Wilcoxon","Abundance",0.249419061468885,12,12,"small"
"Female","week 10","Atopobiaceae","Abundance","Control Vehicle","HFHS FOS+GOS",0.0244259067258235,1,"0.02443","*","Wilcoxon","Abundance",0.465319069034496,12,12,"moderate"
"Female","week 10","Atopobiaceae","Abundance","Control Vehicle","HFHS B. longum APC1472",0.0459218910538171,1,"0.04592","*","Wilcoxon","Abundance",0.406480693597679,12,13,"moderate"
"Female","week 10","Atopobiaceae","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.000363153203646669,0.3,"0.00036","***","Wilcoxon","Abundance",0.733922125421131,12,12,"large"
"Female","week 10","Atopobiaceae","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.470013227550689,1,"0.47001","ns","Wilcoxon","Abundance",0.154124273061749,12,13,"small"
"Female","week 10","Atopobiaceae","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",7.8820839404069e-06,0.0073,"7.9e-06","****","Wilcoxon","Abundance",0.899438026795034,12,13,"large"
"Female","week 5","Atopobiaceae","Abundance","Control Vehicle","HFHS Vehicle",0.0235675516960571,1,"0.02357","*","Wilcoxon","Abundance",0.46949470394143,12,12,"moderate"
"Female","week 5","Atopobiaceae","Abundance","Control Vehicle","HFHS FOS+GOS",0.0437415424903002,1,"0.04374","*","Wilcoxon","Abundance",0.417594036313009,12,12,"moderate"
"Female","week 5","Atopobiaceae","Abundance","Control Vehicle","HFHS B. longum APC1472",0.139554482558133,1,"0.13955","ns","Wilcoxon","Abundance",0.302056878839899,12,13,"moderate"
"Female","week 5","Atopobiaceae","Abundance","HFHS Vehicle","HFHS FOS+GOS",6.06178124631807e-05,0.052,"6.1e-05","****","Wilcoxon","Abundance",0.824915068234474,12,12,"large"
"Female","week 5","Atopobiaceae","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.563287058069269,1,"0.56329","ns","Wilcoxon","Abundance",0.125225971862671,12,13,"small"
"Female","week 5","Atopobiaceae","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",0.00151865151507059,1,"0.00152","**","Wilcoxon","Abundance",0.639984749834928,12,13,"large"
"Female","week 10","Bacteroidaceae","Abundance","Control Vehicle","HFHS Vehicle",0.214493807783517,1,"0.21449","ns","Wilcoxon","Abundance",0.259272486435068,12,12,"small"
