"sex","timepoint","Genus",".y..x","group1","group2","p","p.adj","p.format","p.signif","method",".y..y","effsize","n1","n2","magnitude"
"Male","week 10","Afipia","Abundance","Control Vehicle","HFHS Vehicle",0.359317338329571,1,"0.35932","ns","Wilcoxon","Abundance",0.204124145231932,12,12,"small"
"Male","week 10","Afipia","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.336668367610039,1,"0.33667","ns","Wilcoxon","Abundance",0.208166599946613,12,13,"small"
"Male","week 10","Afipia","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.359317338329571,1,"0.35932","ns","Wilcoxon","Abundance",0.204124145231932,12,12,"small"
"Male","week 10","Agathobacter","Abundance","Control Vehicle","HFHS Vehicle",0.166224591128354,1,"0.16622","ns","Wilcoxon","Abundance",0.294883912309794,12,12,"small"
"Male","week 10","Agathobacter","Abundance","Control Vehicle","HFHS FOS+GOS",0.148589452248933,1,"0.14859","ns","Wilcoxon","Abundance",0.300462606288666,12,13,"moderate"
"Male","week 10","Agathobacter","Abundance","Control Vehicle","HFHS B. longum APC1472",0.166224591128354,1,"0.16622","ns","Wilcoxon","Abundance",0.294883912309794,12,12,"small"
"Male","week 5","Akkermansia","Abundance","Control Vehicle","HFHS Vehicle",0.0998774027692641,1,"0.09988","ns","Wilcoxon","Abundance",0.341768277573498,12,12,"moderate"
"Male","week 5","Akkermansia","Abundance","Control Vehicle","HFHS FOS+GOS",0.20116781630321,1,"0.20117","ns","Wilcoxon","Abundance",0.261085580745802,12,13,"small"
"Male","week 5","Akkermansia","Abundance","Control Vehicle","HFHS B. longum APC1472",0.140955219144371,1,"0.14096","ns","Wilcoxon","Abundance",0.306412938514171,12,12,"moderate"
"Male","week 5","Akkermansia","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.605343339336507,1,"0.60534","ns","Wilcoxon","Abundance",0.108785658644084,12,13,"small"
"Male","week 5","Akkermansia","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.976970255321976,1,"0.97697","ns","Wilcoxon","Abundance",0.0117851130197758,12,12,"small"
"Male","week 5","Akkermansia","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",0.341160626670575,1,"0.34116","ns","Wilcoxon","Abundance",0.195814185559352,13,12,"small"
"Male","week 10","Akkermansia","Abundance","Control Vehicle","HFHS Vehicle",0.260236202617189,1,"0.26024","ns","Wilcoxon","Abundance",0.235702260395516,12,12,"small"
"Male","week 10","Akkermansia","Abundance","Control Vehicle","HFHS FOS+GOS",0.399178751652786,1,"0.39918","ns","Wilcoxon","Abundance",0.174057053830535,12,13,"small"
"Male","week 10","Akkermansia","Abundance","Control Vehicle","HFHS B. longum APC1472",0.140955219144371,1,"0.14096","ns","Wilcoxon","Abundance",0.306412938514171,12,12,"moderate"
"Male","week 10","Akkermansia","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.341160626670575,1,"0.34116","ns","Wilcoxon","Abundance",0.195814185559352,12,13,"small"
"Male","week 10","Akkermansia","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.623604884395689,1,"0.62360","ns","Wilcoxon","Abundance",0.106066017177982,12,12,"small"
"Male","week 10","Akkermansia","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",0.20116781630321,1,"0.20117","ns","Wilcoxon","Abundance",0.261085580745802,13,12,"small"
"Female","week 10","Akkermansia","Abundance","Control Vehicle","HFHS Vehicle",0.402503823782004,1,"0.40250","ns","Wilcoxon","Abundance",0.176776695296637,12,12,"small"
"Female","week 10","Akkermansia","Abundance","Control Vehicle","HFHS FOS+GOS",0.00426476491403054,1,"0.00426","**","Wilcoxon","Abundance",0.58925565098879,12,12,"large"
"Female","week 10","Akkermansia","Abundance","Control Vehicle","HFHS B. longum APC1472",0.683082518213167,1,"0.68308","ns","Wilcoxon","Abundance",0.0870955492793907,12,13,"small"
"Female","week 10","Akkermansia","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.026229387834857,1,"0.02623","*","Wilcoxon","Abundance",0.459619407771256,12,12,"moderate"
"Female","week 10","Akkermansia","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.288751619182717,1,"0.28875","ns","Wilcoxon","Abundance",0.217613169999393,12,13,"small"
"Female","week 10","Akkermansia","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",0.00600760025190985,1,"0.00601","**","Wilcoxon","Abundance",0.554913583498452,12,13,"large"
"Female","week 5","Akkermansia","Abundance","Control Vehicle","HFHS Vehicle",0.976965248614044,1,"0.97697","ns","Wilcoxon","Abundance",0.0117876758365985,12,12,"small"
"Female","week 5","Akkermansia","Abundance","Control Vehicle","HFHS FOS+GOS",0.214394143112433,1,"0.21439","ns","Wilcoxon","Abundance",0.259328868405166,12,12,"small"
"Female","week 5","Akkermansia","Abundance","Control Vehicle","HFHS B. longum APC1472",0.68325554574123,1,"0.68326","ns","Wilcoxon","Abundance",0.0870452679997572,12,13,"small"
"Female","week 5","Akkermansia","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.236584093321876,1,"0.23658","ns","Wilcoxon","Abundance",0.247487373415292,12,12,"small"
"Female","week 5","Akkermansia","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.462763970575789,1,"0.46276","ns","Wilcoxon","Abundance",0.152299922101718,12,13,"small"
"Female","week 5","Akkermansia","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",0.531631442021847,1,"0.53163","ns","Wilcoxon","Abundance",0.130542790372901,12,13,"small"
"Male","week 5","Alistipes","Abundance","Control Vehicle","HFHS Vehicle",1,1,"1.00000","ns","Wilcoxon","Abundance",0,12,12,"small"
"Male","week 5","Alistipes","Abundance","Control Vehicle","HFHS FOS+GOS",0.000125720472149625,0.22,"0.00013","***","Wilcoxon","Abundance",0.772378176372998,12,13,"large"
"Male","week 5","Alistipes","Abundance","Control Vehicle","HFHS B. longum APC1472",0.795012171964238,1,"0.79501","ns","Wilcoxon","Abundance",0.058925565098879,12,12,"small"
"Male","week 5","Alistipes","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.000450916626112914,0.75,"0.00045","***","Wilcoxon","Abundance",0.707106781186548,12,13,"large"
"Male","week 5","Alistipes","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.750831884089117,1,"0.75083","ns","Wilcoxon","Abundance",0.0707106781186548,12,12,"small"
"Male","week 5","Alistipes","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",0.000100621922119637,0.18,"0.00010","***","Wilcoxon","Abundance",0.783256742237406,13,12,"large"
"Male","week 10","Alistipes","Abundance","Control Vehicle","HFHS Vehicle",0.665005542102029,1,"0.66501","ns","Wilcoxon","Abundance",0.0942809041582063,12,12,"small"
"Male","week 10","Alistipes","Abundance","Control Vehicle","HFHS FOS+GOS",2.49286946474741e-05,0.046,"2.5e-05","****","Wilcoxon","Abundance",0.848528137423857,12,13,"large"
"Male","week 10","Alistipes","Abundance","Control Vehicle","HFHS B. longum APC1472",0.193930852282411,1,"0.19393","ns","Wilcoxon","Abundance",0.271057599454843,12,12,"small"
"Male","week 10","Alistipes","Abundance","HFHS Vehicle","HFHS FOS+GOS",2.49286946474741e-05,0.046,"2.5e-05","****","Wilcoxon","Abundance",0.848528137423857,12,13,"large"
"Male","week 10","Alistipes","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.285476308851882,1,"0.28548","ns","Wilcoxon","Abundance",0.22391714737574,12,12,"small"
"Male","week 10","Alistipes","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",2.49286946474741e-05,0.046,"2.5e-05","****","Wilcoxon","Abundance",0.848528137423857,13,12,"large"
"Female","week 10","Alistipes","Abundance","Control Vehicle","HFHS Vehicle",0.0885337720142296,1,"0.08853","ns","Wilcoxon","Abundance",0.353553390593274,12,12,"moderate"
"Female","week 10","Alistipes","Abundance","Control Vehicle","HFHS FOS+GOS",0.00609894593121437,1,"0.00610","**","Wilcoxon","Abundance",0.565685424949238,12,12,"large"
"Female","week 10","Alistipes","Abundance","Control Vehicle","HFHS B. longum APC1472",0.0971195616834027,1,"0.09712","ns","Wilcoxon","Abundance",0.337235541796661,12,13,"moderate"
"Female","week 10","Alistipes","Abundance","HFHS Vehicle","HFHS FOS+GOS",3.6584553538971e-05,0.066,"3.7e-05","****","Wilcoxon","Abundance",0.848528137423857,12,12,"large"
"Female","week 10","Alistipes","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.68331315871718,1,"0.68331","ns","Wilcoxon","Abundance",0.0870285269152674,12,13,"small"
"Female","week 10","Alistipes","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",6.39142378601644e-05,0.11,"6.4e-05","****","Wilcoxon","Abundance",0.805013873966223,12,13,"large"
"Female","week 5","Alistipes","Abundance","Control Vehicle","HFHS Vehicle",0.506720514877859,1,"0.50672","ns","Wilcoxon","Abundance",0.14142135623731,12,12,"small"
"Female","week 5","Alistipes","Abundance","Control Vehicle","HFHS FOS+GOS",0.0404041195882237,1,"0.04040","*","Wilcoxon","Abundance",0.424264068711929,12,12,"moderate"
"Female","week 5","Alistipes","Abundance","Control Vehicle","HFHS B. longum APC1472",0.605343339336507,1,"0.60534","ns","Wilcoxon","Abundance",0.108785658644084,12,13,"small"
"Female","week 5","Alistipes","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.000477681728956982,0.79,"0.00048","***","Wilcoxon","Abundance",0.718891894206323,12,12,"large"
"Female","week 5","Alistipes","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.849015362824316,1,"0.84902","ns","Wilcoxon","Abundance",0.0435142634576337,12,13,"small"
"Female","week 5","Alistipes","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",0.00146271658668115,1,"0.00146","**","Wilcoxon","Abundance",0.641835386000097,12,13,"large"
"Female","week 10","Anaerofustis","Abundance","Control Vehicle","HFHS Vehicle",0.359317338329571,1,"0.35932","ns","Wilcoxon","Abundance",0.204124145231932,12,12,"small"
"Female","week 10","Anaerofustis","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.359317338329571,1,"0.35932","ns","Wilcoxon","Abundance",0.204124145231932,12,12,"small"
"Female","week 10","Anaerofustis","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.336668367610039,1,"0.33667","ns","Wilcoxon","Abundance",0.208166599946613,12,13,"small"
"Male","week 5","Anaeroplasma","Abundance","Control Vehicle","HFHS Vehicle",0.359317338329571,1,"0.35932","ns","Wilcoxon","Abundance",0.204124145231932,12,12,"small"
"Male","week 5","Anaeroplasma","Abundance","Control Vehicle","HFHS FOS+GOS",0.700007247798547,1,"0.70001","ns","Wilcoxon","Abundance",0.086694903597234,12,13,"small"
"Male","week 5","Anaeroplasma","Abundance","Control Vehicle","HFHS B. longum APC1472",1,1,"1.00000","ns","Wilcoxon","Abundance",0.0122868296795748,12,12,"small"
"Male","week 5","Anaeroplasma","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.183858124913274,1,"0.18386","ns","Wilcoxon","Abundance",0.277350098112615,12,13,"small"
"Male","week 5","Anaeroplasma","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.359317338329571,1,"0.35932","ns","Wilcoxon","Abundance",0.204124145231932,12,12,"small"
"Male","week 5","Anaeroplasma","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",0.63006287571188,1,"0.63006","ns","Wilcoxon","Abundance",0.105960437729953,13,12,"small"
"Female","week 5","Anaeroplasma","Abundance","Control Vehicle","HFHS FOS+GOS",0.359317338329571,1,"0.35932","ns","Wilcoxon","Abundance",0.204124145231932,12,12,"small"
"Female","week 5","Anaeroplasma","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.359317338329571,1,"0.35932","ns","Wilcoxon","Abundance",0.204124145231932,12,12,"small"
"Female","week 5","Anaeroplasma","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",0.336668367610039,1,"0.33667","ns","Wilcoxon","Abundance",0.208166599946613,12,13,"small"
"Female","week 10","Anaeroplasma","Abundance","Control Vehicle","HFHS B. longum APC1472",0.183858124913274,1,"0.18386","ns","Wilcoxon","Abundance",0.277350098112615,12,13,"small"
"Female","week 10","Anaeroplasma","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.183858124913274,1,"0.18386","ns","Wilcoxon","Abundance",0.277350098112615,12,13,"small"
"Female","week 10","Anaeroplasma","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",0.183858124913274,1,"0.18386","ns","Wilcoxon","Abundance",0.277350098112615,12,13,"small"
"Female","week 5","Anaerotruncus","Abundance","Control Vehicle","HFHS Vehicle",0.00135066794460007,1,"0.00135","**","Wilcoxon","Abundance",0.660109846849514,12,12,"large"
"Female","week 5","Anaerotruncus","Abundance","Control Vehicle","HFHS FOS+GOS",0.432206298335208,1,"0.43221","ns","Wilcoxon","Abundance",0.166261464755794,12,12,"small"
"Female","week 5","Anaerotruncus","Abundance","Control Vehicle","HFHS B. longum APC1472",0.00428781624318662,1,"0.00429","**","Wilcoxon","Abundance",0.576674900498391,12,13,"large"
"Female","week 5","Anaerotruncus","Abundance","HFHS Vehicle","HFHS FOS+GOS",3.51787478907003e-05,0.064,"3.5e-05","****","Wilcoxon","Abundance",0.850378800772629,12,12,"large"
