"sex","timepoint","Order",".y..x","group1","group2","p","p.adj","p.format","p.signif","method",".y..y","effsize","n1","n2","magnitude"
"Male","week 10","Bifidobacteriales","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.00211360968540401,0.93,"0.00211","**","Wilcoxon","Abundance",0.62019753449827,12,13,"large"
"Male","week 10","Bifidobacteriales","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.750779496851824,1,"0.75078","ns","Wilcoxon","Abundance",0.0707260550195908,12,12,"small"
"Male","week 10","Bifidobacteriales","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",2.49286946474741e-05,0.013,"2.5e-05","****","Wilcoxon","Abundance",0.848528137423857,13,12,"large"
"Female","week 5","Bifidobacteriales","Abundance","Control Vehicle","HFHS Vehicle",2.23371780734926e-05,0.012,"2.2e-05","****","Wilcoxon","Abundance",0.87156929014447,12,12,"large"
"Female","week 5","Bifidobacteriales","Abundance","Control Vehicle","HFHS FOS+GOS",0.402503823782004,1,"0.40250","ns","Wilcoxon","Abundance",0.176776695296637,12,12,"small"
"Female","week 5","Bifidobacteriales","Abundance","Control Vehicle","HFHS B. longum APC1472",0.00211780152582867,0.93,"0.00212","**","Wilcoxon","Abundance",0.62007825427128,12,13,"large"
"Female","week 5","Bifidobacteriales","Abundance","HFHS Vehicle","HFHS FOS+GOS",2.23371780734926e-05,0.012,"2.2e-05","****","Wilcoxon","Abundance",0.87156929014447,12,12,"large"
"Female","week 5","Bifidobacteriales","Abundance","HFHS Vehicle","HFHS B. longum APC1472",2.0394009979424e-05,0.011,"2.0e-05","****","Wilcoxon","Abundance",0.857675894756667,12,13,"large"
"Female","week 5","Bifidobacteriales","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",0.0012105893579225,0.54,"0.00121","**","Wilcoxon","Abundance",0.652713951864505,12,13,"large"
"Female","week 10","Burkholderiales","Abundance","Control Vehicle","HFHS Vehicle",0.0919047808591561,1,"0.09190","ns","Wilcoxon","Abundance",0.35105904833572,12,12,"moderate"
"Female","week 10","Burkholderiales","Abundance","Control Vehicle","HFHS FOS+GOS",0.00477697557355508,1,"0.00478","**","Wilcoxon","Abundance",0.58191512664528,12,12,"large"
"Female","week 10","Burkholderiales","Abundance","Control Vehicle","HFHS B. longum APC1472",0.00519712366826754,1,"0.00520","**","Wilcoxon","Abundance",0.566169537511053,12,13,"large"
"Female","week 10","Burkholderiales","Abundance","HFHS Vehicle","HFHS FOS+GOS",2.39284161350814e-05,0.012,"2.4e-05","****","Wilcoxon","Abundance",0.868474515081671,12,12,"large"
